Username,Repository,Stars,Repo URL
alacritty,alacritty,49k,https://github.com/alacritty/alacritty
kovidgoyal,kitty,20.1k,https://github.com/kovidgoyal/kitty
ssloy,tinyrenderer,18.1k,https://github.com/ssloy/tinyrenderer
google,filament,16.4k,https://github.com/google/filament
lettier,3d-game-shaders-for-beginners,16.2k,https://github.com/lettier/3d-game-shaders-for-beginners
raysan5,raylib,15.7k,https://github.com/raysan5/raylib
bkaradzic,bgfx,13.6k,https://github.com/bkaradzic/bgfx
OpenRCT2,OpenRCT2,12.3k,https://github.com/OpenRCT2/OpenRCT2
SFTtech,openage,12k,https://github.com/SFTtech/openage
glfw,glfw,11.3k,https://github.com/glfw/glfw
fogleman,Craft,10k,https://github.com/fogleman/Craft
isl-org,Open3D,9.6k,https://github.com/isl-org/Open3D
openframeworks,openFrameworks,9.5k,https://github.com/openframeworks/openFrameworks
SFML,SFML,9.1k,https://github.com/SFML/SFML
gfx-rs,wgpu,9k,https://github.com/gfx-rs/wgpu
cats-oss,android-gpuimage,8.8k,https://github.com/cats-oss/android-gpuimage
g-truc,glm,8k,https://github.com/g-truc/glm
baldurk,renderdoc,7.8k,https://github.com/baldurk/renderdoc
olive-editor,olive,7.3k,https://github.com/olive-editor/olive
openscad,openscad,5.9k,https://github.com/openscad/openscad
fschutt,azul,5.7k,https://github.com/fschutt/azul
gephi,gephi,5.5k,https://github.com/gephi/gephi
stenzek,duckstation,5.4k,https://github.com/stenzek/duckstation
gfx-rs,gfx,5.3k,https://github.com/gfx-rs/gfx
flightlessmango,MangoHud,5.2k,https://github.com/flightlessmango/MangoHud
natario1,CameraView,4.7k,https://github.com/natario1/CameraView
Doikki,DKVideoPlayer,4.7k,https://github.com/Doikki/DKVideoPlayer
mosra,magnum,4.5k,https://github.com/mosra/magnum
endless-sky,endless-sky,4.5k,https://github.com/endless-sky/endless-sky
ultralight-ux,Ultralight,4.4k,https://github.com/ultralight-ux/Ultralight
LWJGL,lwjgl3,4.4k,https://github.com/LWJGL/lwjgl3
mapbox,mapbox-gl-native,4.3k,https://github.com/mapbox/mapbox-gl-native
mifi,editly,4.3k,https://github.com/mifi/editly
