Username,Repository,Stars,Repo URL
fatedier,frp,72.8k,https://github.com/fatedier/frp
bitcoin,bitcoin,71.8k,https://github.com/bitcoin/bitcoin
syncthing,syncthing,54.8k,https://github.com/syncthing/syncthing
rustdesk,rustdesk,48.8k,https://github.com/rustdesk/rustdesk
ethereum,go-ethereum,43.8k,https://github.com/ethereum/go-ethereum
webtorrent,webtorrent,28.4k,https://github.com/webtorrent/webtorrent
ipfs,ipfs,22.3k,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,18k,https://github.com/HelloZeroNet/ZeroNet
amark,gun,17.5k,https://github.com/amark/gun
yjs,yjs,13.2k,https://github.com/yjs/yjs
Chocobozzz,PeerTube,12k,https://github.com/Chocobozzz/PeerTube
pion,webrtc,11.8k,https://github.com/pion/webrtc
peers,peerjs,11.5k,https://github.com/peers/peerjs
webtorrent,webtorrent-desktop,9.4k,https://github.com/webtorrent/webtorrent-desktop
monero-project,monero,8.2k,https://github.com/monero-project/monero
orbitdb,orbitdb,7.9k,https://github.com/orbitdb/orbitdb
ipfs,js-ipfs,7.5k,https://github.com/ipfs/js-ipfs
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
berty,berty,7k,https://github.com/berty/berty
feross,simple-peer,7k,https://github.com/feross/simple-peer
beakerbrowser,beaker,6.7k,https://github.com/beakerbrowser/beaker
dragonflyoss,Dragonfly,6k,https://github.com/dragonflyoss/Dragonfly
uber,kraken,5.7k,https://github.com/uber/kraken
ipfs,ipfs-desktop,5.5k,https://github.com/ipfs/ipfs-desktop
libp2p,go-libp2p,5.4k,https://github.com/libp2p/go-libp2p
anacrolix,torrent,4.9k,https://github.com/anacrolix/torrent
qTox,qTox,4.6k,https://github.com/qTox/qTox
bisq-network,bisq,4.4k,https://github.com/bisq-network/bisq
Tribler,tribler,4.3k,https://github.com/Tribler/tribler
soketi,soketi,4k,https://github.com/soketi/soketi
lazy-luo,smarGate,3.6k,https://github.com/lazy-luo/smarGate
ssbc,patchwork,3.6k,https://github.com/ssbc/patchwork
bitcoin-wallet,bitcoin-wallet,3.3k,https://github.com/bitcoin-wallet/bitcoin-wallet
webtorrent,instant.io,3.3k,https://github.com/webtorrent/instant.io
transmission-remote-gui,transgui,3k,https://github.com/transmission-remote-gui/transgui
golemfactory,clay,2.9k,https://github.com/golemfactory/clay
sergiotapia,magnetissimo,2.9k,https://github.com/sergiotapia/magnetissimo
Bitmessage,PyBitmessage,2.8k,https://github.com/Bitmessage/PyBitmessage
lnbook,lnbook,2.7k,https://github.com/lnbook/lnbook
syncthing,syncthing-android,2.7k,https://github.com/syncthing/syncthing-android
ElementsProject,lightning,2.6k,https://github.com/ElementsProject/lightning
PurpleI2P,i2pd,2.5k,https://github.com/PurpleI2P/i2pd
paradigmxyz,reth,2.4k,https://github.com/paradigmxyz/reth
samuelmaddock,metastream,2.4k,https://github.com/samuelmaddock/metastream
atomashpolskiy,bt,2.3k,https://github.com/atomashpolskiy/bt
syncthing,syncthing-macos,2.3k,https://github.com/syncthing/syncthing-macos
kgryte,awesome-peer-to-peer,2.3k,https://github.com/kgryte/awesome-peer-to-peer
FISCO-BCOS,FISCO-BCOS,2.2k,https://github.com/FISCO-BCOS/FISCO-BCOS
libp2p,js-libp2p,2.1k,https://github.com/libp2p/js-libp2p
dino,dino,2.1k,https://github.com/dino/dino
miroslavpejic85,mirotalk,2.1k,https://github.com/miroslavpejic85/mirotalk
TokTok,c-toxcore,2k,https://github.com/TokTok/c-toxcore
buckyos,CYFS,2k,https://github.com/buckyos/CYFS
ggerganov,wave-share,2k,https://github.com/ggerganov/wave-share
miroslavpejic85,p2p,2k,https://github.com/miroslavpejic85/p2p
ipfs,ipfs-companion,2k,https://github.com/ipfs/ipfs-companion
epsylon,ufonet,1.9k,https://github.com/epsylon/ufonet
freenet,freenet-core,1.9k,https://github.com/freenet/freenet-core
crev-dev,cargo-crev,1.9k,https://github.com/crev-dev/cargo-crev
rust-in-blockchain,awesome-blockchain-rust,1.9k,https://github.com/rust-in-blockchain/awesome-blockchain-rust
tl-open-source,tl-rtc-file,1.9k,https://github.com/tl-open-source/tl-rtc-file
i2p,i2p.i2p,1.8k,https://github.com/i2p/i2p.i2p
perlin-network,noise,1.7k,https://github.com/perlin-network/noise
Peergos,Peergos,1.7k,https://github.com/Peergos/Peergos
dragonflyoss,Dragonfly2,1.7k,https://github.com/dragonflyoss/Dragonfly2
orbitdb,orbit,1.6k,https://github.com/orbitdb/orbit
dswd,vpncloud,1.6k,https://github.com/dswd/vpncloud
TryQuiet,quiet,1.6k,https://github.com/TryQuiet/quiet
linagora,hublin,1.6k,https://github.com/linagora/hublin
mikeal,roll-call,1.6k,https://github.com/mikeal/roll-call
ipfs,ipfs-webui,1.5k,https://github.com/ipfs/ipfs-webui
dashpay,dash,1.5k,https://github.com/dashpay/dash
CovenantSQL,CovenantSQL,1.5k,https://github.com/CovenantSQL/CovenantSQL
bitcoin-dot-org,Bitcoin.org,1.5k,https://github.com/bitcoin-dot-org/Bitcoin.org
DEgITx,rats-search,1.4k,https://github.com/DEgITx/rats-search
ddssingsong,webrtc_android,1.4k,https://github.com/ddssingsong/webrtc_android
BiglySoftware,BiglyBT,1.4k,https://github.com/BiglySoftware/BiglyBT
pojntfx,weron,1.3k,https://github.com/pojntfx/weron
paullouisageneau,libdatachannel,1.3k,https://github.com/paullouisageneau/libdatachannel
Novage,p2p-media-loader,1.3k,https://github.com/Novage/p2p-media-loader
hyperledger,besu,1.3k,https://github.com/hyperledger/besu
anyproto,anytype-ts,1.3k,https://github.com/anyproto/anytype-ts
peer-calls,peer-calls,1.3k,https://github.com/peer-calls/peer-calls
rs-ipfs,rust-ipfs,1.2k,https://github.com/rs-ipfs/rust-ipfs
nicotine-plus,nicotine-plus,1.2k,https://github.com/nicotine-plus/nicotine-plus
exonum,exonum,1.2k,https://github.com/exonum/exonum
ThaUnknown,miru,1.2k,https://github.com/ThaUnknown/miru
aethereans,aether-app,1.2k,https://github.com/aethereans/aether-app
qtumproject,qtum,1.2k,https://github.com/qtumproject/qtum
jeremyckahn,chitchatter,1.2k,https://github.com/jeremyckahn/chitchatter
webtorrent,bittorrent-dht,1.2k,https://github.com/webtorrent/bittorrent-dht
socketsupply,socket,1.2k,https://github.com/socketsupply/socket
librevault,librevault,1.2k,https://github.com/librevault/librevault
JFreegman,toxic,1.1k,https://github.com/JFreegman/toxic
ipfs,specs,1.1k,https://github.com/ipfs/specs
qri-io,qri,1.1k,https://github.com/qri-io/qri
webtorrent,webtorrent-cli,1.1k,https://github.com/webtorrent/webtorrent-cli
WaykiChain,WaykiChain,1k,https://github.com/WaykiChain/WaykiChain
IceFireDB,IceFireDB,1k,https://github.com/IceFireDB/IceFireDB
OpenBazaar,openbazaar-go,996,https://github.com/OpenBazaar/openbazaar-go
