Username,Repository,Stars,Repo URL
laravel,laravel,74.9k,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,34.7k,https://github.com/LeCoupa/awesome-cheatsheets
laravel,framework,30.3k,https://github.com/laravel/framework
ziadoz,awesome-php,29.3k,https://github.com/ziadoz/awesome-php
symfony,symfony,28.7k,https://github.com/symfony/symfony
composer,composer,27.9k,https://github.com/composer/composer
nextcloud,server,23.9k,https://github.com/nextcloud/server
guzzle,guzzle,22.7k,https://github.com/guzzle/guzzle
DesignPatternsPHP,DesignPatternsPHP,21.4k,https://github.com/DesignPatternsPHP/DesignPatternsPHP
Seldaek,monolog,20.6k,https://github.com/Seldaek/monolog
PHPMailer,PHPMailer,19.9k,https://github.com/PHPMailer/PHPMailer
monicahq,monica,19.7k,https://github.com/monicahq/monica
sebastianbergmann,phpunit,19.3k,https://github.com/sebastianbergmann/phpunit
bcit-ci,CodeIgniter,18.2k,https://github.com/bcit-ci/CodeIgniter
matomo-org,matomo,18.2k,https://github.com/matomo-org/matomo
swoole,swoole-src,18k,https://github.com/swoole/swoole-src
facebook,hhvm,17.8k,https://github.com/facebook/hhvm
nikic,PHP-Parser,16.3k,https://github.com/nikic/PHP-Parser
antlr,antlr4,15.3k,https://github.com/antlr/antlr4
erusev,parsedown,14.5k,https://github.com/erusev/parsedown
flarum,flarum,14.4k,https://github.com/flarum/flarum
lionsoul2014,ip2region,14.2k,https://github.com/lionsoul2014/ip2region
yiisoft,yii2,14.1k,https://github.com/yiisoft/yii2
getgrav,grav,14.1k,https://github.com/getgrav/grav
Intervention,image,13.4k,https://github.com/Intervention/image
filp,whoops,13.1k,https://github.com/filp/whoops
thephpleague,flysystem,13k,https://github.com/thephpleague/flysystem
vlucas,phpdotenv,12.7k,https://github.com/vlucas/phpdotenv
arthurspk,guiadevbrasil,12.6k,https://github.com/arthurspk/guiadevbrasil
PHPOffice,PhpSpreadsheet,12.5k,https://github.com/PHPOffice/PhpSpreadsheet
phacility,phabricator,12.3k,https://github.com/phacility/phabricator
BookStackApp,BookStack,12.3k,https://github.com/BookStackApp/BookStack
roots,sage,12.3k,https://github.com/roots/sage
ramsey,uuid,12.2k,https://github.com/ramsey/uuid
PHP-CS-Fixer,PHP-CS-Fixer,12.2k,https://github.com/PHP-CS-Fixer/PHP-CS-Fixer
phpstan,phpstan,12.2k,https://github.com/phpstan/phpstan
laradock,laradock,12k,https://github.com/laradock/laradock
chiraggude,awesome-laravel,12k,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,11.7k,https://github.com/SpartnerNL/Laravel-Excel
slimphp,Slim,11.7k,https://github.com/slimphp/Slim
spatie,laravel-permission,11.5k,https://github.com/spatie/laravel-permission
firefly-iii,firefly-iii,11.4k,https://github.com/firefly-iii/firefly-iii
egulias,EmailValidator,11.2k,https://github.com/egulias/EmailValidator
caprover,caprover,11.1k,https://github.com/caprover/caprover
tymondesigns,jwt-auth,11k,https://github.com/tymondesigns/jwt-auth
octobercms,october,10.9k,https://github.com/octobercms/october
magento,magento2,10.9k,https://github.com/magento/magento2
phalcon,cphalcon,10.7k,https://github.com/phalcon/cphalcon
walkor,workerman,10.7k,https://github.com/walkor/workerman
mockery,mockery,10.5k,https://github.com/mockery/mockery
typecho,typecho,10.4k,https://github.com/typecho/typecho
squizlabs,PHP_CodeSniffer,10.4k,https://github.com/squizlabs/PHP_CodeSniffer
serbanghita,Mobile-Detect,10.4k,https://github.com/serbanghita/Mobile-Detect
codota,TabNine,10.2k,https://github.com/codota/TabNine
librespeed,speedtest,10.2k,https://github.com/librespeed/speedtest
w7corp,easywechat,10.1k,https://github.com/w7corp/easywechat
deployphp,deployer,10.1k,https://github.com/deployphp/deployer
dompdf,dompdf,9.9k,https://github.com/dompdf/dompdf
phpredis,phpredis,9.8k,https://github.com/phpredis/phpredis
YOURLS,YOURLS,9.6k,https://github.com/YOURLS/YOURLS
swiftmailer,swiftmailer,9.6k,https://github.com/swiftmailer/swiftmailer
symfony,console,9.6k,https://github.com/symfony/console
bobthecow,psysh,9.6k,https://github.com/bobthecow/psysh
kanaka,mal,9.6k,https://github.com/kanaka/mal
tennc,webshell,9.4k,https://github.com/tennc/webshell
coollabsio,coolify,9k,https://github.com/coollabsio/coolify
wallabag,wallabag,9k,https://github.com/wallabag/wallabag
woocommerce,woocommerce,8.7k,https://github.com/woocommerce/woocommerce
reactphp,reactphp,8.7k,https://github.com/reactphp/reactphp
cakephp,cakephp,8.7k,https://github.com/cakephp/cakephp
symfony,http-foundation,8.5k,https://github.com/symfony/http-foundation
symfony,event-dispatcher,8.4k,https://github.com/symfony/event-dispatcher
bagisto,bagisto,8.3k,https://github.com/bagisto/bagisto
symfony,finder,8.3k,https://github.com/symfony/finder
digininja,DVWA,8.3k,https://github.com/digininja/DVWA
awsdocs,aws-doc-sdk-examples,8.2k,https://github.com/awsdocs/aws-doc-sdk-examples
paragonie,random_compat,8.1k,https://github.com/paragonie/random_compat
owncloud,core,8.1k,https://github.com/owncloud/core
api-platform,api-platform,8.1k,https://github.com/api-platform/api-platform
php-fig,simple-cache,8k,https://github.com/php-fig/simple-cache
symfony,http-kernel,8k,https://github.com/symfony/http-kernel
twigphp,Twig,7.9k,https://github.com/twigphp/Twig
pestphp,pest,7.8k,https://github.com/pestphp/pest
symfony,polyfill-mbstring,7.7k,https://github.com/symfony/polyfill-mbstring
rectorphp,rector,7.5k,https://github.com/rectorphp/rector
PrestaShop,PrestaShop,7.5k,https://github.com/PrestaShop/PrestaShop
symfony,routing,7.5k,https://github.com/symfony/routing
Sylius,Sylius,7.5k,https://github.com/Sylius/Sylius
predis,predis,7.4k,https://github.com/predis/predis
roadrunner-server,roadrunner,7.4k,https://github.com/roadrunner-server/roadrunner
invoiceninja,invoiceninja,7.3k,https://github.com/invoiceninja/invoiceninja
symfony,css-selector,7.3k,https://github.com/symfony/css-selector
symfony,process,7.3k,https://github.com/symfony/process
symfony,debug,7.3k,https://github.com/symfony/debug
symfony,var-dumper,7.3k,https://github.com/symfony/var-dumper
crater-invoice,crater,7.3k,https://github.com/crater-invoice/crater
Laravel-Lang,lang,7.2k,https://github.com/Laravel-Lang/lang
lcobucci,jwt,7.1k,https://github.com/lcobucci/jwt
opencart,opencart,7k,https://github.com/opencart/opencart
FreshRSS,FreshRSS,6.9k,https://github.com/FreshRSS/FreshRSS
