Username,Repository,Stars,Repo URL
kitao,pyxel,12.5k,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2.4k,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,679,https://github.com/picolove/picolove
jtothebell,fake-08,435,https://github.com/jtothebell/fake-08
dansanderson,picotool,344,https://github.com/dansanderson/picotool
Liquidream,scumm-8,308,https://github.com/Liquidream/scumm-8
Jakz,retro8,234,https://github.com/Jakz/retro8
torch2424,picoDeploy,207,https://github.com/torch2424/picoDeploy
0xcafed00d,tac08,182,https://github.com/0xcafed00d/tac08
wh0am1-dev,pico8-api,144,https://github.com/wh0am1-dev/pico8-api
seleb,PICO-8-Token-Optimizations,127,https://github.com/seleb/PICO-8-Token-Optimizations
egordorichev,neko8,105,https://github.com/egordorichev/neko8
gamax92,picolove,97,https://github.com/gamax92/picolove
movAX13h,P8Coder,94,https://github.com/movAX13h/P8Coder
Feneric,Minima,86,https://github.com/Feneric/Minima
juanitogan,p8-programming-fonts,82,https://github.com/juanitogan/p8-programming-fonts
yocto-8,yocto-8,78,https://github.com/yocto-8/yocto-8
freds72,pico8,73,https://github.com/freds72/pico8
JoebRogers,PICO-Tween,70,https://github.com/JoebRogers/PICO-Tween
gamax92,midi2pico,64,https://github.com/gamax92/midi2pico
jspicl,jspicl,62,https://github.com/jspicl/jspicl
andmatand,midi-to-pico8,59,https://github.com/andmatand/midi-to-pico8
thisismypassport,shrinko8,54,https://github.com/thisismypassport/shrinko8
musurca,pico2tic,48,https://github.com/musurca/pico2tic
JoebRogers,PICO-EC,45,https://github.com/JoebRogers/PICO-EC
wh0am1-dev,sublime-PICO-8,45,https://github.com/wh0am1-dev/sublime-PICO-8
Bakudankun,PICO-8.vim,44,https://github.com/Bakudankun/PICO-8.vim
ojdon,pico8-boilerplate,44,https://github.com/ojdon/pico8-boilerplate
Enichan,Pico8Platformer,44,https://github.com/Enichan/Pico8Platformer
jozanza,p8,44,https://github.com/jozanza/p8
NangiDev,pico-8-projects,43,https://github.com/NangiDev/pico-8-projects
jesstelford,pecs,42,https://github.com/jesstelford/pecs
NOTgate,Free_PICO-8,42,https://github.com/NOTgate/Free_PICO-8
cauli,picobox,41,https://github.com/cauli/picobox
nateProjects,Pico-8-Cookbook,38,https://github.com/nateProjects/Pico-8-Cookbook
jozanza,pico-test,37,https://github.com/jozanza/pico-test
benwiley4000,pico8-gpio-listener,34,https://github.com/benwiley4000/pico8-gpio-listener
hsandt,sonic-pico8,32,https://github.com/hsandt/sonic-pico8
Enichan,Depicofier,30,https://github.com/Enichan/Depicofier
ace-dent,8x8.me,30,https://github.com/ace-dent/8x8.me
peabnuts123,pico8-emmylua-definitions,29,https://github.com/peabnuts123/pico8-emmylua-definitions
iiviigames,pico8-api,26,https://github.com/iiviigames/pico8-api
