Username,Repository,Stars,Repo URL
angular,angular,90.6k,https://github.com/angular/angular
hoppscotch,hoppscotch,55.3k,https://github.com/hoppscotch/hoppscotch
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
freeCodeCamp,devdocs,32.5k,https://github.com/freeCodeCamp/devdocs
GoogleChrome,lighthouse,27.1k,https://github.com/GoogleChrome/lighthouse
qier222,YesPlayMusic,24.9k,https://github.com/qier222/YesPlayMusic
quasarframework,quasar,24.4k,https://github.com/quasarframework/quasar
RobinLinus,snapdrop,16.3k,https://github.com/RobinLinus/snapdrop
Lissy93,dashy,13.1k,https://github.com/Lissy93/dashy
vuestorefront,vue-storefront,10.3k,https://github.com/vuestorefront/vue-storefront
ionic-team,capacitor,10k,https://github.com/ionic-team/capacitor
aws-amplify,amplify-js,9.3k,https://github.com/aws-amplify/amplify-js
OnsenUI,OnsenUI,8.7k,https://github.com/OnsenUI/OnsenUI
alibaba,rax,7.9k,https://github.com/alibaba/rax
maxence-charriere,go-app,7.3k,https://github.com/maxence-charriere/go-app
andreasbm,web-skills,6.7k,https://github.com/andreasbm/web-skills
BuilderIO,builder,5.7k,https://github.com/BuilderIO/builder
angus-c,just,5.6k,https://github.com/angus-c/just
lauragift21,awesome-learning-resources,5.1k,https://github.com/lauragift21/awesome-learning-resources
cotes2020,jekyll-theme-chirpy,5k,https://github.com/cotes2020/jekyll-theme-chirpy
TalAter,UpUp,4.9k,https://github.com/TalAter/UpUp
pipipi-pikachu,PPTist,4.7k,https://github.com/pipipi-pikachu/PPTist
preactjs,preact-cli,4.7k,https://github.com/preactjs/preact-cli
NekR,offline-plugin,4.5k,https://github.com/NekR/offline-plugin
hemanth,awesome-pwa,4.3k,https://github.com/hemanth/awesome-pwa
assemble,assemble,4.2k,https://github.com/assemble/assemble
mgechev,angular-performance-checklist,4k,https://github.com/mgechev/angular-performance-checklist
webhintio,hint,3.6k,https://github.com/webhintio/hint
alienzhou,frontend-tech-list,3.6k,https://github.com/alienzhou/frontend-tech-list
SangKa,PWA-Book-CN,3.5k,https://github.com/SangKa/PWA-Book-CN
shadowwalker,next-pwa,3.3k,https://github.com/shadowwalker/next-pwa
vuejs-templates,pwa,3k,https://github.com/vuejs-templates/pwa
swarmpit,swarmpit,2.8k,https://github.com/swarmpit/swarmpit
vuesion,vuesion,2.7k,https://github.com/vuesion/vuesion
Atyantik,react-pwa,2.5k,https://github.com/Atyantik/react-pwa
elegantapp,pwa-asset-generator,2.5k,https://github.com/elegantapp/pwa-asset-generator
TarikHuber,react-most-wanted,2.4k,https://github.com/TarikHuber/react-most-wanted
padloc,padloc,2.4k,https://github.com/padloc/padloc
samuelmaddock,metastream,2.3k,https://github.com/samuelmaddock/metastream
vite-pwa,vite-plugin-pwa,2.3k,https://github.com/vite-pwa/vite-plugin-pwa
GoogleChromeLabs,lighthousebot,2.2k,https://github.com/GoogleChromeLabs/lighthousebot
vuestorefront,storefront-ui,2.2k,https://github.com/vuestorefront/storefront-ui
pwa-builder,PWABuilder,2.1k,https://github.com/pwa-builder/PWABuilder
cezerin,cezerin,2k,https://github.com/cezerin/cezerin
f2e-awesome,knowledge,1.9k,https://github.com/f2e-awesome/knowledge
webproblem,learning-article,1.8k,https://github.com/webproblem/learning-article
le0pard,pgtune,1.8k,https://github.com/le0pard/pgtune
AdaptiveConsulting,ReactiveTraderCloud,1.8k,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
nicejade,Front-end-tutorial,1.7k,https://github.com/nicejade/Front-end-tutorial
deckgo,deckdeckgo,1.6k,https://github.com/deckgo/deckdeckgo
filips123,PWAsForFirefox,1.6k,https://github.com/filips123/PWAsForFirefox
FoxUSA,OpenNote,1.6k,https://github.com/FoxUSA/OpenNote
generativefm,generative.fm,1.6k,https://github.com/generativefm/generative.fm
hanford,next-offline,1.6k,https://github.com/hanford/next-offline
codenameone,CodenameOne,1.6k,https://github.com/codenameone/CodenameOne
Vagr9K,gatsby-advanced-starter,1.5k,https://github.com/Vagr9K/gatsby-advanced-starter
kefranabg,bento-starter,1.5k,https://github.com/kefranabg/bento-starter
ngx-rocket,generator-ngx-rocket,1.5k,https://github.com/ngx-rocket/generator-ngx-rocket
flawiddsouza,Restfox,1.5k,https://github.com/flawiddsouza/Restfox
skidding,flatris,1.4k,https://github.com/skidding/flatris
schlagmichdoch,PairDrop,1.3k,https://github.com/schlagmichdoch/PairDrop
aurelia,aurelia,1.3k,https://github.com/aurelia/aurelia
nuxt-community,legacy-modules,1.3k,https://github.com/nuxt-community/legacy-modules
Privoce,vocechat-web,1.3k,https://github.com/Privoce/vocechat-web
itswadesh,svelte-commerce,1.2k,https://github.com/itswadesh/svelte-commerce
4gray,iptvnator,1.2k,https://github.com/4gray/iptvnator
aeharding,voyager,1.2k,https://github.com/aeharding/voyager
nuxt-community,pwa-module,1.2k,https://github.com/nuxt-community/pwa-module
snorpey,jpg-glitch,1.2k,https://github.com/snorpey/jpg-glitch
nuxt,hackernews,1.1k,https://github.com/nuxt/hackernews
uasoft-indonesia,badaso,1.1k,https://github.com/uasoft-indonesia/badaso
GoogleChromeLabs,pwacompat,1.1k,https://github.com/GoogleChromeLabs/pwacompat
sudhakar3697,awesome-electron-alternatives,1.1k,https://github.com/sudhakar3697/awesome-electron-alternatives
rgab1508,PixelCraft,1.1k,https://github.com/rgab1508/PixelCraft
maciejtreder,ng-toolkit,1.1k,https://github.com/maciejtreder/ng-toolkit
gdg-x,hoverboard,1k,https://github.com/gdg-x/hoverboard
code-kotis,qr-code-scanner,1k,https://github.com/code-kotis/qr-code-scanner
tr1s,tris-webpack-boilerplate,1k,https://github.com/tr1s/tris-webpack-boilerplate
nolanlawson,pinafore,1k,https://github.com/nolanlawson/pinafore
magento,pwa-studio,1k,https://github.com/magento/pwa-studio
pwa-builder,pwa-starter,1k,https://github.com/pwa-builder/pwa-starter
developit,preact-boilerplate,973,https://github.com/developit/preact-boilerplate
Metnew,suicrux,944,https://github.com/Metnew/suicrux
reuixiy,hugo-theme-meme,928,https://github.com/reuixiy/hugo-theme-meme
aermin,ghChat,927,https://github.com/aermin/ghChat
nicejade,nice-front-end-tutorial,903,https://github.com/nicejade/nice-front-end-tutorial
gokulkrishh,demo-progressive-web-app,903,https://github.com/gokulkrishh/demo-progressive-web-app
bangle-io,bangle-io,887,https://github.com/bangle-io/bangle-io
ayastreb,money-tracker,844,https://github.com/ayastreb/money-tracker
snuffyDev,Beatbump,839,https://github.com/snuffyDev/Beatbump
