Username,Repository,Stars,Repo URL
yarnpkg,yarn,41.3k,https://github.com/yarnpkg/yarn
Homebrew,brew,37.3k,https://github.com/Homebrew/brew
composer,composer,27.9k,https://github.com/composer/composer
python-poetry,poetry,26.9k,https://github.com/python-poetry/poetry
pnpm,pnpm,25.6k,https://github.com/pnpm/pnpm
microsoft,winget-cli,20.9k,https://github.com/microsoft/winget-cli
microsoft,vcpkg,19.8k,https://github.com/microsoft/vcpkg
bower,bower,15k,https://github.com/bower/bower
Carthage,Carthage,14.9k,https://github.com/Carthage/Carthage
CocoaPods,CocoaPods,14.3k,https://github.com/CocoaPods/CocoaPods
golang,dep,12.9k,https://github.com/golang/dep
rust-lang,cargo,11k,https://github.com/rust-lang/cargo
chocolatey,choco,9.4k,https://github.com/chocolatey/choco
ds300,patch-package,9.4k,https://github.com/ds300/patch-package
NixOS,nix,9.1k,https://github.com/NixOS/nix
volta-cli,volta,8.7k,https://github.com/volta-cli/volta
xmake-io,xmake,7.8k,https://github.com/xmake-io/xmake
zsh-users,antigen,7.7k,https://github.com/zsh-users/antigen
pkgxdev,pkgx,7.7k,https://github.com/pkgxdev/pkgx
folke,lazy.nvim,7.5k,https://github.com/folke/lazy.nvim
npm,cli,7.5k,https://github.com/npm/cli
conan-io,conan,7.2k,https://github.com/conan-io/conan
mitsuhiko,rye,7.2k,https://github.com/mitsuhiko/rye
wbthomason,packer.nvim,7.1k,https://github.com/wbthomason/packer.nvim
platformio,platformio-core,7.1k,https://github.com/platformio/platformio-core
yarnpkg,berry,6.6k,https://github.com/yarnpkg/berry
williamboman,mason.nvim,5.4k,https://github.com/williamboman/mason.nvim
pdm-project,pdm,5.3k,https://github.com/pdm-project/pdm
mamba-org,mamba,5.2k,https://github.com/mamba-org/mamba
antfu,ni,4.9k,https://github.com/antfu/ni
marticliment,WingetUI,4.7k,https://github.com/marticliment/WingetUI
sindresorhus,awesome-npm,4.3k,https://github.com/sindresorhus/awesome-npm
gomods,athens,4.2k,https://github.com/gomods/athens
hacs,integration,3.9k,https://github.com/hacs/integration
whalebrew,whalebrew,3.8k,https://github.com/whalebrew/whalebrew
spack,spack,3.6k,https://github.com/spack/spack
rubygems,rubygems,3.4k,https://github.com/rubygems/rubygems
r-darwish,topgrade,3.4k,https://github.com/r-darwish/topgrade
MuntashirAkon,AppManager,3.3k,https://github.com/MuntashirAkon/AppManager
luarocks,luarocks,2.9k,https://github.com/luarocks/luarocks
Linuxbrew,brew,2.6k,https://github.com/Linuxbrew/brew
zkat,npx,2.6k,https://github.com/zkat/npx
radian-software,straight.el,2.5k,https://github.com/radian-software/straight.el
habitat-sh,habitat,2.5k,https://github.com/habitat-sh/habitat
loic-sharma,BaGet,2.4k,https://github.com/loic-sharma/BaGet
dcos,dcos,2.3k,https://github.com/dcos/dcos
boltpkg,bolt,2.3k,https://github.com/boltpkg/bolt
cpm-cmake,CPM.cmake,2.2k,https://github.com/cpm-cmake/CPM.cmake
npm,tink,2.2k,https://github.com/npm/tink
yonaskolb,Mint,2.1k,https://github.com/yonaskolb/Mint
chromebrew,chromebrew,2.1k,https://github.com/chromebrew/chromebrew
alexanderGugel,ied,2k,https://github.com/alexanderGugel/ied
fsprojects,Paket,1.9k,https://github.com/fsprojects/Paket
bpkg,bpkg,1.8k,https://github.com/bpkg/bpkg
fosskers,aura,1.6k,https://github.com/fosskers/aura
filipdutescu,modern-cpp-template,1.5k,https://github.com/filipdutescu/modern-cpp-template
minexew,Shrine,1.4k,https://github.com/minexew/Shrine
macports,macports-ports,1.3k,https://github.com/macports/macports-ports
orogene,orogene,1.3k,https://github.com/orogene/orogene
nmattia,niv,1.3k,https://github.com/nmattia/niv
oss-review-toolkit,ort,1.3k,https://github.com/oss-review-toolkit/ort
nim-lang,nimble,1.2k,https://github.com/nim-lang/nimble
topgrade-rs,topgrade,1.2k,https://github.com/topgrade-rs/topgrade
rpm-software-management,dnf,1.1k,https://github.com/rpm-software-management/dnf
ocaml,opam,1.1k,https://github.com/ocaml/opam
f-droid,fdroidclient,1.1k,https://github.com/f-droid/fdroidclient
zbrateam,Zebra,1.1k,https://github.com/zbrateam/Zebra
buildinspace,peru,1.1k,https://github.com/buildinspace/peru
librariesio,libraries.io,1.1k,https://github.com/librariesio/libraries.io
wimpysworld,deb-get,1.1k,https://github.com/wimpysworld/deb-get
basherpm,basher,1.1k,https://github.com/basherpm/basher
ostreedev,ostree,1k,https://github.com/ostreedev/ostree
pacstall,pacstall,1k,https://github.com/pacstall/pacstall
olofk,fusesoc,1k,https://github.com/olofk/fusesoc
LoopPerfect,buckaroo,920,https://github.com/LoopPerfect/buckaroo
icy,pacapt,913,https://github.com/icy/pacapt
