Username,Repository,Stars,Repo URL
photonstorm,phaser,35.4k,https://github.com/photonstorm/phaser
nicholas-ochoa,OpenSC2K,4.9k,https://github.com/nicholas-ochoa/OpenSC2K
ssusnic,Machine-Learning-Flappy-Bird,1.8k,https://github.com/ssusnic/Machine-Learning-Flappy-Bird
photonstorm,phaser-examples,1.7k,https://github.com/photonstorm/phaser-examples
channingbreeze,games,1.7k,https://github.com/channingbreeze/games
photonstorm,phaser-ce,1.3k,https://github.com/photonstorm/phaser-ce
lean,phaser-es6-webpack,1.3k,https://github.com/lean/phaser-es6-webpack
rexrainbow,phaser3-rex-notes,1.1k,https://github.com/rexrainbow/phaser3-rex-notes
digitsensitive,phaser3-typescript,939,https://github.com/digitsensitive/phaser3-typescript
oklemenz,PrinceJS,903,https://github.com/oklemenz/PrinceJS
enable3d,enable3d,840,https://github.com/enable3d/enable3d
kevinshen56714,SkyOffice,816,https://github.com/kevinshen56714/SkyOffice
odrick,free-tex-packer,737,https://github.com/odrick/free-tex-packer
DragonBones,DragonBonesJS,720,https://github.com/DragonBones/DragonBonesJS
lifenautjoe,webpack-starter-basic,580,https://github.com/lifenautjoe/webpack-starter-basic
ganlvtech,phaser-catch-the-cat,550,https://github.com/ganlvtech/phaser-catch-the-cat
jondubois,iogrid,473,https://github.com/jondubois/iogrid
photonstorm,phaser3-typescript-project-template,453,https://github.com/photonstorm/phaser3-typescript-project-template
mailgyc,doudizhu,439,https://github.com/mailgyc/doudizhu
photonstorm,phaser3-docs,418,https://github.com/photonstorm/phaser3-docs
photonstorm,phaser3-docs,418,https://github.com/photonstorm/phaser3-docs
yandeu,phaser-project-template,380,https://github.com/yandeu/phaser-project-template
damian-pastorini,reldens,369,https://github.com/damian-pastorini/reldens
Jerenaux,phaserquest,362,https://github.com/Jerenaux/phaserquest
balajmarius,commit4,338,https://github.com/balajmarius/commit4
PhaserEditor2D,PhaserEditor2D-v3,337,https://github.com/PhaserEditor2D/PhaserEditor2D-v3
phaserjs,phaser,321,https://github.com/phaserjs/phaser
mikewesthad,navmesh,307,https://github.com/mikewesthad/navmesh
AILHC,EasyGameFrameworkOpen,261,https://github.com/AILHC/EasyGameFrameworkOpen
julien,generator-phaser,259,https://github.com/julien/generator-phaser
jsfehler,phaser-ui-tools,255,https://github.com/jsfehler/phaser-ui-tools
proyecto26,ion-phaser,246,https://github.com/proyecto26/ion-phaser
expo,expo-phaser,218,https://github.com/expo/expo-phaser
knagaitsev,slither.io-clone,215,https://github.com/knagaitsev/slither.io-clone
Sun0fABeach,vue-phaser3,209,https://github.com/Sun0fABeach/vue-phaser3
aaron5670,PokeMMO-Online-Realtime-Multiplayer-Game,205,https://github.com/aaron5670/PokeMMO-Online-Realtime-Multiplayer-Game
azerion,phaser-input,198,https://github.com/azerion/phaser-input
Flaxis,slick-ui,189,https://github.com/Flaxis/slick-ui
jojoee,phaser-examples,182,https://github.com/jojoee/phaser-examples
Annoraaq,grid-engine,181,https://github.com/Annoraaq/grid-engine
yuwanli,phaser-collection,180,https://github.com/yuwanli/phaser-collection
cristianbote,phaser-state-transition,174,https://github.com/cristianbote/phaser-state-transition
kestrelm,Creature_WebGL,165,https://github.com/kestrelm/Creature_WebGL
koreezgames,phaser3-particle-editor,160,https://github.com/koreezgames/phaser3-particle-editor
yandeu,phaser-project-template-es6,148,https://github.com/yandeu/phaser-project-template-es6
rblopes,generator-phaser-plus,143,https://github.com/rblopes/generator-phaser-plus
proyecto26,Phaser-Kinetic-Scrolling-Plugin,130,https://github.com/proyecto26/Phaser-Kinetic-Scrolling-Plugin
hexus,phaser-arcade-slopes,123,https://github.com/hexus/phaser-arcade-slopes
azerion,phaser-spine,120,https://github.com/azerion/phaser-spine
mattcolman,phaser-list-view,111,https://github.com/mattcolman/phaser-list-view
snollygolly,IsoCitySim,110,https://github.com/snollygolly/IsoCitySim
laineus,phavuer,109,https://github.com/laineus/phavuer
giongto35,gowog,108,https://github.com/giongto35/gowog
azerion,phaser-ts-boilerplate,106,https://github.com/azerion/phaser-ts-boilerplate
B3L7,phaser3-tilemap-pack,103,https://github.com/B3L7/phaser3-tilemap-pack
Lallassu,badsanta,100,https://github.com/Lallassu/badsanta
AmosXu,red-packet-rain,98,https://github.com/AmosXu/red-packet-rain
josephmbustamante,phaser3-typescript-starter-kit,96,https://github.com/josephmbustamante/phaser3-typescript-starter-kit
pierpo,phaser3-simple-rpg,96,https://github.com/pierpo/phaser3-simple-rpg
geckosio,phaser-on-nodejs,95,https://github.com/geckosio/phaser-on-nodejs
