Username,Repository,Stars,Repo URL
netdata,netdata,65.4k,https://github.com/netdata/netdata
supabase,supabase,57.7k,https://github.com/supabase/supabase
gogs,gogs,43k,https://github.com/gogs/gogs
discourse,discourse,38.9k,https://github.com/discourse/discourse
nocodb,nocodb,38.1k,https://github.com/nocodb/nocodb
metabase,metabase,34.5k,https://github.com/metabase/metabase
prisma,prisma,34.1k,https://github.com/prisma/prisma
dbeaver,dbeaver,34k,https://github.com/dbeaver/dbeaver
typeorm,typeorm,32.2k,https://github.com/typeorm/typeorm
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
getredash,redash,23.9k,https://github.com/getredash/redash
calcom,cal.com,23.6k,https://github.com/calcom/cal.com
directus,directus,23.3k,https://github.com/directus/directus
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
apache,shardingsphere,18.8k,https://github.com/apache/shardingsphere
knex,knex,18.1k,https://github.com/knex/knex
makeplane,plane,17.6k,https://github.com/makeplane/plane
cube-js,cube,16.3k,https://github.com/cube-js/cube
plausible,analytics,16.2k,https://github.com/plausible/analytics
Tencent,APIJSON,15.9k,https://github.com/Tencent/APIJSON
timescale,timescaledb,15.6k,https://github.com/timescale/timescaledb
baomidou,mybatis-plus,15.1k,https://github.com/baomidou/mybatis-plus
ty4z2008,Qix,14.4k,https://github.com/ty4z2008/Qix
drizzle-team,drizzle-orm,13.9k,https://github.com/drizzle-team/drizzle-orm
beekeeper-studio,beekeeper-studio,13.7k,https://github.com/beekeeper-studio/beekeeper-studio
NodeBB,NodeBB,13.6k,https://github.com/NodeBB/NodeBB
tiangolo,full-stack-fastapi-postgresql,13.1k,https://github.com/tiangolo/full-stack-fastapi-postgresql
questdb,questdb,12.8k,https://github.com/questdb/questdb
graphile,crystal,12.2k,https://github.com/graphile/crystal
brianc,node-postgres,11.5k,https://github.com/brianc/node-postgres
dbcli,pgcli,11.3k,https://github.com/dbcli/pgcli
diesel-rs,diesel,11k,https://github.com/diesel-rs/diesel
ixahmedxi,noodle,10.9k,https://github.com/ixahmedxi/noodle
launchbadge,sqlx,10k,https://github.com/launchbadge/sqlx
neondatabase,neon,9.9k,https://github.com/neondatabase/neon
sqlc-dev,sqlc,9.2k,https://github.com/sqlc-dev/sqlc
doctrine,dbal,9.2k,https://github.com/doctrine/dbal
benawad,dogehouse,9.2k,https://github.com/benawad/dogehouse
dhamaniasad,awesome-postgres,9.1k,https://github.com/dhamaniasad/awesome-postgres
citusdata,citus,9k,https://github.com/citusdata/citus
coollabsio,coolify,9k,https://github.com/coollabsio/coolify
xo,usql,8.2k,https://github.com/xo/usql
sosedoff,pgweb,8.1k,https://github.com/sosedoff/pgweb
openreplay,openreplay,8k,https://github.com/openreplay/openreplay
FerretDB,FerretDB,7.7k,https://github.com/FerretDB/FerretDB
chat2db,Chat2DB,7.6k,https://github.com/chat2db/Chat2DB
digoal,blog,7.6k,https://github.com/digoal/blog
kysely-org,kysely,7.5k,https://github.com/kysely-org/kysely
flyway,flyway,7.4k,https://github.com/flyway/flyway
microsoft,azuredatastudio,7.2k,https://github.com/microsoft/azuredatastudio
bytebase,bytebase,7k,https://github.com/bytebase/bytebase
go-xorm,xorm,6.6k,https://github.com/go-xorm/xorm
samuelclay,NewsBlur,6.5k,https://github.com/samuelclay/NewsBlur
mikro-orm,mikro-orm,6.5k,https://github.com/mikro-orm/mikro-orm
bookshelf,bookshelf,6.3k,https://github.com/bookshelf/bookshelf
logto-io,logto,6.3k,https://github.com/logto-io/logto
MagicStack,asyncpg,6.2k,https://github.com/MagicStack/asyncpg
supabase,realtime,6.1k,https://github.com/supabase/realtime
windmill-labs,windmill,6.1k,https://github.com/windmill-labs/windmill
volatiletech,sqlboiler,6k,https://github.com/volatiletech/sqlboiler
donnemartin,dev-setup,6k,https://github.com/donnemartin/dev-setup
greenplum-db,gpdb,6k,https://github.com/greenplum-db/gpdb
vrana,adminer,5.8k,https://github.com/vrana/adminer
zalando,patroni,5.8k,https://github.com/zalando/patroni
jOOQ,jOOQ,5.7k,https://github.com/jOOQ/jOOQ
turbot,steampipe,5.6k,https://github.com/turbot/steampipe
miniflux,v2,5.5k,https://github.com/miniflux/v2
go-pg,pg,5.5k,https://github.com/go-pg/pg
