Username,Repository,Stars,Repo URL
makeplane,plane,17.6k,https://github.com/makeplane/plane
mattermost,focalboard,16.3k,https://github.com/mattermost/focalboard
frappe,erpnext,14.9k,https://github.com/frappe/erpnext
kanboard,kanboard,7.8k,https://github.com/kanboard/kanboard
opf,openproject,7.4k,https://github.com/opf/openproject
JordanKnott,taskcafe,3.9k,https://github.com/JordanKnott/taskcafe
bbatsov,projectile,3.9k,https://github.com/bbatsov/projectile
kuaifan,dootask,3.8k,https://github.com/kuaifan/dootask
mark-when,markwhen,3.1k,https://github.com/mark-when/markwhen
gdcmarinho,awesome-project,2.8k,https://github.com/gdcmarinho/awesome-project
Leantime,leantime,2.6k,https://github.com/Leantime/leantime
ONLYOFFICE,CommunityServer,2.4k,https://github.com/ONLYOFFICE/CommunityServer
boltpkg,bolt,2.3k,https://github.com/boltpkg/bolt
200ok-ch,organice,2.2k,https://github.com/200ok-ch/organice
Hasnayeen,invobook,1.9k,https://github.com/Hasnayeen/invobook
freeplane,freeplane,1.8k,https://github.com/freeplane/freeplane
engineering-management,awesome-engineering-management,1.8k,https://github.com/engineering-management/awesome-engineering-management
lxerxa,actionview,1.8k,https://github.com/lxerxa/actionview
a54552239,pearProject,1.8k,https://github.com/a54552239/pearProject
dephell,dephell,1.8k,https://github.com/dephell/dephell
kdeldycke,awesome-engineering-team-management,1.7k,https://github.com/kdeldycke/awesome-engineering-team-management
alefragnani,vscode-project-manager,1.7k,https://github.com/alefragnani/vscode-project-manager
ycd,manage-fastapi,1.5k,https://github.com/ycd/manage-fastapi
MyCollab,mycollab,1.2k,https://github.com/MyCollab/mycollab
gopeak,masterlab,1.2k,https://github.com/gopeak/masterlab
neuronetio,gantt-elastic,1.2k,https://github.com/neuronetio/gantt-elastic
DHTMLX,gantt,1.1k,https://github.com/DHTMLX/gantt
chintanbanugaria,92five,1.1k,https://github.com/chintanbanugaria/92five
easysoft,zentaopms,1.1k,https://github.com/easysoft/zentaopms
aviaviavi,toodles,968,https://github.com/aviaviavi/toodles
workflowr,workflowr,787,https://github.com/workflowr/workflowr
bestpractical,rt,778,https://github.com/bestpractical/rt
JuliaDynamics,DrWatson.jl,760,https://github.com/JuliaDynamics/DrWatson.jl
bardsoftware,ganttproject,757,https://github.com/bardsoftware/ganttproject
officelifehq,officelife,757,https://github.com/officelifehq/officelife
