Username,Repository,Stars,Repo URL
TryGhost,Ghost,44.2k,https://github.com/TryGhost/Ghost
lerna,lerna,35k,https://github.com/lerna/lerna
jgm,pandoc,30.1k,https://github.com/jgm/pandoc
timlrx,tailwind-nextjs-starter-blog,5.7k,https://github.com/timlrx/tailwind-nextjs-starter-blog
nteract,papermill,5.4k,https://github.com/nteract/papermill
Triple-T,gradle-play-publisher,4k,https://github.com/Triple-T/gradle-play-publisher
writefreely,writefreely,3.8k,https://github.com/writefreely/writefreely
austintoddj,canvas,3.2k,https://github.com/austintoddj/canvas
themsaid,wink,2.8k,https://github.com/themsaid/wink
substance,substance,2.7k,https://github.com/substance/substance
TryGhost,Casper,2.5k,https://github.com/TryGhost/Casper
intuit,auto,2.1k,https://github.com/intuit/auto
sile-typesetter,sile,1.5k,https://github.com/sile-typesetter/sile
w3c,epubcheck,1.4k,https://github.com/w3c/epubcheck
openjournals,joss,1.3k,https://github.com/openjournals/joss
vanniktech,gradle-maven-publish-plugin,1k,https://github.com/vanniktech/gradle-maven-publish-plugin
substance,texture,992,https://github.com/substance/texture
man-group,notebooker,764,https://github.com/man-group/notebooker
elgohr,Publish-Docker-Github-Action,763,https://github.com/elgohr/Publish-Docker-Github-Action
javiereguiluz,easybook,754,https://github.com/javiereguiluz/easybook
Azure,ResourceModules,657,https://github.com/Azure/ResourceModules
WilliamVenner,gmpublisher,641,https://github.com/WilliamVenner/gmpublisher
FeatherCMS,feather,583,https://github.com/FeatherCMS/feather
morgan3d,markdeep,540,https://github.com/morgan3d/markdeep
PodcastGenerator,PodcastGenerator,530,https://github.com/PodcastGenerator/PodcastGenerator
Postleaf,postleaf,513,https://github.com/Postleaf/postleaf
pandoc-scholar,pandoc-scholar,462,https://github.com/pandoc-scholar/pandoc-scholar
TryGhost,Ghost-CLI,428,https://github.com/TryGhost/Ghost-CLI
manubot,rootstock,427,https://github.com/manubot/rootstock
mityalebedev,The-Shell,426,https://github.com/mityalebedev/The-Shell
typemill,typemill,401,https://github.com/typemill/typemill
manubot,manubot,401,https://github.com/manubot/manubot
pressbooks,pressbooks,392,https://github.com/pressbooks/pressbooks
vitorfs,parsifal,384,https://github.com/vitorfs/parsifal
binshops,laravel-blog,371,https://github.com/binshops/laravel-blog
dita-ot,dita-ot,359,https://github.com/dita-ot/dita-ot
TryGhost,Starter,351,https://github.com/TryGhost/Starter
gradle-nexus,publish-plugin,349,https://github.com/gradle-nexus/publish-plugin
kelyvin,ghost-caffeine-theme,333,https://github.com/kelyvin/ghost-caffeine-theme
radude,rentry,326,https://github.com/radude/rentry
wupdigital,android-maven-publish,323,https://github.com/wupdigital/android-maven-publish
bzg,org-mode,318,https://github.com/bzg/org-mode
knadh,dictpress,313,https://github.com/knadh/dictpress
w3c,epub-specs,275,https://github.com/w3c/epub-specs
chmllr,notehub,273,https://github.com/chmllr/notehub
augnustin,google-docs-publisher,267,https://github.com/augnustin/google-docs-publisher
TryGhost,Dawn,261,https://github.com/TryGhost/Dawn
TryGhost,London,257,https://github.com/TryGhost/London
OldManUmby,DND.SRD.Wiki,246,https://github.com/OldManUmby/DND.SRD.Wiki
chrisanthropic,Open-Publisher,242,https://github.com/chrisanthropic/Open-Publisher
PreTeXtBook,pretext,235,https://github.com/PreTeXtBook/pretext
SNathJr,ghost-on-heroku,234,https://github.com/SNathJr/ghost-on-heroku
TryGhost,Ghost-Android,234,https://github.com/TryGhost/Ghost-Android
TryGhost,Massively,213,https://github.com/TryGhost/Massively
opoloo,lines-engine,213,https://github.com/opoloo/lines-engine
acl-org,ACLPUB,210,https://github.com/acl-org/ACLPUB
larrykollar,Unix-Text-Processing,196,https://github.com/larrykollar/Unix-Text-Processing
brandedoutcast,publish-nuget,195,https://github.com/brandedoutcast/publish-nuget
bonaysoft,uptoc,194,https://github.com/bonaysoft/uptoc
TryGhost,Editorial,185,https://github.com/TryGhost/Editorial
manshar,manshar,180,https://github.com/manshar/manshar
TryGhost,Lyra,177,https://github.com/TryGhost/Lyra
HaaLeo,publish-vscode-extension,171,https://github.com/HaaLeo/publish-vscode-extension
BirkbeckCTP,janeway,158,https://github.com/BirkbeckCTP/janeway
pbeck,whatsbook,152,https://github.com/pbeck/whatsbook
melmothx,amusewiki,151,https://github.com/melmothx/amusewiki
archivist,archivist,147,https://github.com/archivist/archivist
