Username,Repository,Stars,Repo URL
flameshot-org,flameshot,21.9k,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,20.3k,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,18.3k,https://github.com/matplotlib/matplotlib
barry-ran,QtScrcpy,12.6k,https://github.com/barry-ran/QtScrcpy
PySimpleGUI,PySimpleGUI,12.1k,https://github.com/PySimpleGUI/PySimpleGUI
SFTtech,openage,12k,https://github.com/SFTtech/openage
musescore,MuseScore,10.2k,https://github.com/musescore/MuseScore
mapeditor,tiled,10k,https://github.com/mapeditor/tiled
therecipe,qt,10k,https://github.com/therecipe/qt
jopohl,urh,9.8k,https://github.com/jopohl/urh
qutebrowser,qutebrowser,9k,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,8.6k,https://github.com/nodegui/nodegui
spyder-ide,spyder,7.8k,https://github.com/spyder-ide/spyder
visualfc,liteide,7.3k,https://github.com/visualfc/liteide
olive-editor,olive,7.3k,https://github.com/olive-editor/olive
albertlauncher,albert,6.9k,https://github.com/albertlauncher/albert
dail8859,NotepadNext,6.7k,https://github.com/dail8859/NotepadNext
moonlight-stream,moonlight-qt,6.4k,https://github.com/moonlight-stream/moonlight-qt
nodegui,react-nodegui,6.2k,https://github.com/nodegui/react-nodegui
filecxx,FileCentipede,5.5k,https://github.com/filecxx/FileCentipede
qTox,qTox,4.6k,https://github.com/qTox/qTox
MatsuriDayo,nekoray,4.6k,https://github.com/MatsuriDayo/nekoray
mapbox,mapbox-gl-native,4.3k,https://github.com/mapbox/mapbox-gl-native
PrismLauncher,PrismLauncher,4.1k,https://github.com/PrismLauncher/PrismLauncher
r0x0r,pywebview,3.8k,https://github.com/r0x0r/pywebview
pawelsalawa,sqlitestudio,3.8k,https://github.com/pawelsalawa/sqlitestudio
Serial-Studio,Serial-Studio,3.7k,https://github.com/Serial-Studio/Serial-Studio
LibreCAD,LibreCAD,3.7k,https://github.com/LibreCAD/LibreCAD
mixxxdj,mixxx,3.7k,https://github.com/mixxxdj/mixxx
clementine-player,Clementine,3.5k,https://github.com/clementine-player/Clementine
KDAB,hotspot,3.5k,https://github.com/KDAB/hotspot
pyqtgraph,pyqtgraph,3.4k,https://github.com/pyqtgraph/pyqtgraph
nuttyartist,notes,3.3k,https://github.com/nuttyartist/notes
zhiyiYo,PyQt-Fluent-Widgets,3k,https://github.com/zhiyiYo/PyQt-Fluent-Widgets
nodegui,svelte-nodegui,2.8k,https://github.com/nodegui/svelte-nodegui
Bitmessage,PyBitmessage,2.8k,https://github.com/Bitmessage/PyBitmessage
tonquer,picacg-qt,2.7k,https://github.com/tonquer/picacg-qt
vaibhavpandeyvpz,apkstudio,2.7k,https://github.com/vaibhavpandeyvpz/apkstudio
gqrx-sdr,gqrx,2.6k,https://github.com/gqrx-sdr/gqrx
Snipaste,feedback,2.6k,https://github.com/Snipaste/feedback
mavlink,qgroundcontrol,2.6k,https://github.com/mavlink/qgroundcontrol
srevinsaju,guiscrcpy,2.5k,https://github.com/srevinsaju/guiscrcpy
ColinDuquesnoy,QDarkStyleSheet,2.5k,https://github.com/ColinDuquesnoy/QDarkStyleSheet
XMuli,QtExamples,2.5k,https://github.com/XMuli/QtExamples
vooidzero,B23Downloader,2.5k,https://github.com/vooidzero/B23Downloader
eteran,edb-debugger,2.4k,https://github.com/eteran/edb-debugger
laserpants,qt-material-widgets,2.4k,https://github.com/laserpants/qt-material-widgets
f1xpl,openauto,2.3k,https://github.com/f1xpl/openauto
akiyosi,goneovim,2.2k,https://github.com/akiyosi/goneovim
