Username,Repository,Stars,Repo URL
microsoft,ML-For-Beginners,53.8k,https://github.com/microsoft/ML-For-Beginners
apache,spark,36.9k,https://github.com/apache/spark
plotly,dash,19.4k,https://github.com/plotly/dash
oracle,graal,19.1k,https://github.com/oracle/graal
facebook,prophet,17k,https://github.com/facebook/prophet
microsoft,LightGBM,15.5k,https://github.com/microsoft/LightGBM
FavioVazquez,ds-cheatsheets,12.4k,https://github.com/FavioVazquez/ds-cheatsheets
kanaka,mal,9.6k,https://github.com/kanaka/mal
wowchemy,wowchemy-hugo-themes,7.4k,https://github.com/wowchemy/wowchemy-hugo-themes
catboost,catboost,7.4k,https://github.com/catboost/catboost
Netflix,metaflow,7k,https://github.com/Netflix/metaflow
h2oai,h2o-3,6.5k,https://github.com/h2oai/h2o-3
tidyverse,ggplot2,6.1k,https://github.com/tidyverse/ggplot2
qinwf,awesome-R,5.6k,https://github.com/qinwf/awesome-R
nteract,papermill,5.4k,https://github.com/nteract/papermill
rstudio,shiny,5.1k,https://github.com/rstudio/shiny
tidyverse,dplyr,4.6k,https://github.com/tidyverse/dplyr
hadley,r4ds,4.1k,https://github.com/hadley/r4ds
h2oai,wave,3.7k,https://github.com/h2oai/wave
jeroenjanssens,data-science-at-the-command-line,3.6k,https://github.com/jeroenjanssens/data-science-at-the-command-line
thuquant,awesome-quant,3.5k,https://github.com/thuquant/awesome-quant
ml-tooling,ml-workspace,3.2k,https://github.com/ml-tooling/ml-workspace
jphall663,awesome-machine-learning-interpretability,3.1k,https://github.com/jphall663/awesome-machine-learning-interpretability
rstudio,rmarkdown,2.7k,https://github.com/rstudio/rmarkdown
valeman,awesome-conformal-prediction,2.6k,https://github.com/valeman/awesome-conformal-prediction
SciML,DifferentialEquations.jl,2.6k,https://github.com/SciML/DifferentialEquations.jl
BayesWitnesses,m2cgen,2.6k,https://github.com/BayesWitnesses/m2cgen
microsoft,forecasting,2.6k,https://github.com/microsoft/forecasting
tirthajyoti,Data-science-best-resources,2.6k,https://github.com/tirthajyoti/Data-science-best-resources
plotly,plotly.R,2.4k,https://github.com/plotly/plotly.R
r-lib,devtools,2.3k,https://github.com/r-lib/devtools
yihui,knitr,2.3k,https://github.com/yihui/knitr
hadley,adv-r,2.3k,https://github.com/hadley/adv-r
szcf-weiya,ESL-CN,2.3k,https://github.com/szcf-weiya/ESL-CN
mGalarnyk,datasciencecoursera,2.2k,https://github.com/mGalarnyk/datasciencecoursera
Trusted-AI,AIF360,2.2k,https://github.com/Trusted-AI/AIF360
FinMind,FinMind,2k,https://github.com/FinMind/FinMind
ujjwalkarn,DataScienceR,1.9k,https://github.com/ujjwalkarn/DataScienceR
ktaranov,sqlserver-kit,1.9k,https://github.com/ktaranov/sqlserver-kit
szilard,benchm-ml,1.9k,https://github.com/szilard/benchm-ml
kaxap,arl,1.8k,https://github.com/kaxap/arl
IndrajeetPatil,ggstatsplot,1.8k,https://github.com/IndrajeetPatil/ggstatsplot
karthik,wesanderson,1.8k,https://github.com/karthik/wesanderson
randy3k,radian,1.8k,https://github.com/randy3k/radian
rstudio,gt,1.8k,https://github.com/rstudio/gt
ktaranov,naming-convention,1.7k,https://github.com/ktaranov/naming-convention
shervinea,mit-15-003-data-science-tools,1.7k,https://github.com/shervinea/mit-15-003-data-science-tools
dreamRs,esquisse,1.7k,https://github.com/dreamRs/esquisse
rstudio,blogdown,1.7k,https://github.com/rstudio/blogdown
rich-iannone,DiagrammeR,1.6k,https://github.com/rich-iannone/DiagrammeR
mlr-org,mlr,1.6k,https://github.com/mlr-org/mlr
netgusto,nodebook,1.6k,https://github.com/netgusto/nodebook
