Username,Repository,Stars,Repo URL
rails,rails,53.6k,https://github.com/rails/rails
discourse,discourse,38.9k,https://github.com/discourse/discourse
heartcombo,devise,23.4k,https://github.com/heartcombo/devise
gitlabhq,gitlabhq,23.4k,https://github.com/gitlabhq/gitlabhq
forem,forem,21.1k,https://github.com/forem/forem
chatwoot,chatwoot,16.4k,https://github.com/chatwoot/chatwoot
diaspora,diaspora,13.3k,https://github.com/diaspora/diaspora
spree,spree,12.4k,https://github.com/spree/spree
activeadmin,activeadmin,9.4k,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8.4k,https://github.com/kaminari/kaminari
heartcombo,simple_form,8.1k,https://github.com/heartcombo/simple_form
primer,octicons,7.9k,https://github.com/primer/octicons
gobuffalo,buffalo,7.9k,https://github.com/gobuffalo/buffalo
thoughtbot,factory_bot,7.8k,https://github.com/thoughtbot/factory_bot
presidentbeef,brakeman,6.8k,https://github.com/presidentbeef/brakeman
reactjs,react-rails,6.7k,https://github.com/reactjs/react-rails
paper-trail-gem,paper_trail,6.6k,https://github.com/paper-trail-gem/paper_trail
rubocop,rails-style-guide,6.4k,https://github.com/rubocop/rails-style-guide
ankane,searchkick,6.3k,https://github.com/ankane/searchkick
sj26,mailcatcher,6.1k,https://github.com/sj26/mailcatcher
norman,friendly_id,6k,https://github.com/norman/friendly_id
railsgirls,guides.railsgirls.com,6k,https://github.com/railsgirls/guides.railsgirls.com
mislav,will_paginate,5.7k,https://github.com/mislav/will_paginate
thoughtbot,administrate,5.7k,https://github.com/thoughtbot/administrate
activerecord-hackery,ransack,5.5k,https://github.com/activerecord-hackery/ransack
CanCanCommunity,cancancan,5.4k,https://github.com/CanCanCommunity/cancancan
rails,webpacker,5.3k,https://github.com/rails/webpacker
rmosolgo,graphql-ruby,5.3k,https://github.com/rmosolgo/graphql-ruby
aasm,aasm,4.9k,https://github.com/aasm/aasm
solidusio,solidus,4.8k,https://github.com/solidusio/solidus
simplecov-ruby,simplecov,4.6k,https://github.com/simplecov-ruby/simplecov
mina-deploy,mina,4.3k,https://github.com/mina-deploy/mina
octobox,octobox,4.3k,https://github.com/octobox/octobox
ctran,annotate_models,4.2k,https://github.com/ctran/annotate_models
ddnexus,pagy,4.2k,https://github.com/ddnexus/pagy
thoughtbot,suspenders,3.9k,https://github.com/thoughtbot/suspenders
ankane,ahoy,3.9k,https://github.com/ankane/ahoy
refinery,refinerycms,3.9k,https://github.com/refinery/refinerycms
ruby-china,homeland,3.7k,https://github.com/ruby-china/homeland
zammad,zammad,3.7k,https://github.com/zammad/zammad
thoughtbot,clearance,3.6k,https://github.com/thoughtbot/clearance
lobsters,lobsters,3.6k,https://github.com/lobsters/lobsters
lynndylanhurley,devise_token_auth,3.5k,https://github.com/lynndylanhurley/devise_token_auth
thoughtbot,shoulda-matchers,3.4k,https://github.com/thoughtbot/shoulda-matchers
gramantin,awesome-rails,3.4k,https://github.com/gramantin/awesome-rails
flippercloud,flipper,3.4k,https://github.com/flippercloud/flipper
travisjeffery,timecop,3.3k,https://github.com/travisjeffery/timecop
scenic-views,scenic,3.2k,https://github.com/scenic-views/scenic
collectiveidea,audited,3.2k,https://github.com/collectiveidea/audited
railsbridge,docs,3.2k,https://github.com/railsbridge/docs
ohler55,oj,3k,https://github.com/ohler55/oj
elastic,elasticsearch-rails,3k,https://github.com/elastic/elasticsearch-rails
SUSE,Portus,3k,https://github.com/SUSE/Portus
unicodeveloper,awesome-opensource-apps,2.9k,https://github.com/unicodeveloper/awesome-opensource-apps
public-activity,public_activity,2.9k,https://github.com/public-activity/public_activity
comfy,comfortable-mexican-sofa,2.7k,https://github.com/comfy/comfortable-mexican-sofa
activeadmin,inherited_resources,2.7k,https://github.com/activeadmin/inherited_resources
DavyJonesLocker,client_side_validations,2.7k,https://github.com/DavyJonesLocker/client_side_validations
splitrb,split,2.7k,https://github.com/splitrb/split
chaskiq,chaskiq,2.7k,https://github.com/chaskiq/chaskiq
jejacks0n,mercury,2.6k,https://github.com/jejacks0n/mercury
kpumuk,meta-tags,2.6k,https://github.com/kpumuk/meta-tags
scambra,devise_invitable,2.6k,https://github.com/scambra/devise_invitable
theforeman,foreman,2.4k,https://github.com/theforeman/foreman
fnando,browser,2.4k,https://github.com/fnando/browser
NoamB,sorcery,2.3k,https://github.com/NoamB/sorcery
danmayer,coverband,2.3k,https://github.com/danmayer/coverband
macournoyer,thin,2.2k,https://github.com/macournoyer/thin
rpush,rpush,2.2k,https://github.com/rpush/rpush
dreikanter,ruby-bookmarks,2.2k,https://github.com/dreikanter/ruby-bookmarks
eliotsykes,rspec-rails-examples,2.2k,https://github.com/eliotsykes/rspec-rails-examples
stimulusreflex,stimulus_reflex,2.1k,https://github.com/stimulusreflex/stimulus_reflex
adamcooke,staytus,2.1k,https://github.com/adamcooke/staytus
SpinaCMS,Spina,2.1k,https://github.com/SpinaCMS/Spina
bensheldon,good_job,2.1k,https://github.com/bensheldon/good_job
rubyconfig,config,2k,https://github.com/rubyconfig/config
remi,her,2k,https://github.com/remi/her
excid3,noticed,2k,https://github.com/excid3/noticed
heartcombo,responders,2k,https://github.com/heartcombo/responders
ruby-shoryuken,shoryuken,2k,https://github.com/ruby-shoryuken/shoryuken
danbooru,danbooru,2k,https://github.com/danbooru/danbooru
houndci,hound,1.9k,https://github.com/houndci/hound
ambethia,recaptcha,1.9k,https://github.com/ambethia/recaptcha
TrestleAdmin,trestle,1.9k,https://github.com/TrestleAdmin/trestle
alexrudall,ruby-openai,1.8k,https://github.com/alexrudall/ruby-openai
karafka,karafka,1.8k,https://github.com/karafka/karafka
magnusvk,counter_culture,1.8k,https://github.com/magnusvk/counter_culture
brunofacca,zen-rails-security-checklist,1.8k,https://github.com/brunofacca/zen-rails-security-checklist
publify,publify,1.8k,https://github.com/publify/publify
ClosureTree,closure_tree,1.8k,https://github.com/ClosureTree/closure_tree
test-prof,test-prof,1.7k,https://github.com/test-prof/test-prof
snibox,snibox,1.7k,https://github.com/snibox/snibox
pay-rails,pay,1.6k,https://github.com/pay-rails/pay
fphilipe,premailer-rails,1.6k,https://github.com/fphilipe/premailer-rails
pat,thinking-sphinx,1.6k,https://github.com/pat/thinking-sphinx
catarse,catarse,1.6k,https://github.com/catarse/catarse
24pullrequests,24pullrequests,1.6k,https://github.com/24pullrequests/24pullrequests
bootstrap-ruby,bootstrap_form,1.6k,https://github.com/bootstrap-ruby/bootstrap_form
adzap,validates_timeliness,1.6k,https://github.com/adzap/validates_timeliness
thredded,thredded,1.5k,https://github.com/thredded/thredded
