Username,Repository,Stars,Repo URL
netdata,netdata,65.4k,https://github.com/netdata/netdata
home-assistant,core,63.3k,https://github.com/home-assistant/core
pi-hole,pi-hole,43.6k,https://github.com/pi-hole/pi-hole
gogs,gogs,43k,https://github.com/gogs/gogs
hwdsl2,setup-ipsec-vpn,22.8k,https://github.com/hwdsl2/setup-ipsec-vpn
MichMich,MagicMirror,18.2k,https://github.com/MichMich/MagicMirror
jarun,nnn,17.1k,https://github.com/jarun/nnn
raysan5,raylib,15.6k,https://github.com/raysan5/raylib
microsoft,IoT-For-Beginners,13.6k,https://github.com/microsoft/IoT-For-Beginners
rwaldron,johnny-five,13.1k,https://github.com/rwaldron/johnny-five
s-matyukevich,raspberry-pi-os,12.5k,https://github.com/s-matyukevich/raspberry-pi-os
thibmaek,awesome-raspberry-pi,11.9k,https://github.com/thibmaek/awesome-raspberry-pi
rust-embedded,rust-raspberrypi-OS-tutorials,11.7k,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
therecipe,qt,10k,https://github.com/therecipe/qt
RetroPie,RetroPie-Setup,9.8k,https://github.com/RetroPie/RetroPie-Setup
nasa,fprime,9.6k,https://github.com/nasa/fprime
openframeworks,openFrameworks,9.5k,https://github.com/openframeworks/openFrameworks
hybridgroup,gobot,8.5k,https://github.com/hybridgroup/gobot
navidrome,navidrome,7.8k,https://github.com/navidrome/navidrome
OctoPrint,OctoPrint,7.6k,https://github.com/OctoPrint/OctoPrint
pikvm,pikvm,6.4k,https://github.com/pikvm/pikvm
pivpn,pivpn,6.4k,https://github.com/pivpn/pivpn
MycroftAI,mycroft-core,6.3k,https://github.com/MycroftAI/mycroft-core
alphacep,vosk-api,6.2k,https://github.com/alphacep/vosk-api
mikeroyal,Self-Hosting-Guide,6.1k,https://github.com/mikeroyal/Self-Hosting-Guide
SuLingGG,OpenWrt-Rpi,6.1k,https://github.com/SuLingGG/OpenWrt-Rpi
alexellis,k3sup,5.5k,https://github.com/alexellis/k3sup
getumbrel,umbrel,5k,https://github.com/getumbrel/umbrel
raspberrypi,documentation,4.9k,https://github.com/raspberrypi/documentation
cuberite,cuberite,4.7k,https://github.com/cuberite/cuberite
FD-,RPiPlay,4.7k,https://github.com/FD-/RPiPlay
CCOSTAN,Home-AssistantConfig,4.5k,https://github.com/CCOSTAN/Home-AssistantConfig
dtcooper,raspotify,4.3k,https://github.com/dtcooper/raspotify
patriciogonzalezvivo,glslViewer,4.2k,https://github.com/patriciogonzalezvivo/glslViewer
nhivp,Awesome-Embedded,4.2k,https://github.com/nhivp/Awesome-Embedded
ClemensElflein,OpenMower,4.1k,https://github.com/ClemensElflein/OpenMower
RaspAP,raspap-webgui,4.1k,https://github.com/RaspAP/raspap-webgui
hybridgroup,cylon,4k,https://github.com/hybridgroup/cylon
anudeepND,whitelist,3.9k,https://github.com/anudeepND/whitelist
blynkkk,blynk-library,3.7k,https://github.com/blynkkk/blynk-library
sayanarijit,xplr,3.5k,https://github.com/sayanarijit/xplr
starrtc,starrtc-android-demo,3.4k,https://github.com/starrtc/starrtc-android-demo
hzeller,rpi-rgb-led-matrix,3.3k,https://github.com/hzeller/rpi-rgb-led-matrix
Drewsif,PiShrink,3.1k,https://github.com/Drewsif/PiShrink
pyload,pyload,3k,https://github.com/pyload/pyload
autorope,donkeycar,2.9k,https://github.com/autorope/donkeycar
gokrazy,gokrazy,2.9k,https://github.com/gokrazy/gokrazy
evancohen,smart-mirror,2.8k,https://github.com/evancohen/smart-mirror
kizniche,Mycodo,2.7k,https://github.com/kizniche/Mycodo
openfans-community-offical,Debian-Pi-Aarch64,2.6k,https://github.com/openfans-community-offical/Debian-Pi-Aarch64
bitfieldaudio,OTTO,2.6k,https://github.com/bitfieldaudio/OTTO
tiny-pilot,tinypilot,2.6k,https://github.com/tiny-pilot/tinypilot
scottlawsonbc,audio-reactive-led-strip,2.6k,https://github.com/scottlawsonbc/audio-reactive-led-strip
homebridge,docker-homebridge,2.5k,https://github.com/homebridge/docker-homebridge
PetoiCamp,OpenCat,2.4k,https://github.com/PetoiCamp/OpenCat
GladysAssistant,Gladys,2.4k,https://github.com/GladysAssistant/Gladys
azlux,log2ram,2.3k,https://github.com/azlux/log2ram
piku,piku,2.3k,https://github.com/piku/piku
dw-0,kiauh,2.3k,https://github.com/dw-0/kiauh
f1xpl,openauto,2.2k,https://github.com/f1xpl/openauto
balena-labs-projects,balena-sound,2.2k,https://github.com/balena-labs-projects/balena-sound
samjabrahams,tensorflow-on-raspberry-pi,2.2k,https://github.com/samjabrahams/tensorflow-on-raspberry-pi
nextcloud,nextcloudpi,2.2k,https://github.com/nextcloud/nextcloudpi
timothymiller,cloudflare-ddns,2.1k,https://github.com/timothymiller/cloudflare-ddns
wwj718,awesome-raspberry-pi-zh,2.1k,https://github.com/wwj718/awesome-raspberry-pi-zh
cncjs,cncjs,2.1k,https://github.com/cncjs/cncjs
opencardev,crankshaft,2k,https://github.com/opencardev/crankshaft
Screenly,Anthias,1.9k,https://github.com/Screenly/Anthias
blinker-iot,blinker-js,1.9k,https://github.com/blinker-iot/blinker-js
dresden-elektronik,deconz-rest-plugin,1.9k,https://github.com/dresden-elektronik/deconz-rest-plugin
wzpan,dingdang-robot,1.9k,https://github.com/wzpan/dingdang-robot
vmstan,gravity-sync,1.8k,https://github.com/vmstan/gravity-sync
gpiozero,gpiozero,1.7k,https://github.com/gpiozero/gpiozero
ZerBea,hcxtools,1.7k,https://github.com/ZerBea/hcxtools
bjoernkarmann,project_alias,1.7k,https://github.com/bjoernkarmann/project_alias
geerlingguy,raspberry-pi-dramble,1.7k,https://github.com/geerlingguy/raspberry-pi-dramble
