Username,Repository,Stars,Repo URL
DopplerHQ,awesome-interview-questions,58.1k,https://github.com/DopplerHQ/awesome-interview-questions
rails,rails,53.6k,https://github.com/rails/rails
jekyll,jekyll,47.3k,https://github.com/jekyll/jekyll
discourse,discourse,38.9k,https://github.com/discourse/discourse
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
Homebrew,brew,37.3k,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,37.1k,https://github.com/serhii-londar/open-source-mac-os-apps
SeleniumHQ,selenium,28k,https://github.com/SeleniumHQ/selenium
hashicorp,vagrant,25.4k,https://github.com/hashicorp/vagrant
heartcombo,devise,23.4k,https://github.com/heartcombo/devise
gitlabhq,gitlabhq,23.4k,https://github.com/gitlabhq/gitlabhq
forem,forem,21.1k,https://github.com/forem/forem
ruby,ruby,20.8k,https://github.com/ruby/ruby
oracle,graal,19.1k,https://github.com/oracle/graal
asdf-vm,asdf,18.7k,https://github.com/asdf-vm/asdf
lewagon,setup,16.6k,https://github.com/lewagon/setup
rubocop,ruby-style-guide,16.3k,https://github.com/rubocop/ruby-style-guide
rbenv,rbenv,15.3k,https://github.com/rbenv/rbenv
gollum,gollum,13.3k,https://github.com/gollum/gollum
diaspora,diaspora,13.3k,https://github.com/diaspora/diaspora
postalserver,postal,13.1k,https://github.com/postalserver/postal
markets,awesome-ruby,13.1k,https://github.com/markets/awesome-ruby
Homebrew,homebrew-core,12.7k,https://github.com/Homebrew/homebrew-core
sidekiq,sidekiq,12.7k,https://github.com/sidekiq/sidekiq
capistrano,capistrano,12.6k,https://github.com/capistrano/capistrano
spree,spree,12.4k,https://github.com/spree/spree
rubocop,rubocop,12.4k,https://github.com/rubocop/rubocop
fluent,fluentd,12.2k,https://github.com/fluent/fluentd
sinatra,sinatra,12k,https://github.com/sinatra/sinatra
faker-ruby,faker,10.9k,https://github.com/faker-ruby/faker
codota,TabNine,10.2k,https://github.com/codota/TabNine
learnbyexample,Command-line-text-processing,10.1k,https://github.com/learnbyexample/Command-line-text-processing
ruby-grape,grape,9.8k,https://github.com/ruby-grape/grape
kanaka,mal,9.6k,https://github.com/kanaka/mal
activeadmin,activeadmin,9.4k,https://github.com/activeadmin/activeadmin
resque,resque,9.3k,https://github.com/resque/resque
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
returntocorp,semgrep,8.9k,https://github.com/returntocorp/semgrep
grafana,pyroscope,8.6k,https://github.com/grafana/pyroscope
kaminari,kaminari,8.4k,https://github.com/kaminari/kaminari
awsdocs,aws-doc-sdk-examples,8.2k,https://github.com/awsdocs/aws-doc-sdk-examples
heartcombo,simple_form,8.1k,https://github.com/heartcombo/simple_form
varvet,pundit,8k,https://github.com/varvet/pundit
TheOdinProject,curriculum,7.9k,https://github.com/TheOdinProject/curriculum
thoughtbot,factory_bot,7.8k,https://github.com/thoughtbot/factory_bot
omniauth,omniauth,7.8k,https://github.com/omniauth/omniauth
puma,puma,7.5k,https://github.com/puma/puma
opf,openproject,7.4k,https://github.com/opf/openproject
realm,jazzy,7.3k,https://github.com/realm/jazzy
github-changelog-generator,github-changelog-generator,7.2k,https://github.com/github-changelog-generator/github-changelog-generator
github,scientist,7.1k,https://github.com/github/scientist
presidentbeef,brakeman,6.8k,https://github.com/presidentbeef/brakeman
reactjs,react-rails,6.7k,https://github.com/reactjs/react-rails
pry,pry,6.6k,https://github.com/pry/pry
paper-trail-gem,paper_trail,6.6k,https://github.com/paper-trail-gem/paper_trail
rubocop,rails-style-guide,6.4k,https://github.com/rubocop/rails-style-guide
bkeepers,dotenv,6.4k,https://github.com/bkeepers/dotenv
julienXX,terminal-notifier,6.2k,https://github.com/julienXX/terminal-notifier
hanami,hanami,6.1k,https://github.com/hanami/hanami
sparklemotion,nokogiri,6.1k,https://github.com/sparklemotion/nokogiri
sj26,mailcatcher,6.1k,https://github.com/sj26/mailcatcher
norman,friendly_id,6k,https://github.com/norman/friendly_id
railsgirls,guides.railsgirls.com,6k,https://github.com/railsgirls/guides.railsgirls.com
atinfo,awesome-test-automation,5.9k,https://github.com/atinfo/awesome-test-automation
jnunemaker,httparty,5.7k,https://github.com/jnunemaker/httparty
mislav,will_paginate,5.7k,https://github.com/mislav/will_paginate
thoughtbot,administrate,5.7k,https://github.com/thoughtbot/administrate
fastruby,fast-ruby,5.6k,https://github.com/fastruby/fast-ruby
ruby-concurrency,concurrent-ruby,5.5k,https://github.com/ruby-concurrency/concurrent-ruby
activerecord-hackery,ransack,5.5k,https://github.com/activerecord-hackery/ransack
rack,rack-attack,5.4k,https://github.com/rack/rack-attack
rails-api,active_model_serializers,5.3k,https://github.com/rails-api/active_model_serializers
rmosolgo,graphql-ruby,5.3k,https://github.com/rmosolgo/graphql-ruby
slim-template,slim,5.2k,https://github.com/slim-template/slim
drapergem,draper,5.2k,https://github.com/drapergem/draper
cucumber,cucumber-ruby,5.2k,https://github.com/cucumber/cucumber-ruby
gaia-pipeline,gaia,5.1k,https://github.com/gaia-pipeline/gaia
evil-icons,evil-icons,5k,https://github.com/evil-icons/evil-icons
rvm,rvm,5k,https://github.com/rvm/rvm
FAQGURU,FAQGURU,5k,https://github.com/FAQGURU/FAQGURU
phusion,passenger,5k,https://github.com/phusion/passenger
up-for-grabs,up-for-grabs.net,4.9k,https://github.com/up-for-grabs/up-for-grabs.net
rubygems,bundler,4.9k,https://github.com/rubygems/bundler
aasm,aasm,4.9k,https://github.com/aasm/aasm
backup,backup,4.8k,https://github.com/backup/backup
urbanadventurer,WhatWeb,4.8k,https://github.com/urbanadventurer/WhatWeb
solidusio,solidus,4.8k,https://github.com/solidusio/solidus
opal,opal,4.8k,https://github.com/opal/opal
rack,rack,4.7k,https://github.com/rack/rack
Homebrew,homebrew-bundle,4.7k,https://github.com/Homebrew/homebrew-bundle
simplecov-ruby,simplecov,4.6k,https://github.com/simplecov-ruby/simplecov
athityakumar,colorls,4.6k,https://github.com/athityakumar/colorls
EZLippi,practical-programming-books,4.5k,https://github.com/EZLippi/practical-programming-books
