Username,Repository,Stars,Repo URL
denoland,deno,91.2k,https://github.com/denoland/deno
rust-lang,rust,86.2k,https://github.com/rust-lang/rust
tauri-apps,tauri,69.3k,https://github.com/tauri-apps/tauri
alacritty,alacritty,49k,https://github.com/alacritty/alacritty
rustdesk,rustdesk,48.8k,https://github.com/rustdesk/rustdesk
sharkdp,bat,43.4k,https://github.com/sharkdp/bat
rust-lang,rustlings,42.9k,https://github.com/rust-lang/rustlings
lencx,ChatGPT,41.9k,https://github.com/lencx/ChatGPT
BurntSushi,ripgrep,40.5k,https://github.com/BurntSushi/ripgrep
AppFlowy-IO,AppFlowy,39.5k,https://github.com/AppFlowy-IO/AppFlowy
meilisearch,meilisearch,39.3k,https://github.com/meilisearch/meilisearch
rust-unofficial,awesome-rust,37.7k,https://github.com/rust-unofficial/awesome-rust
starship,starship,36.9k,https://github.com/starship/starship
sharkdp,fd,29.1k,https://github.com/sharkdp/fd
swc-project,swc,28.7k,https://github.com/swc-project/swc
yewstack,yew,28.7k,https://github.com/yewstack/yew
dani-garcia,vaultwarden,28.4k,https://github.com/dani-garcia/vaultwarden
lapce,lapce,28k,https://github.com/lapce/lapce
bevyengine,bevy,27.4k,https://github.com/bevyengine/bevy
nushell,nushell,26.8k,https://github.com/nushell/nushell
influxdata,influxdb,26.5k,https://github.com/influxdata/influxdb
helix-editor,helix,25.2k,https://github.com/helix-editor/helix
spacedriveapp,spacedrive,25k,https://github.com/spacedriveapp/spacedrive
servo,servo,24k,https://github.com/servo/servo
toeverything,AFFiNE,22.7k,https://github.com/toeverything/AFFiNE
firecracker-microvm,firecracker,22.7k,https://github.com/firecracker-microvm/firecracker
ogham,exa,22.7k,https://github.com/ogham/exa
tokio-rs,tokio,22.4k,https://github.com/tokio-rs/tokio
SergioBenitez,Rocket,21.6k,https://github.com/SergioBenitez/Rocket
google,comprehensive-rust,21.3k,https://github.com/google/comprehensive-rust
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
pola-rs,polars,20.9k,https://github.com/pola-rs/polars
ruby,ruby,20.9k,https://github.com/ruby/ruby
iced-rs,iced,20.8k,https://github.com/iced-rs/iced
tw93,Pake,18.8k,https://github.com/tw93/Pake
dandavison,delta,18.8k,https://github.com/dandavison/delta
sunface,rust-course,18.8k,https://github.com/sunface/rust-course
actix,actix-web,18.7k,https://github.com/actix/actix-web
valeriansaliou,sonic,18.7k,https://github.com/valeriansaliou/sonic
astral-sh,ruff,18.2k,https://github.com/astral-sh/ruff
TheAlgorithms,Rust,17.7k,https://github.com/TheAlgorithms/Rust
sharkdp,hyperfine,17.6k,https://github.com/sharkdp/hyperfine
emilk,egui,16.8k,https://github.com/emilk/egui
wasmerio,wasmer,16.4k,https://github.com/wasmerio/wasmer
cube-js,cube,16.3k,https://github.com/cube-js/cube
RustPython,RustPython,15.7k,https://github.com/RustPython/RustPython
Rigellute,spotify-tui,15.6k,https://github.com/Rigellute/spotify-tui
warpdotdev,Warp,15.5k,https://github.com/warpdotdev/Warp
uutils,coreutils,15.4k,https://github.com/uutils/coreutils
learn-anything,learn-anything.xyz,15.1k,https://github.com/learn-anything/learn-anything.xyz
redox-os,redox,14.6k,https://github.com/redox-os/redox
vectordotdev,vector,14.6k,https://github.com/vectordotdev/vector
DioxusLabs,dioxus,14.3k,https://github.com/DioxusLabs/dioxus
lionsoul2014,ip2region,14.3k,https://github.com/lionsoul2014/ip2region
extrawurst,gitui,14.2k,https://github.com/extrawurst/gitui
compiler-explorer,compiler-explorer,14.1k,https://github.com/compiler-explorer/compiler-explorer
tikv,tikv,13.7k,https://github.com/tikv/tikv
denisidoro,navi,13.5k,https://github.com/denisidoro/navi
tree-sitter,tree-sitter,13.4k,https://github.com/tree-sitter/tree-sitter
bytecodealliance,wasmtime,13.2k,https://github.com/bytecodealliance/wasmtime
ruffle-rs,ruffle,13.2k,https://github.com/ruffle-rs/ruffle
rust-lang,book,13k,https://github.com/rust-lang/book
phil-opp,blog_os,12.9k,https://github.com/phil-opp/blog_os
rust-lang,rust-analyzer,12.7k,https://github.com/rust-lang/rust-analyzer
hyperium,hyper,12.6k,https://github.com/hyperium/hyper
kitao,pyxel,12.5k,https://github.com/kitao/pyxel
