Username,Repository,Stars,Repo URL
trimstray,the-book-of-secret-knowledge,109k,https://github.com/trimstray/the-book-of-secret-knowledge
Hack-with-Github,Awesome-Hacking,69.8k,https://github.com/Hack-with-Github/Awesome-Hacking
Developer-Y,cs-video-courses,60.6k,https://github.com/Developer-Y/cs-video-courses
swisskyrepo,PayloadsAllTheThings,51.3k,https://github.com/swisskyrepo/PayloadsAllTheThings
caddyserver,caddy,50k,https://github.com/caddyserver/caddy
x64dbg,x64dbg,41.7k,https://github.com/x64dbg/x64dbg
mitmproxy,mitmproxy,32.4k,https://github.com/mitmproxy/mitmproxy
trailofbits,algo,27.7k,https://github.com/trailofbits/algo
digitalocean,nginxconfig.io,26.3k,https://github.com/digitalocean/nginxconfig.io
OWASP,CheatSheetSeries,24.8k,https://github.com/OWASP/CheatSheetSeries
StevenBlack,hosts,24k,https://github.com/StevenBlack/hosts
OpenZeppelin,openzeppelin-contracts,23k,https://github.com/OpenZeppelin/openzeppelin-contracts
hwdsl2,setup-ipsec-vpn,22.8k,https://github.com/hwdsl2/setup-ipsec-vpn
shieldfy,API-Security-Checklist,21.5k,https://github.com/shieldfy/API-Security-Checklist
FallibleInc,security-guide-for-developers,20.8k,https://github.com/FallibleInc/security-guide-for-developers
osquery,osquery,20.7k,https://github.com/osquery/osquery
drduh,macOS-Security-and-Privacy-Guide,20.5k,https://github.com/drduh/macOS-Security-and-Privacy-Guide
aquasecurity,trivy,18.9k,https://github.com/aquasecurity/trivy
radareorg,radare2,18.7k,https://github.com/radareorg/radare2
matomo-org,matomo,18.2k,https://github.com/matomo-org/matomo
authelia,authelia,17.5k,https://github.com/authelia/authelia
slimtoolkit,slim,17.3k,https://github.com/slimtoolkit/slim
keepassxreboot,keepassxc,17.2k,https://github.com/keepassxreboot/keepassxc
cilium,cilium,16.6k,https://github.com/cilium/cilium
imthenachoman,How-To-Secure-A-Linux-Server,15.9k,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
gravitational,teleport,15.2k,https://github.com/gravitational/teleport
projectdiscovery,nuclei,14.9k,https://github.com/projectdiscovery/nuclei
bettercap,bettercap,14.6k,https://github.com/bettercap/bettercap
ory,hydra,14.5k,https://github.com/ory/hydra
rizinorg,cutter,14.1k,https://github.com/rizinorg/cutter
gitleaks,gitleaks,13.9k,https://github.com/gitleaks/gitleaks
getsops,sops,13.9k,https://github.com/getsops/sops
google,tink,13.3k,https://github.com/google/tink
trimstray,nginx-admins-handbook,13.2k,https://github.com/trimstray/nginx-admins-handbook
Hacker0x01,hacker101,13.2k,https://github.com/Hacker0x01/hacker101
Tencent,secguide,12.8k,https://github.com/Tencent/secguide
Lissy93,personal-security-checklist,12.6k,https://github.com/Lissy93/personal-security-checklist
trufflesecurity,trufflehog,12.2k,https://github.com/trufflesecurity/trufflehog
wifiphisher,wifiphisher,12.1k,https://github.com/wifiphisher/wifiphisher
GyulyVGC,sniffnet,11.8k,https://github.com/GyulyVGC/sniffnet
keeweb,keeweb,11.8k,https://github.com/keeweb/keeweb
javascript-obfuscator,javascript-obfuscator,11.8k,https://github.com/javascript-obfuscator/javascript-obfuscator
cure53,DOMPurify,11.8k,https://github.com/cure53/DOMPurify
sundowndev,hacker-roadmap,11.6k,https://github.com/sundowndev/hacker-roadmap
threat9,routersploit,11.4k,https://github.com/threat9/routersploit
docker,labs,11.3k,https://github.com/docker/labs
zaproxy,zaproxy,11.3k,https://github.com/zaproxy/zaproxy
RustScan,RustScan,10.9k,https://github.com/RustScan/RustScan
sbilly,awesome-security,10.3k,https://github.com/sbilly/awesome-security
maurosoria,dirsearch,10.3k,https://github.com/maurosoria/dirsearch
future-architect,vuls,10.3k,https://github.com/future-architect/vuls
qazbnm456,awesome-web-security,10.1k,https://github.com/qazbnm456/awesome-web-security
twpayne,chezmoi,10.1k,https://github.com/twpayne/chezmoi
drduh,YubiKey-Guide,10.1k,https://github.com/drduh/YubiKey-Guide
trimstray,test-your-sysadmin-skills,10k,https://github.com/trimstray/test-your-sysadmin-skills
cryptomator,cryptomator,9.9k,https://github.com/cryptomator/cryptomator
Infisical,infisical,9.8k,https://github.com/Infisical/infisical
gophish,gophish,9.8k,https://github.com/gophish/gophish
helmetjs,helmet,9.8k,https://github.com/helmetjs/helmet
jopohl,urh,9.8k,https://github.com/jopohl/urh
veeral-patel,how-to-secure-anything,9.7k,https://github.com/veeral-patel/how-to-secure-anything
trimstray,the-practical-linux-hardening-guide,9.5k,https://github.com/trimstray/the-practical-linux-hardening-guide
winsiderss,systeminformer,9.5k,https://github.com/winsiderss/systeminformer
secdev,scapy,9.3k,https://github.com/secdev/scapy
mvt-project,mvt,9.2k,https://github.com/mvt-project/mvt
OpenVPN,openvpn,9.1k,https://github.com/OpenVPN/openvpn
evilsocket,opensnitch,9.1k,https://github.com/evilsocket/opensnitch
IdentityServer,IdentityServer4,9.1k,https://github.com/IdentityServer/IdentityServer4
google,oss-fuzz,9.1k,https://github.com/google/oss-fuzz
chaitin,xray,9k,https://github.com/chaitin/xray
kubescape,kubescape,9k,https://github.com/kubescape/kubescape
fail2ban,fail2ban,8.8k,https://github.com/fail2ban/fail2ban
mailpile,Mailpile,8.8k,https://github.com/mailpile/Mailpile
juice-shop,juice-shop,8.8k,https://github.com/juice-shop/juice-shop
prowler-cloud,prowler,8.7k,https://github.com/prowler-cloud/prowler
upgundecha,howtheysre,8.6k,https://github.com/upgundecha/howtheysre
apsdehal,awesome-ctf,8.5k,https://github.com/apsdehal/awesome-ctf
