Username,Repository,Stars,Repo URL
gin-gonic,gin,72k,https://github.com/gin-gonic/gin
expressjs,express,62.1k,https://github.com/expressjs/express
withastro,astro,36k,https://github.com/withastro/astro
vapor,vapor,23.2k,https://github.com/vapor/vapor
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
valeriansaliou,sonic,18.7k,https://github.com/valeriansaliou/sonic
imthenachoman,How-To-Secure-A-Linux-Server,15.9k,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
ory,hydra,14.5k,https://github.com/ory/hydra
Grasscutters,Grasscutter,14.4k,https://github.com/Grasscutters/Grasscutter
http-party,http-server,12.9k,https://github.com/http-party/http-server
mail-in-a-box,mailinabox,12.4k,https://github.com/mail-in-a-box/mailinabox
OpenRCT2,OpenRCT2,12.3k,https://github.com/OpenRCT2/OpenRCT2
restify,node-restify,10.7k,https://github.com/restify/node-restify
tariqbuilds,linux-dash,10.2k,https://github.com/tariqbuilds/linux-dash
coturn,coturn,9.7k,https://github.com/coturn/coturn
adnanh,webhook,9.3k,https://github.com/adnanh/webhook
google,go-cloud,9.2k,https://github.com/google/go-cloud
seanmonstar,warp,8.6k,https://github.com/seanmonstar/warp
webpack,webpack-dev-server,7.7k,https://github.com/webpack/webpack-dev-server
egametang,ET,7.6k,https://github.com/egametang/ET
Kitura,Kitura,7.6k,https://github.com/Kitura/Kitura
puma,puma,7.5k,https://github.com/puma/puma
linuxserver,Heimdall,6.6k,https://github.com/linuxserver/Heimdall
sj26,mailcatcher,6.1k,https://github.com/sj26/mailcatcher
processone,ejabberd,5.7k,https://github.com/processone/ejabberd
vibora-io,vibora,5.7k,https://github.com/vibora-io/vibora
mumble-voip,mumble,5.6k,https://github.com/mumble-voip/mumble
ponzu-cms,ponzu,5.6k,https://github.com/ponzu-cms/ponzu
mockoon,mockoon,5.4k,https://github.com/mockoon/mockoon
kbengine,kbengine,5.3k,https://github.com/kbengine/kbengine
shazow,ssh-chat,5.2k,https://github.com/shazow/ssh-chat
svenstaro,miniserve,5.1k,https://github.com/svenstaro/miniserve
vespa-engine,vespa,4.9k,https://github.com/vespa-engine/vespa
cuberite,cuberite,4.7k,https://github.com/cuberite/cuberite
causefx,Organizr,4.6k,https://github.com/causefx/Organizr
azerothcore,azerothcore-wotlk,4.6k,https://github.com/azerothcore/azerothcore-wotlk
gluster,glusterfs,4.3k,https://github.com/gluster/glusterfs
davyxu,cellnet,4k,https://github.com/davyxu/cellnet
peers,peerjs-server,4k,https://github.com/peers/peerjs-server
boostorg,beast,4k,https://github.com/boostorg/beast
simov,grant,3.9k,https://github.com/simov/grant
redfin,react-server,3.9k,https://github.com/redfin/react-server
yuesong-feng,30dayMakeCppServer,3.9k,https://github.com/yuesong-feng/30dayMakeCppServer
GameServerManagers,LinuxGSM,3.9k,https://github.com/GameServerManagers/LinuxGSM
ionorg,ion,3.8k,https://github.com/ionorg/ion
hhxsv5,laravel-s,3.8k,https://github.com/hhxsv5/laravel-s
httpswift,swifter,3.8k,https://github.com/httpswift/swifter
FlareSolverr,FlareSolverr,3.7k,https://github.com/FlareSolverr/FlareSolverr
ssbc,patchwork,3.6k,https://github.com/ssbc/patchwork
dimatill,graphql-shield,3.5k,https://github.com/dimatill/graphql-shield
async-graphql,async-graphql,3k,https://github.com/async-graphql/async-graphql
pistacheio,pistache,3k,https://github.com/pistacheio/pistache
poem-web,poem,2.8k,https://github.com/poem-web/poem
panva,node-oidc-provider,2.8k,https://github.com/panva/node-oidc-provider
ChangemakerStudios,Papercut-SMTP,2.6k,https://github.com/ChangemakerStudios/Papercut-SMTP
flashmob,go-guerrilla,2.6k,https://github.com/flashmob/go-guerrilla
wireapp,wire-server,2.6k,https://github.com/wireapp/wire-server
xuuhaoo,OkSocket,2.5k,https://github.com/xuuhaoo/OkSocket
eidheim,Simple-Web-Server,2.5k,https://github.com/eidheim/Simple-Web-Server
lonng,nano,2.5k,https://github.com/lonng/nano
stablekernel,aqueduct,2.4k,https://github.com/stablekernel/aqueduct
actionhero,actionhero,2.4k,https://github.com/actionhero/actionhero
socketry,falcon,2.4k,https://github.com/socketry/falcon
8treenet,freedom,2.3k,https://github.com/8treenet/freedom
open62541,open62541,2.3k,https://github.com/open62541/open62541
macournoyer,thin,2.2k,https://github.com/macournoyer/thin
form-data,form-data,2.2k,https://github.com/form-data/form-data
Rudolf-Barbu,Ward,2.1k,https://github.com/Rudolf-Barbu/Ward
crossbario,crossbar,2k,https://github.com/crossbario/crossbar
TheWaWaR,simple-http-server,2k,https://github.com/TheWaWaR/simple-http-server
pierrre,imageserver,2k,https://github.com/pierrre/imageserver
ergochat,ergo,2k,https://github.com/ergochat/ergo
userver-framework,userver,2k,https://github.com/userver-framework/userver
