Username,Repository,Stars,Repo URL
anuraghazra,github-readme-stats,59.8k,https://github.com/anuraghazra/github-readme-stats
serverless,serverless,45.2k,https://github.com/serverless/serverless
appwrite,appwrite,36.6k,https://github.com/appwrite/appwrite
Kong,kong,36k,https://github.com/Kong/kong
pingcap,tidb,35k,https://github.com/pingcap/tidb
openfaas,faas,23.5k,https://github.com/openfaas/faas
surrealdb,surrealdb,22.8k,https://github.com/surrealdb/surrealdb
firecracker-microvm,firecracker,22.7k,https://github.com/firecracker-microvm/firecracker
dapr,dapr,22.4k,https://github.com/dapr/dapr
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
sst,sst,17.9k,https://github.com/sst/sst
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
alibaba,ice,17.7k,https://github.com/alibaba/ice
prisma,prisma1,16.6k,https://github.com/prisma/prisma1
cube-js,cube,16.3k,https://github.com/cube-js/cube
Tencent,APIJSON,15.9k,https://github.com/Tencent/APIJSON
schickling,chromeless,13.2k,https://github.com/schickling/chromeless
apache,apisix,12.7k,https://github.com/apache/apisix
Miserlou,Zappa,11.9k,https://github.com/Miserlou/Zappa
firebase,functions-samples,11.8k,https://github.com/firebase/functions-samples
donnemartin,awesome-aws,11.8k,https://github.com/donnemartin/awesome-aws
serverless,examples,11k,https://github.com/serverless/examples
aws,chalice,10k,https://github.com/aws/chalice
neondatabase,neon,9.9k,https://github.com/neondatabase/neon
aws,serverless-application-model,9.1k,https://github.com/aws/serverless-application-model
cncf,landscape,8.9k,https://github.com/cncf/landscape
apex,up,8.7k,https://github.com/apex/up
fission,fission,7.9k,https://github.com/fission/fission
crossplane,crossplane,7.6k,https://github.com/crossplane/crossplane
PipedreamHQ,pipedream,7.3k,https://github.com/PipedreamHQ/pipedream
nhost,nhost,7k,https://github.com/nhost/nhost
artilleryio,artillery,7k,https://github.com/artilleryio/artillery
kedacore,keda,6.9k,https://github.com/kedacore/keda
midwayjs,midway,6.9k,https://github.com/midwayjs/midway
vmware-archive,kubeless,6.9k,https://github.com/vmware-archive/kubeless
webiny,webiny-js,6.8k,https://github.com/webiny/webiny-js
node-formidable,formidable,6.8k,https://github.com/node-formidable/formidable
WasmEdge,WasmEdge,6.8k,https://github.com/WasmEdge/WasmEdge
datafuselabs,databend,6.5k,https://github.com/datafuselabs/databend
aws,aws-sam-cli,6.4k,https://github.com/aws/aws-sam-cli
wasm3,wasm3,6.3k,https://github.com/wasm3/wasm3
apache,openwhisk,6.2k,https://github.com/apache/openwhisk
micronaut-projects,micronaut-core,5.8k,https://github.com/micronaut-projects/micronaut-core
labring,laf,5.8k,https://github.com/labring/laf
kubevela,kubevela,5.6k,https://github.com/kubevela/kubevela
fnproject,fn,5.5k,https://github.com/fnproject/fn
risingwavelabs,risingwave,5.2k,https://github.com/risingwavelabs/risingwave
knative,serving,5.1k,https://github.com/knative/serving
lauragift21,awesome-learning-resources,5.1k,https://github.com/lauragift21/awesome-learning-resources
dherault,serverless-offline,5k,https://github.com/dherault/serverless-offline
nuclio,nuclio,5k,https://github.com/nuclio/nuclio
cloud-custodian,cloud-custodian,5k,https://github.com/cloud-custodian/cloud-custodian
triggerdotdev,trigger.dev,4.9k,https://github.com/triggerdotdev/trigger.dev
vendia,serverless-express,4.9k,https://github.com/vendia/serverless-express
sottlmarek,DevSecOps,4.9k,https://github.com/sottlmarek/DevSecOps
alexcasalboni,aws-lambda-power-tuning,4.8k,https://github.com/alexcasalboni/aws-lambda-power-tuning
kriasoft,react-firebase-starter,4.5k,https://github.com/kriasoft/react-firebase-starter
ThreeDotsLabs,wild-workouts-go-ddd-example,4.4k,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
cloudevents,spec,4.4k,https://github.com/cloudevents/spec
serverless-nextjs,serverless-next.js,4.3k,https://github.com/serverless-nextjs/serverless-next.js
fermyon,spin,4.1k,https://github.com/fermyon/spin
knative,docs,4.1k,https://github.com/knative/docs
aws-samples,aws-serverless-workshops,4k,https://github.com/aws-samples/aws-serverless-workshops
encoredev,encore,4k,https://github.com/encoredev/encore
simov,grant,3.9k,https://github.com/simov/grant
solo-io,gloo,3.9k,https://github.com/solo-io/gloo
spacecloud-io,space-cloud,3.8k,https://github.com/spacecloud-io/space-cloud
acode,cli,3.8k,https://github.com/acode/cli
claudiajs,claudia,3.8k,https://github.com/claudiajs/claudia
embarklabs,embark,3.8k,https://github.com/embarklabs/embark
sst,sst.dev,3.7k,https://github.com/sst/sst.dev
qkqpttgf,OneManager-php,3.6k,https://github.com/qkqpttgf/OneManager-php
middyjs,middy,3.5k,https://github.com/middyjs/middy
SqueezerIO,squeezer,3.3k,https://github.com/SqueezerIO/squeezer
cloudflare,wrangler-legacy,3.2k,https://github.com/cloudflare/wrangler-legacy
iron-io,functions,3.1k,https://github.com/iron-io/functions
alixaxel,chrome-aws-lambda,3.1k,https://github.com/alixaxel/chrome-aws-lambda
microfeed,microfeed,2.9k,https://github.com/microfeed/microfeed
