Username,Repository,Stars,Repo URL
ohmyzsh,ohmyzsh,163k,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,79.7k,https://github.com/nvbn/thefuck
nvm-sh,nvm,70.8k,https://github.com/nvm-sh/nvm
git,git,47.6k,https://github.com/git/git
ryanoasis,nerd-fonts,47k,https://github.com/ryanoasis/nerd-fonts
tldr-pages,tldr,46k,https://github.com/tldr-pages/tldr
pi-hole,pi-hole,44k,https://github.com/pi-hole/pi-hole
PowerShell,PowerShell,41.1k,https://github.com/PowerShell/PowerShell
google,zx,38.7k,https://github.com/google/zx
GitSquared,edex-ui,38.6k,https://github.com/GitSquared/edex-ui
dylanaraps,pure-bash-bible,34.8k,https://github.com/dylanaraps/pure-bash-bible
pyenv,pyenv,33.7k,https://github.com/pyenv/pyenv
acmesh-official,acme.sh,33.4k,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33.4k,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,28.8k,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28.2k,https://github.com/ibraheemdev/modern-unix
herrbischoff,awesome-macos-command-line,27.9k,https://github.com/herrbischoff/awesome-macos-command-line
zsh-users,zsh-autosuggestions,27.7k,https://github.com/zsh-users/zsh-autosuggestions
nushell,nushell,26.8k,https://github.com/nushell/nushell
cmderdev,cmder,25.1k,https://github.com/cmderdev/cmder
withfig,autocomplete,23.2k,https://github.com/withfig/autocomplete
fish-shell,fish-shell,22.4k,https://github.com/fish-shell/fish-shell
gpakosz,.tmux,20k,https://github.com/gpakosz/.tmux
railsware,upterm,19.3k,https://github.com/railsware/upterm
asdf-vm,asdf,18.8k,https://github.com/asdf-vm/asdf
spaceship-prompt,spaceship-prompt,18.7k,https://github.com/spaceship-prompt/spaceship-prompt
zsh-users,zsh-syntax-highlighting,17.9k,https://github.com/zsh-users/zsh-syntax-highlighting
Nyr,openvpn-install,17.7k,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,17.1k,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,15.5k,https://github.com/warpdotdev/Warp
rbenv,rbenv,15.4k,https://github.com/rbenv/rbenv
charmbracelet,gum,14.9k,https://github.com/charmbracelet/gum
faressoft,terminalizer,14.6k,https://github.com/faressoft/terminalizer
shelljs,shelljs,14k,https://github.com/shelljs/shelljs
Bash-it,bash-it,13.7k,https://github.com/Bash-it/bash-it
sorin-ionescu,prezto,13.6k,https://github.com/sorin-ionescu/prezto
carlospolop,PEASS-ng,13.5k,https://github.com/carlospolop/PEASS-ng
denisidoro,navi,13.5k,https://github.com/denisidoro/navi
jessfraz,dockerfiles,13.3k,https://github.com/jessfraz/dockerfiles
kaldi-asr,kaldi,13.2k,https://github.com/kaldi-asr/kaldi
sindresorhus,pure,12.4k,https://github.com/sindresorhus/pure
tiangolo,typer,12.2k,https://github.com/tiangolo/typer
ajeetdsouza,zoxide,12.2k,https://github.com/ajeetdsouza/zoxide
whyour,qinglong,12.1k,https://github.com/whyour/qinglong
atuinsh,atuin,11.8k,https://github.com/atuinsh/atuin
sqshq,sampler,11.8k,https://github.com/sqshq/sampler
CISOfy,lynis,11.3k,https://github.com/CISOfy/lynis
direnv,direnv,10.9k,https://github.com/direnv/direnv
mack-a,v2ray-agent,10.3k,https://github.com/mack-a/v2ray-agent
oh-my-fish,oh-my-fish,9.7k,https://github.com/oh-my-fish/oh-my-fish
nbedos,termtosvg,9.6k,https://github.com/nbedos/termtosvg
bobthecow,psysh,9.6k,https://github.com/bobthecow/psysh
orf,gping,9.4k,https://github.com/orf/gping
adnanh,webhook,9.3k,https://github.com/adnanh/webhook
httpie,http-prompt,8.8k,https://github.com/httpie/http-prompt
