Username,Repository,Stars,Repo URL
tldraw,tldraw,21.5k,https://github.com/tldraw/tldraw
airbnb,react-sketchapp,15k,https://github.com/airbnb/react-sketchapp
gztchan,awesome-design,14.9k,https://github.com/gztchan/awesome-design
casesandberg,react-color,11.6k,https://github.com/casesandberg/react-color
themerdev,themer,5.3k,https://github.com/themerdev/themer
sketchplugins,plugin-directory,3.4k,https://github.com/sketchplugins/plugin-directory
weui,weui-design,2.8k,https://github.com/weui/weui-design
weixin,Miaow,2.5k,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2.5k,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2.4k,https://github.com/matt-curtis/Fluid-for-Sketch
andrewfiorillo,sketch-palettes,2.3k,https://github.com/andrewfiorillo/sketch-palettes
DWilliames,paddy-sketch-plugin,2.2k,https://github.com/DWilliames/paddy-sketch-plugin
ajstarks,svgo,2k,https://github.com/ajstarks/svgo
keremciu,sketch-iconfont,2k,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1.8k,https://github.com/html-sketchapp/html-sketchapp
Mukosame,Anime2Sketch,1.8k,https://github.com/Mukosame/Anime2Sketch
dataliterate,data-populator,1.7k,https://github.com/dataliterate/data-populator
kactus-io,kactus,1.5k,https://github.com/kactus-io/kactus
vydd,sketch,1.3k,https://github.com/vydd/sketch
carbon-design-system,carbon-design-kit,1.1k,https://github.com/carbon-design-system/carbon-design-kit
wuba,Picasso,1k,https://github.com/wuba/Picasso
ment-mx,Prism,1k,https://github.com/ment-mx/Prism
stephenway,sketch-foundation-kit,999,https://github.com/stephenway/sketch-foundation-kit
MohamedYoussouf,Design-Resources,981,https://github.com/MohamedYoussouf/Design-Resources
skpm,skpm,950,https://github.com/skpm/skpm
zddhub,opensse,947,https://github.com/zddhub/opensse
Ashung,Automate-Sketch,926,https://github.com/Ashung/Automate-Sketch
AnimaApp,sketch-web-viewer,883,https://github.com/AnimaApp/sketch-web-viewer
AMoreaux,Sketch-Icons,877,https://github.com/AMoreaux/Sketch-Icons
sketch-hq,SketchAPI,840,https://github.com/sketch-hq/SketchAPI
sonburn,symbol-organizer,838,https://github.com/sonburn/symbol-organizer
bomberstudios,sketch-commands,826,https://github.com/bomberstudios/sketch-commands
ruedap,alfred-font-awesome-workflow,809,https://github.com/ruedap/alfred-font-awesome-workflow
thierryc,Sketch-Find-And-Replace,710,https://github.com/thierryc/Sketch-Find-And-Replace
bobbens,sketch_simplification,698,https://github.com/bobbens/sketch_simplification
allenwong,MakeIconsWithSketch,657,https://github.com/allenwong/MakeIconsWithSketch
jgrancher,react-native-sketch,648,https://github.com/jgrancher/react-native-sketch
tbolis,react-sketch,641,https://github.com/tbolis/react-sketch
seek-oss,html-sketchapp-cli,633,https://github.com/seek-oss/html-sketchapp-cli
alexkaessner,macOS-UI-Kit,608,https://github.com/alexkaessner/macOS-UI-Kit
lucaorio,sketch-styles-generator,533,https://github.com/lucaorio/sketch-styles-generator
getflourish,Sketch-Mate,501,https://github.com/getflourish/Sketch-Mate
RayPS,my-sketch-colors,493,https://github.com/RayPS/my-sketch-colors
kylehickinson,Sketch-SF-UI-Font-Fixer,487,https://github.com/kylehickinson/Sketch-SF-UI-Font-Fixer
yo-op,sketchcachecleaner,450,https://github.com/yo-op/sketchcachecleaner
petterheterjag,chromatic-sketch,443,https://github.com/petterheterjag/chromatic-sketch
Ashung,Sketch_Swatches,438,https://github.com/Ashung/Sketch_Swatches
mtli,PhotoSketch,431,https://github.com/mtli/PhotoSketch
MarkMoHR,Awesome-Sketch-Based-Applications,426,https://github.com/MarkMoHR/Awesome-Sketch-Based-Applications
lpgdasilva,Google-Material-Icons-for-Sketch,414,https://github.com/lpgdasilva/Google-Material-Icons-for-Sketch
duraki,SketchCrapp,409,https://github.com/duraki/SketchCrapp
chrisvxd,story2sketch,402,https://github.com/chrisvxd/story2sketch
grad-dev,SketchRunner,402,https://github.com/grad-dev/SketchRunner
jodyheavener,Swatches,387,https://github.com/jodyheavener/Swatches
salesforce-ux,design-system-ui-kit,377,https://github.com/salesforce-ux/design-system-ui-kit
MarkMoHR,Awesome-Sketch-Synthesis,363,https://github.com/MarkMoHR/Awesome-Sketch-Synthesis
threedle,GeoCode,351,https://github.com/threedle/GeoCode
nolastan,sync.sketchplugin,350,https://github.com/nolastan/sync.sketchplugin
lalomts,Chain,345,https://github.com/lalomts/Chain
sketch-hq,sketch-image-compressor,337,https://github.com/sketch-hq/sketch-image-compressor
mludowise,Sketch-Plugin-Manager,333,https://github.com/mludowise/Sketch-Plugin-Manager
romannurik,Sketch-ArtboardTricks,322,https://github.com/romannurik/Sketch-ArtboardTricks
skpm,sketch-dev-tools,312,https://github.com/skpm/sketch-dev-tools
oscarotero,node-sketch,306,https://github.com/oscarotero/node-sketch
lexrus,LTFinderButtons,302,https://github.com/lexrus/LTFinderButtons
vinothpandian,react-sketch-canvas,300,https://github.com/vinothpandian/react-sketch-canvas
saranshsolanki,sketch-lint,296,https://github.com/saranshsolanki/sketch-lint
faridsabitov,Sketch-Connection-Flow-Arrows,295,https://github.com/faridsabitov/Sketch-Connection-Flow-Arrows
DWilliames,Google-sheets-content-sync-sketch-plugin,290,https://github.com/DWilliames/Google-sheets-content-sync-sketch-plugin
icons8,lunacy-docs,288,https://github.com/icons8/lunacy-docs
skpm,sketch-module-web-view,286,https://github.com/skpm/sketch-module-web-view
exevil,Keys-For-Sketch,281,https://github.com/exevil/Keys-For-Sketch
timurnurutdinov,Framer-Inventory-for-Sketch,277,https://github.com/timurnurutdinov/Framer-Inventory-for-Sketch
oodesign,merge-duplicate-symbols,277,https://github.com/oodesign/merge-duplicate-symbols
PengBoXiangShang,multigraph_transformer,277,https://github.com/PengBoXiangShang/multigraph_transformer
kannonboy,sketch-gifme-plugin,277,https://github.com/kannonboy/sketch-gifme-plugin
jodyheavener,CSS-Buddy,277,https://github.com/jodyheavener/CSS-Buddy
contentsync,SketchContentSync,274,https://github.com/contentsync/SketchContentSync
zhihu,mirror,273,https://github.com/zhihu/mirror
bgian,Sketch-iOS-Library,263,https://github.com/bgian/Sketch-iOS-Library
