Username,Repository,Stars,Repo URL
SpaceVim,SpaceVim,20.1k,https://github.com/SpaceVim/SpaceVim
wsdjeg,vim-galore-zh_cn,10.2k,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,.SpaceVim.d,1.4k,https://github.com/wsdjeg/.SpaceVim.d
wsdjeg,vim-chat,513,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,464,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,370,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,300,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,196,https://github.com/wsdjeg/GitHub.vim
wsdjeg,JavaUnit.vim,108,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,103,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,95,https://github.com/wsdjeg/job.vim
prontera,ideavimrc,83,https://github.com/prontera/ideavimrc
mrbeardad,SpaceVim,81,https://github.com/mrbeardad/SpaceVim
SpaceVim,vim-markdown,78,https://github.com/SpaceVim/vim-markdown
SpaceVim,gtags.vim,75,https://github.com/SpaceVim/gtags.vim
SpaceVim,cscope.vim,70,https://github.com/SpaceVim/cscope.vim
Tehnix,spaceneovim-layers,42,https://github.com/Tehnix/spaceneovim-layers
ysl2,nvim,28,https://github.com/ysl2/nvim
everettjf,SpaceVimTutorial,15,https://github.com/everettjf/SpaceVimTutorial
lucasprag,vimlociraptor,15,https://github.com/lucasprag/vimlociraptor
wsdjeg,vim-pact,11,https://github.com/wsdjeg/vim-pact
techgaun,dotfiles,11,https://github.com/techgaun/dotfiles
wsdjeg,vim-fuzzy,9,https://github.com/wsdjeg/vim-fuzzy
SpaceVim,SpaceVim-theme,8,https://github.com/SpaceVim/SpaceVim-theme
Axect,Socialst,8,https://github.com/Axect/Socialst
wsdjeg,vim-nim,7,https://github.com/wsdjeg/vim-nim
chrisenytc,spacevim,6,https://github.com/chrisenytc/spacevim
SpaceVim,unite-ctags,4,https://github.com/SpaceVim/unite-ctags
VarunBatraIT,SpaceBox,4,https://github.com/VarunBatraIT/SpaceBox
CaioCDJ,SpaceVim-Config,3,https://github.com/CaioCDJ/SpaceVim-Config
jackm245,IceVim,3,https://github.com/jackm245/IceVim
jgonsior,dotfiles,3,https://github.com/jgonsior/dotfiles
paddyredbeard,SpaceVim.d,3,https://github.com/paddyredbeard/SpaceVim.d
wsdjeg,Chatting-server,3,https://github.com/wsdjeg/Chatting-server
darxkies,dev-in-a-box,3,https://github.com/darxkies/dev-in-a-box
Wheeeeeeeeels,BuildSoup,3,https://github.com/Wheeeeeeeeels/BuildSoup
wsdjeg,nim-example,3,https://github.com/wsdjeg/nim-example
andrewmcodes,dotfiles,3,https://github.com/andrewmcodes/dotfiles
Fetz,dotfiles,3,https://github.com/Fetz/dotfiles
xendarboh,xendev,3,https://github.com/xendarboh/xendev
r4um,dotfiles,2,https://github.com/r4um/dotfiles
maxwell2ic2ai,dotFile,2,https://github.com/maxwell2ic2ai/dotFile
rjcoelho,dotfiles.rcm,2,https://github.com/rjcoelho/dotfiles.rcm
SpaceVim,deoplete-dart,2,https://github.com/SpaceVim/deoplete-dart
eaxly,.-files-old,2,https://github.com/eaxly/.-files-old
vperilla,dotfiles,2,https://github.com/vperilla/dotfiles
krlex,spacevim,2,https://github.com/krlex/spacevim
khashayar,workspace-base,2,https://github.com/khashayar/workspace-base
DTan13,dotfiles,2,https://github.com/DTan13/dotfiles
dfmgr,neovim,2,https://github.com/dfmgr/neovim
mamyn0va,dotfiles-home,2,https://github.com/mamyn0va/dotfiles-home
krishkumar,dotfiles,2,https://github.com/krishkumar/dotfiles
strazto,dotfiles,2,https://github.com/strazto/dotfiles
oouxx,dotfiles,1,https://github.com/oouxx/dotfiles
KRVPerera,config,1,https://github.com/KRVPerera/config
wsdjeg,asyncomplete-clang.vim,1,https://github.com/wsdjeg/asyncomplete-clang.vim
ll0816,.dotfiles,1,https://github.com/ll0816/.dotfiles
prokolyvakis,dotfiles,1,https://github.com/prokolyvakis/dotfiles
L-stt,SpaceVim.d,1,https://github.com/L-stt/SpaceVim.d
wsdjeg,vim-dlang,1,https://github.com/wsdjeg/vim-dlang
takata-daiki,dotfiles,1,https://github.com/takata-daiki/dotfiles
cristobalgvera,dotfiles,1,https://github.com/cristobalgvera/dotfiles
Akrista,dotfiles,1,https://github.com/Akrista/dotfiles
wsdjeg,vim-idris,1,https://github.com/wsdjeg/vim-idris
strazto,.spacevim,1,https://github.com/strazto/.spacevim
rake5k,spacevim-flake,1,https://github.com/rake5k/spacevim-flake
yofreOrmaza,SVN,0,https://github.com/yofreOrmaza/SVN
SoothingDuck,.SpaceVim.d,0,https://github.com/SoothingDuck/.SpaceVim.d
