Username,Repository,Stars,Repo URL
macrozheng,mall,70.8k,https://github.com/macrozheng/mall
spring-projects,spring-boot,69.7k,https://github.com/spring-projects/spring-boot
jeecgboot,jeecg-boot,36.1k,https://github.com/jeecgboot/jeecg-boot
xkcoding,spring-boot-demo,30.6k,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,29.4k,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,28.4k,https://github.com/apolloconfig/apollo
wuyouzhuguli,SpringAll,26.2k,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
elunez,eladmin,20.2k,https://github.com/elunez/eladmin
linlinjava,litemall,18.4k,https://github.com/linlinjava/litemall
yudaocode,SpringBoot-Labs,17.6k,https://github.com/yudaocode/SpringBoot-Labs
forezp,SpringCloudLearning,17.5k,https://github.com/forezp/SpringCloudLearning
dyc87112,SpringBoot-Learning,15.4k,https://github.com/dyc87112/SpringBoot-Learning
chuzhixin,vue-admin-better,15.1k,https://github.com/chuzhixin/vue-admin-better
sqshq,piggymetrics,12.6k,https://github.com/sqshq/piggymetrics
codecentric,spring-boot-admin,11.9k,https://github.com/codecentric/spring-boot-admin
Netflix,conductor,11.2k,https://github.com/Netflix/conductor
macrozheng,mall-swarm,10.8k,https://github.com/macrozheng/mall-swarm
newbee-ltd,newbee-mall,10.4k,https://github.com/newbee-ltd/newbee-mall
apereo,cas,10.4k,https://github.com/apereo/cas
lihengming,spring-boot-api-project-seed,9.4k,https://github.com/lihengming/spring-boot-api-project-seed
hs-web,hsweb-framework,8.2k,https://github.com/hs-web/hsweb-framework
zfile-dev,zfile,7.9k,https://github.com/zfile-dev/zfile
dyc87112,SpringCloud-Learning,7.3k,https://github.com/dyc87112/SpringCloud-Learning
wxiaoqi,Spring-Cloud-Platform,6.2k,https://github.com/wxiaoqi/Spring-Cloud-Platform
ityouknow,spring-cloud-examples,6.1k,https://github.com/ityouknow/spring-cloud-examples
itwanger,JavaBooks,5.9k,https://github.com/itwanger/JavaBooks
springfox,springfox,5.9k,https://github.com/springfox/springfox
newbee-ltd,newbee-mall-vue3-app,5.4k,https://github.com/newbee-ltd/newbee-mall-vue3-app
pig-mesh,pig,5.1k,https://github.com/pig-mesh/pig
ZHENFENG13,spring-boot-projects,4.9k,https://github.com/ZHENFENG13/spring-boot-projects
