Username,Repository,Stars,Repo URL
storybookjs,storybook,80.5k,https://github.com/storybookjs/storybook
nrwl,nx,19.6k,https://github.com/nrwl/nx
React95,React95,3k,https://github.com/React95/React95
diegohaz,arc,2.9k,https://github.com/diegohaz/arc
vuesion,vuesion,2.7k,https://github.com/vuesion/vuesion
BuilderIO,figma-html,2.6k,https://github.com/BuilderIO/figma-html
chromaui,learnstorybook.com,2.4k,https://github.com/chromaui/learnstorybook.com
trungk18,jira-clone-angular,2k,https://github.com/trungk18/jira-clone-angular
AdaptiveConsulting,ReactiveTraderCloud,1.8k,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
oblador,loki,1.7k,https://github.com/oblador/loki
danilowoz,react-atomic-design,1.7k,https://github.com/danilowoz/react-atomic-design
pankod,next-boilerplate,1.5k,https://github.com/pankod/next-boilerplate
jj811208,watching-you,1.5k,https://github.com/jj811208/watching-you
ifmeorg,ifme,1.4k,https://github.com/ifmeorg/ifme
themesberg,flowbite-react,1.4k,https://github.com/themesberg/flowbite-react
NiGhTTraX,ts-monorepo,1.3k,https://github.com/NiGhTTraX/ts-monorepo
BearStudio,start-ui-web,1.2k,https://github.com/BearStudio/start-ui-web
lost-pixel,lost-pixel,1k,https://github.com/lost-pixel/lost-pixel
TowhidKashem,snapchat-clone,1k,https://github.com/TowhidKashem/snapchat-clone
vue-play,vue-play,975,https://github.com/vue-play/vue-play
open-sauced,open-sauced,892,https://github.com/open-sauced/open-sauced
storybook-eol,storybook-deployer,889,https://github.com/storybook-eol/storybook-deployer
storybookjs,react-native,863,https://github.com/storybookjs/react-native
aeksco,react-typescript-web-extension-starter,852,https://github.com/aeksco/react-typescript-web-extension-starter
storybookjs,addon-designs,824,https://github.com/storybookjs/addon-designs
HarveyD,react-component-library,773,https://github.com/HarveyD/react-component-library
DTStack,molecule,761,https://github.com/DTStack/molecule
WebDevStudios,nextjs-wordpress-starter,693,https://github.com/WebDevStudios/nextjs-wordpress-starter
ComponentDriven,componentdriven.org,669,https://github.com/ComponentDriven/componentdriven.org
salihozdemir,stackoverflow-clone,653,https://github.com/salihozdemir/stackoverflow-clone
reg-viz,storycap,644,https://github.com/reg-viz/storycap
klaufel,awesome-design-systems,628,https://github.com/klaufel/awesome-design-systems
UX-and-I,storybook-design-token,603,https://github.com/UX-and-I/storybook-design-token
widgetbook,widgetbook,591,https://github.com/widgetbook/widgetbook
storybookjs,testing-react,587,https://github.com/storybookjs/testing-react
storybook-eol,react-cdk,579,https://github.com/storybook-eol/react-cdk
react-theming,storybook-addon-material-ui,566,https://github.com/react-theming/storybook-addon-material-ui
navneetsharmaui,sveltekit-starter,558,https://github.com/navneetsharmaui/sveltekit-starter
MarceauKa,shaark,551,https://github.com/MarceauKa/shaark
tuchk4,storybook-readme,542,https://github.com/tuchk4/storybook-readme
silviopaganini,nft-market,535,https://github.com/silviopaganini/nft-market
ttttonyhe,ouorz-mono,534,https://github.com/ttttonyhe/ouorz-mono
rcdexta,react-event-timeline,533,https://github.com/rcdexta/react-event-timeline
n6ai,minze,531,https://github.com/n6ai/minze
gridaco,assistant,518,https://github.com/gridaco/assistant
phenixdigital,phoenix_storybook,518,https://github.com/phenixdigital/phoenix_storybook
rewindui,rewindui,486,https://github.com/rewindui/rewindui
panacloud,bootcamp-2020,479,https://github.com/panacloud/bootcamp-2020
infinitered,ignite-andross,478,https://github.com/infinitered/ignite-andross
mthuret,storybook-addon-specifications,456,https://github.com/mthuret/storybook-addon-specifications
harryho,react-crm,439,https://github.com/harryho/react-crm
cuke-ui,cuke-ui,430,https://github.com/cuke-ui/cuke-ui
chrisvxd,story2sketch,402,https://github.com/chrisvxd/story2sketch
hipstersmoothie,storybook-dark-mode,390,https://github.com/hipstersmoothie/storybook-dark-mode
vitejs,vite-plugin-react-pages,381,https://github.com/vitejs/vite-plugin-react-pages
chromaui,learnstorybook-code,380,https://github.com/chromaui/learnstorybook-code
govuk-react,govuk-react,377,https://github.com/govuk-react/govuk-react
creevey,creevey,374,https://github.com/creevey/creevey
Xammie,mailbook,365,https://github.com/Xammie/mailbook
bluefireteam,dashbook,363,https://github.com/bluefireteam/dashbook
codegouvfr,react-dsfr,360,https://github.com/codegouvfr/react-dsfr
OperationCode,front-end,359,https://github.com/OperationCode/front-end
deptno,next.js-typescript-starter-kit,343,https://github.com/deptno/next.js-typescript-starter-kit
lauthieb,awesome-storybook,336,https://github.com/lauthieb/awesome-storybook
mswjs,msw-storybook-addon,334,https://github.com/mswjs/msw-storybook-addon
imranhsayed,gatsby-wordpress-themes,333,https://github.com/imranhsayed/gatsby-wordpress-themes
abhiaiyer91,apollo-storybook-decorator,332,https://github.com/abhiaiyer91/apollo-storybook-decorator
Summer-andy,react-loading,329,https://github.com/Summer-andy/react-loading
nuxt-modules,storybook,324,https://github.com/nuxt-modules/storybook
jerriclynsjohn,svelte-storybook-tailwind,302,https://github.com/jerriclynsjohn/svelte-storybook-tailwind
elderfo,react-native-storybook-loader,299,https://github.com/elderfo/react-native-storybook-loader
illacloud,illa-design,278,https://github.com/illacloud/illa-design
KaiHotz,react-rollup-boilerplate,275,https://github.com/KaiHotz/react-rollup-boilerplate
connect-foundation,2019-12,267,https://github.com/connect-foundation/2019-12
Hy-Vee,lerna-yarn-workspaces-monorepo,262,https://github.com/Hy-Vee/lerna-yarn-workspaces-monorepo
leveluptuts,bookit,262,https://github.com/leveluptuts/bookit
gvaldambrini,storybook-router,258,https://github.com/gvaldambrini/storybook-router
PaulieScanlon,mdx-embed,255,https://github.com/PaulieScanlon/mdx-embed
Decathlon,vitamin-web,253,https://github.com/Decathlon/vitamin-web
thieryw,gitlanding,251,https://github.com/thieryw/gitlanding
ookami-kb,storybook_flutter,250,https://github.com/ookami-kb/storybook_flutter
coingaming,moon-design,241,https://github.com/coingaming/moon-design
chromaui,chromatic-cli,240,https://github.com/chromaui/chromatic-cli
storybookjs,addon-jsx,237,https://github.com/storybookjs/addon-jsx
altai-ui,qui,232,https://github.com/altai-ui/qui
Shiyan7,kinomore,231,https://github.com/Shiyan7/kinomore
royquilor,twitter-ui-practise,230,https://github.com/royquilor/twitter-ui-practise
area17,blast,226,https://github.com/area17/blast
RyanClementsHax,storybook-addon-next,222,https://github.com/RyanClementsHax/storybook-addon-next
intuit,devtools-ds,218,https://github.com/intuit/devtools-ds
leotm,react-native-template-new-architecture,218,https://github.com/leotm/react-native-template-new-architecture
storybook-eol,addon-smart-knobs,217,https://github.com/storybook-eol/addon-smart-knobs
react-theming,storybook-addon,206,https://github.com/react-theming/storybook-addon
johndatserakis,koa-vue-notes-web,199,https://github.com/johndatserakis/koa-vue-notes-web
storybookjs,eslint-plugin-storybook,199,https://github.com/storybookjs/eslint-plugin-storybook
storybookjs,frontpage,192,https://github.com/storybookjs/frontpage
storybookjs,storybook-addon-console,190,https://github.com/storybookjs/storybook-addon-console
echoulen,storybook-addon-styled-component-theme,190,https://github.com/echoulen/storybook-addon-styled-component-theme
Qovery,console,189,https://github.com/Qovery/console
srigar,multiselect-react-dropdown,188,https://github.com/srigar/multiselect-react-dropdown
