Username,Repository,Stars,Repo URL
frappe,erpnext,14.9k,https://github.com/frappe/erpnext
zammad,zammad,3.7k,https://github.com/zammad/zammad
helpyio,helpy,2.3k,https://github.com/helpyio/helpy
freescout-helpdesk,freescout,2.2k,https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1.4k,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1.4k,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1.3k,https://github.com/BadChoice/handesk
espocrm,espocrm,1.3k,https://github.com/espocrm/espocrm
polonel,trudesk,1.1k,https://github.com/polonel/trudesk
opensupports,opensupports,824,https://github.com/opensupports/opensupports
bestpractical,rt,778,https://github.com/bestpractical/rt
rocketshipapps,adblockfast,694,https://github.com/rocketshipapps/adblockfast
fateshen,iOSDeviceSupport,374,https://github.com/fateshen/iOSDeviceSupport
devaslanphp,project-management,370,https://github.com/devaslanphp/project-management
blakmatrix,node-zendesk,326,https://github.com/blakmatrix/node-zendesk
spatie,laravel-support-bubble,305,https://github.com/spatie/laravel-support-bubble
slowtec,tokio-modbus,302,https://github.com/slowtec/tokio-modbus
system76,docs,292,https://github.com/system76/docs
pranavpandey,dynamic-support,264,https://github.com/pranavpandey/dynamic-support
ohld,telegram-support-bot,264,https://github.com/ohld/telegram-support-bot
znuny,Znuny,252,https://github.com/znuny/Znuny
novosga,novosga,202,https://github.com/novosga/novosga
BlitzKraig,AndroidResizer,197,https://github.com/BlitzKraig/AndroidResizer
ARCANEDEV,Support,186,https://github.com/ARCANEDEV/Support
eventum,eventum,154,https://github.com/eventum/eventum
cybercussion,SCOBot,152,https://github.com/cybercussion/SCOBot
aheze,SupportDocs,151,https://github.com/aheze/SupportDocs
mvpstack,helpin,149,https://github.com/mvpstack/helpin
TheAlgorithms,.github,145,https://github.com/TheAlgorithms/.github
follow-github-organisation,follow-github-organisation,145,https://github.com/follow-github-organisation/follow-github-organisation
RetGal,Dayon,129,https://github.com/RetGal/Dayon
taskrabbit,react-native-zendesk-chat,126,https://github.com/taskrabbit/react-native-zendesk-chat
1C-Company,1c-edt-issues,122,https://github.com/1C-Company/1c-edt-issues
php-kchat,kchat,118,https://github.com/php-kchat/kchat
risuorg,risu,100,https://github.com/risuorg/risu
yii2tech,selfupdate,93,https://github.com/yii2tech/selfupdate
wessberg,browserslist-generator,82,https://github.com/wessberg/browserslist-generator
hgonzago,DevSummit-presentations,81,https://github.com/hgonzago/DevSummit-presentations
abobija,idfx,81,https://github.com/abobija/idfx
FusionAuth,fusionauth-issues,79,https://github.com/FusionAuth/fusionauth-issues
fabston,Telegram-Support-Bot,78,https://github.com/fabston/Telegram-Support-Bot
mtvbrianking,laravel-xml,77,https://github.com/mtvbrianking/laravel-xml
OpenIndex,RemoteSupportTool,76,https://github.com/OpenIndex/RemoteSupportTool
rinvex,laravel-support,73,https://github.com/rinvex/laravel-support
paritytech,subport,72,https://github.com/paritytech/subport
Kommunicate-io,Kommunicate-Android-Chat-SDK,67,https://github.com/Kommunicate-io/Kommunicate-Android-Chat-SDK
eneajaho,ngx-libs,66,https://github.com/eneajaho/ngx-libs
biolab,orange3-associate,64,https://github.com/biolab/orange3-associate
ThePhoDit,ModMail,63,https://github.com/ThePhoDit/ModMail
etalab,data.gouv.fr,63,https://github.com/etalab/data.gouv.fr
pyvista,pyvista-support,59,https://github.com/pyvista/pyvista-support
akiraz2,yii2-ticket-support,58,https://github.com/akiraz2/yii2-ticket-support
indeedeng,starfish,55,https://github.com/indeedeng/starfish
firefly-iii,docker,54,https://github.com/firefly-iii/docker
php-telegram-bot,support-bot,52,https://github.com/php-telegram-bot/support-bot
crisp-im,crisp-sdk-android,51,https://github.com/crisp-im/crisp-sdk-android
robatwilliams,es-compat,50,https://github.com/robatwilliams/es-compat
cloudurable,cassandra-image,49,https://github.com/cloudurable/cassandra-image
m1guelpf,support_center,46,https://github.com/m1guelpf/support_center
Hashnode,support,45,https://github.com/Hashnode/support
MyEtherWallet,knowledge-base-v3,44,https://github.com/MyEtherWallet/knowledge-base-v3
mufeedvh,paydept,44,https://github.com/mufeedvh/paydept
ezsystems,ez-support-tools,42,https://github.com/ezsystems/ez-support-tools
KarlOfDuty,SupportBoi,41,https://github.com/KarlOfDuty/SupportBoi
MaxGraey,wasm-check,41,https://github.com/MaxGraey/wasm-check
vdel26,samwise.js,40,https://github.com/vdel26/samwise.js
crisp-im,crisp-sdk-ios,38,https://github.com/crisp-im/crisp-sdk-ios
samkatakouzinosracing,nspace.hu-soundshift,36,https://github.com/samkatakouzinosracing/nspace.hu-soundshift
Level,community,36,https://github.com/Level/community
goebelmeier,netbox-cisco-support,34,https://github.com/goebelmeier/netbox-cisco-support
dessant,support-requests,34,https://github.com/dessant/support-requests
knurling,ServiceStation,33,https://github.com/knurling/ServiceStation
nitiwari-dev,android-percent-layout-sample,33,https://github.com/nitiwari-dev/android-percent-layout-sample
CViniciusSDias,controle-de-tickets,32,https://github.com/CViniciusSDias/controle-de-tickets
guardianproject,OpenCircle,29,https://github.com/guardianproject/OpenCircle
CiscoSecurity,amp-05-windows-tune,28,https://github.com/CiscoSecurity/amp-05-windows-tune
Kommunicate-io,Kommunicate-Web-SDK,28,https://github.com/Kommunicate-io/Kommunicate-Web-SDK
Devolutions,RDMSamples-ps,28,https://github.com/Devolutions/RDMSamples-ps
Astra-Development,Discord-Bot-List-v3,27,https://github.com/Astra-Development/Discord-Bot-List-v3
PatelN123,Digital-Support-Notes,27,https://github.com/PatelN123/Digital-Support-Notes
libuv,help,26,https://github.com/libuv/help
