Username,Repository,Stars,Repo URL
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,39.9k,https://github.com/Alamofire/Alamofire
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
appwrite,appwrite,37.1k,https://github.com/appwrite/appwrite
dkhamsing,open-source-ios-apps,36.7k,https://github.com/dkhamsing/open-source-ios-apps
iina,iina,34.7k,https://github.com/iina/iina
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
shadowsocks,ShadowsocksX-NG,31.8k,https://github.com/shadowsocks/ShadowsocksX-NG
kodecocodes,swift-algorithm-club,28.1k,https://github.com/kodecocodes/swift-algorithm-club
SDWebImage,SDWebImage,24.7k,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,24.5k,https://github.com/airbnb/lottie-ios
MonitorControl,MonitorControl,23.7k,https://github.com/MonitorControl/MonitorControl
matteocrippa,awesome-swift,23.7k,https://github.com/matteocrippa/awesome-swift
ReactiveX,RxSwift,23.6k,https://github.com/ReactiveX/RxSwift
vapor,vapor,23.2k,https://github.com/vapor/vapor
NativeScript,NativeScript,23.1k,https://github.com/NativeScript/NativeScript
SwiftyJSON,SwiftyJSON,22.2k,https://github.com/SwiftyJSON/SwiftyJSON
onevcat,Kingfisher,21.7k,https://github.com/onevcat/Kingfisher
HeroTransitions,Hero,21.6k,https://github.com/HeroTransitions/Hero
ReactiveCocoa,ReactiveCocoa,20k,https://github.com/ReactiveCocoa/ReactiveCocoa
SnapKit,SnapKit,19.5k,https://github.com/SnapKit/SnapKit
CodeEditApp,CodeEdit,19.2k,https://github.com/CodeEditApp/CodeEdit
realm,SwiftLint,17.8k,https://github.com/realm/SwiftLint
Tencent,MMKV,16.2k,https://github.com/Tencent/MMKV
hackiftekhar,IQKeyboardManager,16.2k,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,16k,https://github.com/realm/realm-swift
ipader,SwiftGuide,15.9k,https://github.com/ipader/SwiftGuide
antlr,antlr4,15.4k,https://github.com/antlr/antlr4
Carthage,Carthage,14.9k,https://github.com/Carthage/Carthage
Moya,Moya,14.8k,https://github.com/Moya/Moya
ochococo,Design-Patterns-In-Swift,14.7k,https://github.com/ochococo/Design-Patterns-In-Swift
CocoaPods,CocoaPods,14.3k,https://github.com/CocoaPods/CocoaPods
mxcl,PromiseKit,14.1k,https://github.com/mxcl/PromiseKit
compiler-explorer,compiler-explorer,14.1k,https://github.com/compiler-explorer/compiler-explorer
PerfectlySoft,Perfect,13.9k,https://github.com/PerfectlySoft/Perfect
SwifterSwift,SwifterSwift,13.2k,https://github.com/SwifterSwift/SwifterSwift
CocoaLumberjack,CocoaLumberjack,13k,https://github.com/CocoaLumberjack/CocoaLumberjack
Caldis,Mos,12.6k,https://github.com/Caldis/Mos
halfrost,Halfrost-Field,12.4k,https://github.com/halfrost/Halfrost-Field
Juanpe,SkeletonView,12.2k,https://github.com/Juanpe/SkeletonView
CosmicMind,Material,12k,https://github.com/CosmicMind/Material
xmartlabs,Eureka,11.7k,https://github.com/xmartlabs/Eureka
mozilla-mobile,firefox-ios,11.7k,https://github.com/mozilla-mobile/firefox-ios
Ramotion,animated-tab-bar,11.1k,https://github.com/Ramotion/animated-tab-bar
futurice,ios-good-practices,10.8k,https://github.com/futurice/ios-good-practices
glideapps,quicktype,10.7k,https://github.com/glideapps/quicktype
ninjaprox,NVActivityIndicatorView,10.5k,https://github.com/ninjaprox/NVActivityIndicatorView
WenchaoD,FSCalendar,10.4k,https://github.com/WenchaoD/FSCalendar
codota,TabNine,10.2k,https://github.com/codota/TabNine
Ramotion,folding-cell,10.2k,https://github.com/Ramotion/folding-cell
AudioKit,AudioKit,10.1k,https://github.com/AudioKit/AudioKit
ionic-team,capacitor,10.1k,https://github.com/ionic-team/capacitor
krzyzanowskim,CryptoSwift,9.8k,https://github.com/krzyzanowskim/CryptoSwift
Quick,Quick,9.7k,https://github.com/Quick/Quick
kanaka,mal,9.6k,https://github.com/kanaka/mal
mac-cain13,R.swift,9.3k,https://github.com/mac-cain13/R.swift
stephencelis,SQLite.swift,9.2k,https://github.com/stephencelis/SQLite.swift
dwarvesf,hidden,9.1k,https://github.com/dwarvesf/hidden
SwiftGen,SwiftGen,8.9k,https://github.com/SwiftGen/SwiftGen
