Username,Repository,Stars,Repo URL
symfony,symfony,28.8k,https://github.com/symfony/symfony
getgrav,grav,14.1k,https://github.com/getgrav/grav
symfony,console,9.6k,https://github.com/symfony/console
wallabag,wallabag,9k,https://github.com/wallabag/wallabag
symfony,http-foundation,8.5k,https://github.com/symfony/http-foundation
symfony,event-dispatcher,8.4k,https://github.com/symfony/event-dispatcher
symfony,finder,8.3k,https://github.com/symfony/finder
api-platform,api-platform,8.1k,https://github.com/api-platform/api-platform
symfony,http-kernel,8k,https://github.com/symfony/http-kernel
symfony,polyfill-mbstring,7.7k,https://github.com/symfony/polyfill-mbstring
Sylius,Sylius,7.5k,https://github.com/Sylius/Sylius
symfony,routing,7.5k,https://github.com/symfony/routing
symfony,css-selector,7.3k,https://github.com/symfony/css-selector
symfony,process,7.3k,https://github.com/symfony/process
symfony,debug,7.3k,https://github.com/symfony/debug
symfony,var-dumper,7.3k,https://github.com/symfony/var-dumper
symfony,translation,6.5k,https://github.com/symfony/translation
php-pm,php-pm,6.5k,https://github.com/php-pm/php-pm
pagekit,pagekit,5.5k,https://github.com/pagekit/pagekit
doctrine,DoctrineBundle,4.6k,https://github.com/doctrine/DoctrineBundle
symfony,filesystem,4.5k,https://github.com/symfony/filesystem
bolt,bolt,4.2k,https://github.com/bolt/bolt
symfony,config,4.1k,https://github.com/symfony/config
doctrine,DoctrineMigrationsBundle,4.1k,https://github.com/doctrine/DoctrineMigrationsBundle
symfony,flex,4.1k,https://github.com/symfony/flex
symfony,dependency-injection,4k,https://github.com/symfony/dependency-injection
symfony,cache,4k,https://github.com/symfony/cache
symfony,polyfill-ctype,4k,https://github.com/symfony/polyfill-ctype
EasyCorp,EasyAdminBundle,3.9k,https://github.com/EasyCorp/EasyAdminBundle
symfony,dom-crawler,3.8k,https://github.com/symfony/dom-crawler
symfony,yaml,3.7k,https://github.com/symfony/yaml
symfony,contracts,3.7k,https://github.com/symfony/contracts
symfony,dotenv,3.7k,https://github.com/symfony/dotenv
silexphp,Silex,3.6k,https://github.com/silexphp/Silex
laravel-zero,laravel-zero,3.4k,https://github.com/laravel-zero/laravel-zero
symfony,framework-bundle,3.4k,https://github.com/symfony/framework-bundle
sensiolabs,SensioFrameworkExtraBundle,3.4k,https://github.com/sensiolabs/SensioFrameworkExtraBundle
FriendsOfSymfony,FOSUserBundle,3.3k,https://github.com/FriendsOfSymfony/FOSUserBundle
symfony,polyfill-php70,3.2k,https://github.com/symfony/polyfill-php70
symfony,event-dispatcher-contracts,3.2k,https://github.com/symfony/event-dispatcher-contracts
symfony,doctrine-bridge,3.1k,https://github.com/symfony/doctrine-bridge
symfony,options-resolver,3.1k,https://github.com/symfony/options-resolver
symfony,asset,3k,https://github.com/symfony/asset
nicoverbruggen,phpmon,2.9k,https://github.com/nicoverbruggen/phpmon
Volmarg,personal-management-system,2.9k,https://github.com/Volmarg/personal-management-system
symfony,browser-kit,2.9k,https://github.com/symfony/browser-kit
cocur,slugify,2.8k,https://github.com/cocur/slugify
symfony,monolog-bundle,2.8k,https://github.com/symfony/monolog-bundle
symfony,panther,2.8k,https://github.com/symfony/panther
FriendsOfSymfony,FOSRestBundle,2.8k,https://github.com/FriendsOfSymfony/FOSRestBundle
doctrine,DoctrineCacheBundle,2.8k,https://github.com/doctrine/DoctrineCacheBundle
CodelyTV,php-ddd-example,2.8k,https://github.com/CodelyTV/php-ddd-example
symfony,expression-language,2.7k,https://github.com/symfony/expression-language
symfony,stopwatch,2.7k,https://github.com/symfony/stopwatch
symfony,property-access,2.7k,https://github.com/symfony/property-access
symfony,form,2.7k,https://github.com/symfony/form
symfony,mime,2.6k,https://github.com/symfony/mime
symfony,intl,2.6k,https://github.com/symfony/intl
symfony,validator,2.5k,https://github.com/symfony/validator
symfony,polyfill-intl-icu,2.5k,https://github.com/symfony/polyfill-intl-icu
symfony,monolog-bridge,2.5k,https://github.com/symfony/monolog-bridge
symfony,polyfill,2.5k,https://github.com/symfony/polyfill
nelmio,alice,2.5k,https://github.com/nelmio/alice
lexik,LexikJWTAuthenticationBundle,2.4k,https://github.com/lexik/LexikJWTAuthenticationBundle
kimai,kimai,2.4k,https://github.com/kimai/kimai
symfony,twig-bridge,2.4k,https://github.com/symfony/twig-bridge
symfony,twig-bundle,2.4k,https://github.com/symfony/twig-bundle
symfony,service-contracts,2.4k,https://github.com/symfony/service-contracts
symfony,error-handler,2.4k,https://github.com/symfony/error-handler
symfony,translation-contracts,2.4k,https://github.com/symfony/translation-contracts
symfony,phpunit-bridge,2.4k,https://github.com/symfony/phpunit-bridge
doctrine,DoctrineFixturesBundle,2.4k,https://github.com/doctrine/DoctrineFixturesBundle
shopware,shopware,2.4k,https://github.com/shopware/shopware
symfony,security-bundle,2.4k,https://github.com/symfony/security-bundle
symfony,polyfill-php73,2.4k,https://github.com/symfony/polyfill-php73
symfony,serializer,2.4k,https://github.com/symfony/serializer
symfony,demo,2.4k,https://github.com/symfony/demo
drush-ops,drush,2.3k,https://github.com/drush-ops/drush
api-platform,core,2.3k,https://github.com/api-platform/core
symfony,debug-bundle,2.3k,https://github.com/symfony/debug-bundle
hwi,HWIOAuthBundle,2.2k,https://github.com/hwi/HWIOAuthBundle
symfony,inflector,2.2k,https://github.com/symfony/inflector
symfony,cache-contracts,2.2k,https://github.com/symfony/cache-contracts
symfony,webpack-encore,2.2k,https://github.com/symfony/webpack-encore
nelmio,NelmioApiDocBundle,2.2k,https://github.com/nelmio/NelmioApiDocBundle
symfony,web-profiler-bundle,2.2k,https://github.com/symfony/web-profiler-bundle
php-enqueue,enqueue-dev,2.1k,https://github.com/php-enqueue/enqueue-dev
sonata-project,SonataAdminBundle,2.1k,https://github.com/sonata-project/SonataAdminBundle
symfony,symfony-docs,2.1k,https://github.com/symfony/symfony-docs
symfony,property-info,2.1k,https://github.com/symfony/property-info
dunglas,symfony-docker,2.1k,https://github.com/dunglas/symfony-docker
EasyCorp,easy-log-handler,2.1k,https://github.com/EasyCorp/easy-log-handler
