Username,Repository,Stars,Repo URL
DIYgod,RSSHub,26.2k,https://github.com/DIYgod/RSSHub
tqdm,tqdm,25.9k,https://github.com/tqdm/tqdm
python-telegram-bot,python-telegram-bot,23.2k,https://github.com/python-telegram-bot/python-telegram-bot
telegramdesktop,tdesktop,22.8k,https://github.com/telegramdesktop/tdesktop
DrKLO,Telegram,22.7k,https://github.com/DrKLO/Telegram
openimsdk,open-im-server,11.9k,https://github.com/openimsdk/open-im-server
tinode,chat,10.8k,https://github.com/tinode/chat
pppscn,SmsForwarder,10.7k,https://github.com/pppscn/SmsForwarder
lss233,chatgpt-mirai-qq-bot,9.6k,https://github.com/lss233/chatgpt-mirai-qq-bot
LonamiWebs,Telethon,8.2k,https://github.com/LonamiWebs/Telethon
zhukov,webogram,7.9k,https://github.com/zhukov/webogram
itgoyo,TelegramGroup,7.5k,https://github.com/itgoyo/TelegramGroup
yagop,node-telegram-bot-api,7.4k,https://github.com/yagop/node-telegram-bot-api
eternnoir,pyTelegramBotAPI,7.2k,https://github.com/eternnoir/pyTelegramBotAPI
telegraf,telegraf,7.1k,https://github.com/telegraf/telegraf
ramboxapp,community-edition,6.3k,https://github.com/ramboxapp/community-edition
42wim,matterbridge,6k,https://github.com/42wim/matterbridge
tdlib,td,6k,https://github.com/tdlib/td
dillidon,alerts-and-pickers,5.6k,https://github.com/dillidon/alerts-and-pickers
go-telegram-bot-api,telegram-bot-api,5k,https://github.com/go-telegram-bot-api/telegram-bot-api
relatedcode,Messenger,4.6k,https://github.com/relatedcode/Messenger
meetfranz,franz,4.4k,https://github.com/meetfranz/franz
NekoX-Dev,NekoX,4.3k,https://github.com/NekoX-Dev/NekoX
goq,telegram-list,4.2k,https://github.com/goq/telegram-list
Yoctol,bottender,4.1k,https://github.com/Yoctol/bottender
rubenlagus,TelegramBots,4k,https://github.com/rubenlagus/TelegramBots
PokemonGoF,PokemonGo-Bot,3.8k,https://github.com/PokemonGoF/PokemonGo-Bot
ro31337,libretaxi,3.8k,https://github.com/ro31337/libretaxi
pyrogram,pyrogram,3.7k,https://github.com/pyrogram/pyrogram
php-telegram-bot,core,3.6k,https://github.com/php-telegram-bot/core
koishijs,koishi,3.3k,https://github.com/koishijs/koishi
zhayujie,bot-on-anything,3.2k,https://github.com/zhayujie/bot-on-anything
luolongfei,freenom,3.2k,https://github.com/luolongfei/freenom
AboutRSS,ALL-about-RSS,3.2k,https://github.com/AboutRSS/ALL-about-RSS
UnigramDev,Unigram,3.1k,https://github.com/UnigramDev/Unigram
grafana,oncall,3k,https://github.com/grafana/oncall
TBXark,ChatGPT-Telegram-Workers,2.9k,https://github.com/TBXark/ChatGPT-Telegram-Workers
TelegramBots,Telegram.Bot,2.8k,https://github.com/TelegramBots/Telegram.Bot
irazasyed,telegram-bot-sdk,2.7k,https://github.com/irazasyed/telegram-bot-sdk
TeamUltroid,Ultroid,2.6k,https://github.com/TeamUltroid/Ultroid
danog,MadelineProto,2.5k,https://github.com/danog/MadelineProto
nikoksr,notify,2.5k,https://github.com/nikoksr/notify
nickoala,telepot,2.4k,https://github.com/nickoala/telepot
TGX-Android,Telegram-X,2.4k,https://github.com/TGX-Android/Telegram-X
jackhawks,telegram-groups,2.4k,https://github.com/jackhawks/telegram-groups
Drakkar-Software,OctoBot,2.3k,https://github.com/Drakkar-Software/OctoBot
dw-0,kiauh,2.3k,https://github.com/dw-0/kiauh
teloxide,teloxide,2.2k,https://github.com/teloxide/teloxide
crazy-max,diun,2.2k,https://github.com/crazy-max/diun
iyear,tdl,2.2k,https://github.com/iyear/tdl
evgeny-nadymov,telegram-react,2.1k,https://github.com/evgeny-nadymov/telegram-react
ellisonleao,sharer.js,1.9k,https://github.com/ellisonleao/sharer.js
paulpierre,RasaGPT,1.9k,https://github.com/paulpierre/RasaGPT
bottenderjs,messaging-apis,1.9k,https://github.com/bottenderjs/messaging-apis
Ajaxy,telegram-tt,1.8k,https://github.com/Ajaxy/telegram-tt
claudiajs,claudia-bot-builder,1.8k,https://github.com/claudiajs/claudia-bot-builder
9seconds,mtg,1.7k,https://github.com/9seconds/mtg
indes,flowerss-bot,1.7k,https://github.com/indes/flowerss-bot
Dineshkarthik,telegram_media_downloader,1.6k,https://github.com/Dineshkarthik/telegram_media_downloader
CodeXBotz,File-Sharing-Bot,1.6k,https://github.com/CodeXBotz/File-Sharing-Bot
relatedcode,RelatedChat,1.6k,https://github.com/relatedcode/RelatedChat
pengrad,java-telegram-bot-api,1.5k,https://github.com/pengrad/java-telegram-bot-api
requilence,integram,1.5k,https://github.com/requilence/integram
SpriteOvO,Telegram-Anti-Revoke,1.5k,https://github.com/SpriteOvO/Telegram-Anti-Revoke
telegram-sms,telegram-sms,1.5k,https://github.com/telegram-sms/telegram-sms
teamgram,teamgram-server,1.5k,https://github.com/teamgram/teamgram-server
TgCatUB,catuserbot,1.5k,https://github.com/TgCatUB/catuserbot
wabarc,wayback,1.5k,https://github.com/wabarc/wayback
iovxw,rssbot,1.4k,https://github.com/iovxw/rssbot
alexbers,mtprotoproxy,1.4k,https://github.com/alexbers/mtprotoproxy
mullwar,telebot,1.4k,https://github.com/mullwar/telebot
songquanpeng,message-pusher,1.4k,https://github.com/songquanpeng/message-pusher
grammyjs,grammY,1.4k,https://github.com/grammyjs/grammY
idoco,intergram,1.4k,https://github.com/idoco/intergram
TangXiaoLv,TelegramGallery,1.3k,https://github.com/TangXiaoLv/TelegramGallery
atipugin,telegram-bot-ruby,1.3k,https://github.com/atipugin/telegram-bot-ruby
paulpierre,informer,1.3k,https://github.com/paulpierre/informer
th3unkn0n,TeleGram-Scraper,1.2k,https://github.com/th3unkn0n/TeleGram-Scraper
ItIsMeCall911,Awesome-Telegram-OSINT,1.2k,https://github.com/ItIsMeCall911/Awesome-Telegram-OSINT
zdz,ServerStatus-Rust,1.2k,https://github.com/zdz/ServerStatus-Rust
TeamYukki,YukkiMusicBot,1.2k,https://github.com/TeamYukki/YukkiMusicBot
EricJMarti,inventory-hunter,1.1k,https://github.com/EricJMarti/inventory-hunter
morethanwords,tweb,1.1k,https://github.com/morethanwords/tweb
dipu-bd,lightnovel-crawler,1.1k,https://github.com/dipu-bd/lightnovel-crawler
mautrix,telegram,1.1k,https://github.com/mautrix/telegram
xelaj,mtproto,1.1k,https://github.com/xelaj/mtproto
gotd,td,1.1k,https://github.com/gotd/td
vasusen-code,SaveRestrictedContentBot,1.1k,https://github.com/vasusen-code/SaveRestrictedContentBot
manzinello,mailgo,1k,https://github.com/manzinello/mailgo
sochix,TLSharp,1k,https://github.com/sochix/TLSharp
witnessmenow,Universal-Arduino-Telegram-Bot,995,https://github.com/witnessmenow/Universal-Arduino-Telegram-Bot
zevlg,telega.el,994,https://github.com/zevlg/telega.el
