Username,Repository,Stars,Repo URL
tensorflow,tensorflow,178k,https://github.com/tensorflow/tensorflow
huggingface,transformers,113k,https://github.com/huggingface/transformers
keras-team,keras,59.5k,https://github.com/keras-team/keras
CorentinJ,Real-Time-Voice-Cloning,47.9k,https://github.com/CorentinJ/Real-Time-Voice-Cloning
aymericdamien,TensorFlow-Examples,43k,https://github.com/aymericdamien/TensorFlow-Examples
google-research,bert,35.4k,https://github.com/google-research/bert
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
photoprism,photoprism,28.9k,https://github.com/photoprism/photoprism
ray-project,ray,28.1k,https://github.com/ray-project/ray
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
lutzroeder,netron,24.1k,https://github.com/lutzroeder/netron
deezer,spleeter,23.6k,https://github.com/deezer/spleeter
matterport,Mask_RCNN,23.5k,https://github.com/matterport/Mask_RCNN
mozilla,DeepSpeech,23.1k,https://github.com/mozilla/DeepSpeech
MLEveryday,100-Days-Of-ML-Code,20.3k,https://github.com/MLEveryday/100-Days-Of-ML-Code
d2l-ai,d2l-en,19.3k,https://github.com/d2l-ai/d2l-en
Tencent,ncnn,18k,https://github.com/Tencent/ncnn
huggingface,datasets,17.3k,https://github.com/huggingface/datasets
instillai,TensorFlow-Course,16.4k,https://github.com/instillai/TensorFlow-Course
onnx,onnx,15.7k,https://github.com/onnx/onnx
justadudewhohacks,face-api.js,15.5k,https://github.com/justadudewhohacks/face-api.js
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
unifyai,ivy,13.6k,https://github.com/unifyai/ivy
horovod,horovod,13.6k,https://github.com/horovod/horovod
virgili0,Virgilio,13.5k,https://github.com/virgili0/Virgilio
microsoft,nni,13.3k,https://github.com/microsoft/nni
davidsandberg,facenet,13.2k,https://github.com/davidsandberg/facenet
dragen1860,Deep-Learning-with-TensorFlow-book,13.1k,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book
graykode,nlp-tutorial,13k,https://github.com/graykode/nlp-tutorial
kubeflow,kubeflow,13k,https://github.com/kubeflow/kubeflow
NVIDIA,DeepLearningExamples,11.5k,https://github.com/NVIDIA/DeepLearningExamples
Mikoto10032,DeepLearning,11.4k,https://github.com/Mikoto10032/DeepLearning
MorvanZhou,tutorials,11k,https://github.com/MorvanZhou/tutorials
microsoft,onnxruntime,10.6k,https://github.com/microsoft/onnxruntime
vipstone,faceai,10.3k,https://github.com/vipstone/faceai
chiphuyen,stanford-tensorflow-tutorials,10.3k,https://github.com/chiphuyen/stanford-tensorflow-tutorials
google,dopamine,10.2k,https://github.com/google/dopamine
opencv,cvat,10.2k,https://github.com/opencv/cvat
blakeblackshear,frigate,9.9k,https://github.com/blakeblackshear/frigate
lyhue1991,eat_tensorflow2_in_30_days,9.9k,https://github.com/lyhue1991/eat_tensorflow2_in_30_days
lexfridman,mit-deep-learning,9.8k,https://github.com/lexfridman/mit-deep-learning
google-deepmind,sonnet,9.6k,https://github.com/google-deepmind/sonnet
tflearn,tflearn,9.6k,https://github.com/tflearn/tflearn
isl-org,Open3D,9.5k,https://github.com/isl-org/Open3D
Hvass-Labs,TensorFlow-Tutorials,9.2k,https://github.com/Hvass-Labs/TensorFlow-Tutorials
keras-team,autokeras,8.9k,https://github.com/keras-team/autokeras
ymcui,Chinese-BERT-wwm,8.8k,https://github.com/ymcui/Chinese-BERT-wwm
vahidk,EffectiveTensorflow,8.6k,https://github.com/vahidk/EffectiveTensorflow
jackzhenguo,python-small-examples,7.7k,https://github.com/jackzhenguo/python-small-examples
brightmart,text_classification,7.6k,https://github.com/brightmart/text_classification
tensorflow,examples,7.4k,https://github.com/tensorflow/examples
wandb,wandb,7.3k,https://github.com/wandb/wandb
arogozhnikov,einops,7.3k,https://github.com/arogozhnikov/einops
tensorlayer,TensorLayer,7.2k,https://github.com/tensorlayer/TensorLayer
tangyudi,Ai-Learn,7.2k,https://github.com/tangyudi/Ai-Learn
wiseodd,generative-models,7.1k,https://github.com/wiseodd/generative-models
carpedm20,DCGAN-tensorflow,7.1k,https://github.com/carpedm20/DCGAN-tensorflow
rasbt,python-machine-learning-book-2nd-edition,7k,https://github.com/rasbt/python-machine-learning-book-2nd-edition
nl8590687,ASRT_SpeechRecognition,7k,https://github.com/nl8590687/ASRT_SpeechRecognition
activeloopai,deeplake,6.9k,https://github.com/activeloopai/deeplake
satellite-image-deep-learning,techniques,6.9k,https://github.com/satellite-image-deep-learning/techniques
aamini,introtodeeplearning,6.6k,https://github.com/aamini/introtodeeplearning
Alluxio,alluxio,6.4k,https://github.com/Alluxio/alluxio
deeppavlov,DeepPavlov,6.4k,https://github.com/deeppavlov/DeepPavlov
dragen1860,TensorFlow-2.x-Tutorials,6.3k,https://github.com/dragen1860/TensorFlow-2.x-Tutorials
ufoym,deepo,6.3k,https://github.com/ufoym/deepo
tensorpack,tensorpack,6.3k,https://github.com/tensorpack/tensorpack
tensorflow,swift,6.1k,https://github.com/tensorflow/swift
nfmcclure,tensorflow_cookbook,6.1k,https://github.com/nfmcclure/tensorflow_cookbook
thtrieu,darkflow,6.1k,https://github.com/thtrieu/darkflow
zihangdai,xlnet,6.1k,https://github.com/zihangdai/xlnet
tensorflow,serving,5.9k,https://github.com/tensorflow/serving
probml,pyprobml,5.9k,https://github.com/probml/pyprobml
tensorflow,docs,5.9k,https://github.com/tensorflow/docs
hybridgroup,gocv,5.8k,https://github.com/hybridgroup/gocv
roboflow,supervision,5.8k,https://github.com/roboflow/supervision
microsoft,MMdnn,5.7k,https://github.com/microsoft/MMdnn
aymericdamien,TopDeepLearning,5.7k,https://github.com/aymericdamien/TopDeepLearning
replicate,cog,5.7k,https://github.com/replicate/cog
google,seq2seq,5.6k,https://github.com/google/seq2seq
jeffheaton,t81_558_deep_learning,5.6k,https://github.com/jeffheaton/t81_558_deep_learning
yandexdataschool,Practical_RL,5.5k,https://github.com/yandexdataschool/Practical_RL
keras-rl,keras-rl,5.4k,https://github.com/keras-rl/keras-rl
cchen156,Learning-to-See-in-the-Dark,5.4k,https://github.com/cchen156/Learning-to-See-in-the-Dark
google-deepmind,graph_nets,5.3k,https://github.com/google-deepmind/graph_nets
szad670401,HyperLPR,5.2k,https://github.com/szad670401/HyperLPR
ashnkumar,sketch-code,5k,https://github.com/ashnkumar/sketch-code
transcranial,keras-js,5k,https://github.com/transcranial/keras-js
minimaxir,textgenrnn,4.9k,https://github.com/minimaxir/textgenrnn
tensorspace-team,tensorspace,4.9k,https://github.com/tensorspace-team/tensorspace
vespa-engine,vespa,4.9k,https://github.com/vespa-engine/vespa
blei-lab,edward,4.8k,https://github.com/blei-lab/edward
tensorflow,rust,4.7k,https://github.com/tensorflow/rust
tensorflow,lucid,4.6k,https://github.com/tensorflow/lucid
astorfi,TensorFlow-World,4.5k,https://github.com/astorfi/TensorFlow-World
spotify,pedalboard,4.5k,https://github.com/spotify/pedalboard
BinRoot,TensorFlow-Book,4.5k,https://github.com/BinRoot/TensorFlow-Book
OAID,Tengine,4.4k,https://github.com/OAID/Tengine
qubvel,segmentation_models,4.4k,https://github.com/qubvel/segmentation_models
