Username,Repository,Stars,Repo URL
ohmyzsh,ohmyzsh,163k,https://github.com/ohmyzsh/ohmyzsh
microsoft,terminal,91k,https://github.com/microsoft/terminal
Eugeny,tabby,51.5k,https://github.com/Eugeny/tabby
alacritty,alacritty,49k,https://github.com/alacritty/alacritty
tldr-pages,tldr,46k,https://github.com/tldr-pages/tldr
Textualize,rich,45.1k,https://github.com/Textualize/rich
sharkdp,bat,43.4k,https://github.com/sharkdp/bat
vercel,hyper,41.6k,https://github.com/vercel/hyper
jesseduffield,lazygit,39.5k,https://github.com/jesseduffield/lazygit
GitSquared,edex-ui,38.6k,https://github.com/GitSquared/edex-ui
chubin,cheat.sh,36.2k,https://github.com/chubin/cheat.sh
httpie,cli,29.7k,https://github.com/httpie/cli
sharkdp,fd,29.1k,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,28.2k,https://github.com/ibraheemdev/modern-unix
herrbischoff,awesome-macos-command-line,27.9k,https://github.com/herrbischoff/awesome-macos-command-line
tqdm,tqdm,26k,https://github.com/tqdm/tqdm
termux,termux-app,25.4k,https://github.com/termux/termux-app
nicolargo,glances,23.6k,https://github.com/nicolargo/glances
mbadolato,iTerm2-Color-Schemes,23.6k,https://github.com/mbadolato/iTerm2-Color-Schemes
withfig,autocomplete,23.2k,https://github.com/withfig/autocomplete
zyedidia,micro,22.8k,https://github.com/zyedidia/micro
chubin,wttr.in,22.4k,https://github.com/chubin/wttr.in
fish-shell,fish-shell,22.4k,https://github.com/fish-shell/fish-shell
jumpserver,jumpserver,22.2k,https://github.com/jumpserver/jumpserver
Textualize,textual,21.7k,https://github.com/Textualize/textual
chalk,chalk,20.8k,https://github.com/chalk/chalk
Swordfish90,cool-retro-term,20.3k,https://github.com/Swordfish90/cool-retro-term
kovidgoyal,kitty,20.1k,https://github.com/kovidgoyal/kitty
gpakosz,.tmux,20k,https://github.com/gpakosz/.tmux
railsware,upterm,19.3k,https://github.com/railsware/upterm
spaceship-prompt,spaceship-prompt,18.7k,https://github.com/spaceship-prompt/spaceship-prompt
yudai,gotty,18.1k,https://github.com/yudai/gotty
sharkdp,hyperfine,17.6k,https://github.com/sharkdp/hyperfine
jarun,nnn,17.2k,https://github.com/jarun/nnn
kingToolbox,WindTerm,17.1k,https://github.com/kingToolbox/WindTerm
allinurl,goaccess,16.7k,https://github.com/allinurl/goaccess
xtermjs,xterm.js,15.7k,https://github.com/xtermjs/xterm.js
Rigellute,spotify-tui,15.6k,https://github.com/Rigellute/spotify-tui
warpdotdev,Warp,15.5k,https://github.com/warpdotdev/Warp
wtfutil,wtf,15.1k,https://github.com/wtfutil/wtf
faressoft,terminalizer,14.6k,https://github.com/faressoft/terminalizer
extrawurst,gitui,14.2k,https://github.com/extrawurst/gitui
zellij-org,zellij,14.1k,https://github.com/zellij-org/zellij
Bash-it,bash-it,13.7k,https://github.com/Bash-it/bash-it
sorin-ionescu,prezto,13.6k,https://github.com/sorin-ionescu/prezto
Powerlevel9k,powerlevel9k,13.5k,https://github.com/Powerlevel9k/powerlevel9k
denisidoro,navi,13.5k,https://github.com/denisidoro/navi
fathyb,carbonyl,13.4k,https://github.com/fathyb/carbonyl
sindresorhus,pure,12.4k,https://github.com/sindresorhus/pure
tiangolo,typer,12.2k,https://github.com/tiangolo/typer
asciinema,asciinema,12k,https://github.com/asciinema/asciinema
charmbracelet,vhs,12k,https://github.com/charmbracelet/vhs
sqshq,sampler,11.8k,https://github.com/sqshq/sampler
muesli,duf,11.6k,https://github.com/muesli/duf
k4m4,terminals-are-sexy,11.6k,https://github.com/k4m4/terminals-are-sexy
fdehau,tui-rs,10.8k,https://github.com/fdehau/tui-rs
DvorakDwarf,Infinite-Storage-Glitch,10.7k,https://github.com/DvorakDwarf/Infinite-Storage-Glitch
wez,wezterm,10.7k,https://github.com/wez/wezterm
bnb,awesome-hyper,10.4k,https://github.com/bnb/awesome-hyper
cyrus-and,gdb-dashboard,9.8k,https://github.com/cyrus-and/gdb-dashboard
oh-my-fish,oh-my-fish,9.7k,https://github.com/oh-my-fish/oh-my-fish
nbedos,termtosvg,9.6k,https://github.com/nbedos/termtosvg
symfony,console,9.6k,https://github.com/symfony/console
electerm,electerm,9.4k,https://github.com/electerm/electerm
httpie,http-prompt,8.8k,https://github.com/httpie/http-prompt
gui-cs,Terminal.Gui,8.6k,https://github.com/gui-cs/Terminal.Gui
hardikvasa,google-images-download,8.4k,https://github.com/hardikvasa/google-images-download
maaslalani,slides,8.2k,https://github.com/maaslalani/slides
Maximus5,ConEmu,8.2k,https://github.com/Maximus5/ConEmu
Gogh-Co,Gogh,8.2k,https://github.com/Gogh-Co/Gogh
onceupon,Bash-Oneliner,7.9k,https://github.com/onceupon/Bash-Oneliner
ClementTsang,bottom,7.7k,https://github.com/ClementTsang/bottom
schachmat,wego,7.5k,https://github.com/schachmat/wego
donnemartin,gitsome,7.5k,https://github.com/donnemartin/gitsome
xonsh,xonsh,7.3k,https://github.com/xonsh/xonsh
cjbassi,gotop,7.3k,https://github.com/cjbassi/gotop
