Username,Repository,Stars,Repo URL
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
hashicorp,terraform,39k,https://github.com/hashicorp/terraform
MichaelCade,90DaysOfDevOps,24k,https://github.com/MichaelCade/90DaysOfDevOps
GoogleCloudPlatform,microservices-demo,14.9k,https://github.com/GoogleCloudPlatform/microservices-demo
GoogleCloudPlatform,terraformer,10.9k,https://github.com/GoogleCloudPlatform/terraformer
infracost,infracost,9.7k,https://github.com/infracost/infracost
hashicorp,terraform-provider-aws,8.9k,https://github.com/hashicorp/terraform-provider-aws
khuedoan,homelab,7.2k,https://github.com/khuedoan/homelab
gruntwork-io,terragrunt,7.2k,https://github.com/gruntwork-io/terragrunt
gruntwork-io,terratest,7.1k,https://github.com/gruntwork-io/terratest
runatlantis,atlantis,6.6k,https://github.com/runatlantis/atlantis
aquasecurity,tfsec,6.3k,https://github.com/aquasecurity/tfsec
budtmo,docker-android,6.3k,https://github.com/budtmo/docker-android
bridgecrewio,checkov,6k,https://github.com/bridgecrewio/checkov
turbot,steampipe,5.6k,https://github.com/turbot/steampipe
hobby-kube,guide,5.5k,https://github.com/hobby-kube/guide
coder,coder,5.4k,https://github.com/coder/coder
KubeOperator,KubeOperator,4.8k,https://github.com/KubeOperator/KubeOperator
shuaibiyy,awesome-terraform,4.7k,https://github.com/shuaibiyy/awesome-terraform
hashicorp,terraform-cdk,4.6k,https://github.com/hashicorp/terraform-cdk
ThreeDotsLabs,wild-workouts-go-ddd-example,4.5k,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
clong,DetectionLab,4.3k,https://github.com/clong/DetectionLab
dtan4,terraforming,4.3k,https://github.com/dtan4/terraforming
tenable,terrascan,4.2k,https://github.com/tenable/terrascan
terraform-linters,tflint,4.2k,https://github.com/terraform-linters/tflint
hashicorp,terraform-provider-azurerm,4.2k,https://github.com/hashicorp/terraform-provider-azurerm
tfutils,tfenv,4.1k,https://github.com/tfutils/tfenv
terraform-aws-modules,terraform-aws-eks,3.8k,https://github.com/terraform-aws-modules/terraform-aws-eks
kriasoft,relay-starter-kit,3.8k,https://github.com/kriasoft/relay-starter-kit
thangchung,go-coffeeshop,3.7k,https://github.com/thangchung/go-coffeeshop
terraform-docs,terraform-docs,3.7k,https://github.com/terraform-docs/terraform-docs
dependabot,dependabot-core,3.6k,https://github.com/dependabot/dependabot-core
ChristianLempa,boilerplates,2.9k,https://github.com/ChristianLempa/boilerplates
gofireflyio,aiac,2.9k,https://github.com/gofireflyio/aiac
airbnb,streamalert,2.8k,https://github.com/airbnb/streamalert
im2nguyen,rover,2.7k,https://github.com/im2nguyen/rover
antonbabenko,pre-commit-terraform,2.7k,https://github.com/antonbabenko/pre-commit-terraform
brikis98,terraform-up-and-running-code,2.6k,https://github.com/brikis98/terraform-up-and-running-code
snyk,driftctl,2.3k,https://github.com/snyk/driftctl
aws-ia,terraform-aws-eks-blueprints,2.2k,https://github.com/aws-ia/terraform-aws-eks-blueprints
Artemmkin,infrastructure-as-code-tutorial,2.2k,https://github.com/Artemmkin/infrastructure-as-code-tutorial
diggerhq,digger,2.1k,https://github.com/diggerhq/digger
hashicorp,terraform-provider-google,2.1k,https://github.com/hashicorp/terraform-provider-google
Qovery,engine,2.1k,https://github.com/Qovery/engine
bregman-arie,sre-checklist,2k,https://github.com/bregman-arie/sre-checklist
iann0036,former2,1.9k,https://github.com/iann0036/former2
28mm,blast-radius,1.9k,https://github.com/28mm/blast-radius
HariSekhon,DevOps-Bash-tools,1.9k,https://github.com/HariSekhon/DevOps-Bash-tools
poseidon,typhoon,1.9k,https://github.com/poseidon/typhoon
camptocamp,terraboard,1.8k,https://github.com/camptocamp/terraboard
cycloidio,terracognita,1.8k,https://github.com/cycloidio/terracognita
antonbabenko,terraform-best-practices,1.8k,https://github.com/antonbabenko/terraform-best-practices
adammck,terraform-inventory,1.8k,https://github.com/adammck/terraform-inventory
infracost,vscode-infracost,1.8k,https://github.com/infracost/vscode-infracost
philips-labs,terraform-aws-github-runner,1.7k,https://github.com/philips-labs/terraform-aws-github-runner
kapicorp,kapitan,1.7k,https://github.com/kapicorp/kapitan
ozbillwang,terraform-best-practices,1.6k,https://github.com/ozbillwang/terraform-best-practices
antonputra,tutorials,1.6k,https://github.com/antonputra/tutorials
coinbase,terraform-landscape,1.5k,https://github.com/coinbase/terraform-landscape
hashicorp,terraform-provider-kubernetes,1.5k,https://github.com/hashicorp/terraform-provider-kubernetes
oxsecurity,megalinter,1.5k,https://github.com/oxsecurity/megalinter
cycloidio,inframap,1.5k,https://github.com/cycloidio/inframap
scottslowe,learning-tools,1.5k,https://github.com/scottslowe/learning-tools
dmacvicar,terraform-provider-libvirt,1.4k,https://github.com/dmacvicar/terraform-provider-libvirt
stephrobert,awesome-french-devops,1.4k,https://github.com/stephrobert/awesome-french-devops
iann0036,AWSConsoleRecorder,1.4k,https://github.com/iann0036/AWSConsoleRecorder
airbnb,binaryalert,1.4k,https://github.com/airbnb/binaryalert
kube-hetzner,terraform-hcloud-kube-hetzner,1.4k,https://github.com/kube-hetzner/terraform-hcloud-kube-hetzner
onedr0p,home-ops,1.3k,https://github.com/onedr0p/home-ops
Azure,aztfexport,1.3k,https://github.com/Azure/aztfexport
terraform-compliance,cli,1.3k,https://github.com/terraform-compliance/cli
davidhampgonsalves,Life-Dashboard,1.3k,https://github.com/davidhampgonsalves/Life-Dashboard
warrensbox,terraform-switcher,1.2k,https://github.com/warrensbox/terraform-switcher
nsriram,lambda-the-terraform-way,1.2k,https://github.com/nsriram/lambda-the-terraform-way
ahmedtariq01,Cloud-DevOps-Learning-Resources,1.2k,https://github.com/ahmedtariq01/Cloud-DevOps-Learning-Resources
bluxmit,alnoda-workspaces,1.2k,https://github.com/bluxmit/alnoda-workspaces
codeaprendiz,learn-devops,1.2k,https://github.com/codeaprendiz/learn-devops
ergomake,layerform,1.2k,https://github.com/ergomake/layerform
aws-cloudformation,cloudformation-guard,1.2k,https://github.com/aws-cloudformation/cloudformation-guard
GoogleCloudPlatform,cloud-foundation-fabric,1.1k,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric
newcontext-oss,kitchen-terraform,1.1k,https://github.com/newcontext-oss/kitchen-terraform
sl1pm4t,k2tf,1.1k,https://github.com/sl1pm4t/k2tf
nozaq,terraform-aws-secure-baseline,1.1k,https://github.com/nozaq/terraform-aws-secure-baseline
bridgecrewio,terragoat,1k,https://github.com/bridgecrewio/terragoat
klothoplatform,klotho,1k,https://github.com/klothoplatform/klotho
swoodford,aws,1k,https://github.com/swoodford/aws
hashivim,vim-terraform,996,https://github.com/hashivim/vim-terraform
ZupIT,horusec,958,https://github.com/ZupIT/horusec
hashicorp,terraform-provider-helm,957,https://github.com/hashicorp/terraform-provider-helm
minamijoyo,tfmigrate,955,https://github.com/minamijoyo/tfmigrate
run-x,opta,909,https://github.com/run-x/opta
weaveworks,tf-controller,908,https://github.com/weaveworks/tf-controller
hashicorp,terraform-ls,893,https://github.com/hashicorp/terraform-ls
hashicorp,vscode-terraform,868,https://github.com/hashicorp/vscode-terraform
cloudposse,geodesic,860,https://github.com/cloudposse/geodesic
jrhouston,tfk8s,846,https://github.com/jrhouston/tfk8s
pipe-cd,pipecd,844,https://github.com/pipe-cd/pipecd
env0,terratag,841,https://github.com/env0/terratag
Coalfire-Research,Red-Baron,839,https://github.com/Coalfire-Research/Red-Baron
gaia-app,gaia,821,https://github.com/gaia-app/gaia
