Username,Repository,Stars,Repo URL
Nyr,openvpn-install,17.7k,https://github.com/Nyr/openvpn-install
Bin-Huang,chatbox,15k,https://github.com/Bin-Huang/chatbox
angristan,openvpn-install,10.9k,https://github.com/angristan/openvpn-install
oguzhaninan,Stacer,8.6k,https://github.com/oguzhaninan/Stacer
dnschneid,crouton,8.4k,https://github.com/dnschneid/crouton
judasn,Linux-Tutorial,8.2k,https://github.com/judasn/Linux-Tutorial
89luca89,distrobox,7.4k,https://github.com/89luca89/distrobox
GopeedLab,gopeed,7.3k,https://github.com/GopeedLab/gopeed
wszqkzqk,deepin-wine-ubuntu,6k,https://github.com/wszqkzqk/deepin-wine-ubuntu
adi1090x,rofi,5.6k,https://github.com/adi1090x/rofi
GetPublii,Publii,5.6k,https://github.com/GetPublii/Publii
adi1090x,polybar-themes,5.2k,https://github.com/adi1090x/polybar-themes
boltgolt,howdy,4.9k,https://github.com/boltgolt/howdy
chef,bento,4.1k,https://github.com/chef/bento
Gictorbit,photoshopCClinux,3.9k,https://github.com/Gictorbit/photoshopCClinux
dvorka,hstr,3.7k,https://github.com/dvorka/hstr
anmoljagetia,Flatabulous,3.7k,https://github.com/anmoljagetia/Flatabulous
armbian,build,3.3k,https://github.com/armbian/build
chaifeng,ufw-docker,3.3k,https://github.com/chaifeng/ufw-docker
Nyr,wireguard-install,3.2k,https://github.com/Nyr/wireguard-install
johang,btfs,3.1k,https://github.com/johang/btfs
wslutilities,wslu,2.9k,https://github.com/wslutilities/wslu
teddysun,lamp,2.8k,https://github.com/teddysun/lamp
xflux-gui,fluxgui,2.7k,https://github.com/xflux-gui/fluxgui
davestephens,ansible-nas,2.7k,https://github.com/davestephens/ansible-nas
archcraft-os,archcraft,2.6k,https://github.com/archcraft-os/archcraft
aptly-dev,aptly,2.4k,https://github.com/aptly-dev/aptly
lakinduakash,linux-wifi-hotspot,2.4k,https://github.com/lakinduakash/linux-wifi-hotspot
piku,piku,2.3k,https://github.com/piku/piku
dvorka,mindforger,2k,https://github.com/dvorka/mindforger
GhostWriters,DockSTARTer,2k,https://github.com/GhostWriters/DockSTARTer
jamiemcg,Remarkable,1.9k,https://github.com/jamiemcg/Remarkable
endoflife-date,endoflife.date,1.8k,https://github.com/endoflife-date/endoflife.date
nullpo-head,wsl-distrod,1.8k,https://github.com/nullpo-head/wsl-distrod
swizzin,swizzin,1.8k,https://github.com/swizzin/swizzin
adi1090x,dynamic-wallpaper,1.7k,https://github.com/adi1090x/dynamic-wallpaper
plexguide,PlexGuide.com,1.6k,https://github.com/plexguide/PlexGuide.com
ozmartian,vidcutter,1.6k,https://github.com/ozmartian/vidcutter
vinceliuice,vimix-gtk-themes,1.6k,https://github.com/vinceliuice/vimix-gtk-themes
DamionGans,ubuntu-wsl2-systemd-script,1.5k,https://github.com/DamionGans/ubuntu-wsl2-systemd-script
geerlingguy,ansible-role-docker,1.5k,https://github.com/geerlingguy/ansible-role-docker
VitalElement,AvalonStudio,1.5k,https://github.com/VitalElement/AvalonStudio
scottslowe,learning-tools,1.5k,https://github.com/scottslowe/learning-tools
norlab-ulaval,libpointmatcher,1.4k,https://github.com/norlab-ulaval/libpointmatcher
cryinkfly,Autodesk-Fusion-360-for-Linux,1.4k,https://github.com/cryinkfly/Autodesk-Fusion-360-for-Linux
adi1090x,plymouth-themes,1.4k,https://github.com/adi1090x/plymouth-themes
alrra,dotfiles,1.4k,https://github.com/alrra/dotfiles
SuperManito,LinuxMirrors,1.4k,https://github.com/SuperManito/LinuxMirrors
EXALAB,AnLinux-App,1.4k,https://github.com/EXALAB/AnLinux-App
DragonComputer,Dragonfire,1.4k,https://github.com/DragonComputer/Dragonfire
kritiksoman,GIMP-ML,1.3k,https://github.com/kritiksoman/GIMP-ML
cpriego,valet-linux,1.3k,https://github.com/cpriego/valet-linux
jrottenberg,ffmpeg,1.3k,https://github.com/jrottenberg/ffmpeg
lettier,gifcurry,1.3k,https://github.com/lettier/gifcurry
jawj,IKEv2-setup,1.2k,https://github.com/jawj/IKEv2-setup
arakasi72,rtinst,1.2k,https://github.com/arakasi72/rtinst
nextcloud,vm,1.2k,https://github.com/nextcloud/vm
spiritLHLS,ecs,1.2k,https://github.com/spiritLHLS/ecs
iredmail,iRedMail,1.2k,https://github.com/iredmail/iRedMail
spiritLHLS,Oracle-server-keep-alive-script,1.2k,https://github.com/spiritLHLS/Oracle-server-keep-alive-script
cascadium,wsl-windows-toolbar-launcher,1.2k,https://github.com/cascadium/wsl-windows-toolbar-launcher
konstruktoid,hardening,1.2k,https://github.com/konstruktoid/hardening
netkiller,netkiller.github.io,1.2k,https://github.com/netkiller/netkiller.github.io
WordOps,WordOps,1.2k,https://github.com/WordOps/WordOps
kt007007,KTMinerProxy,1.1k,https://github.com/kt007007/KTMinerProxy
biyidev,biyi,1.1k,https://github.com/biyidev/biyi
AdnanHodzic,displaylink-debian,1.1k,https://github.com/AdnanHodzic/displaylink-debian
debops,debops,1.1k,https://github.com/debops/debops
linuxserver,docker-webtop,1.1k,https://github.com/linuxserver/docker-webtop
wimpysworld,deb-get,1.1k,https://github.com/wimpysworld/deb-get
ethanhs,WSL-Programs,1k,https://github.com/ethanhs/WSL-Programs
geigi,cozy,1k,https://github.com/geigi/cozy
vccw-team,vccw,1k,https://github.com/vccw-team/vccw
pacstall,pacstall,1k,https://github.com/pacstall/pacstall
andreapollastri,cipi,999,https://github.com/andreapollastri/cipi
sachinchoolur,lightgallery-desktop,995,https://github.com/sachinchoolur/lightgallery-desktop
valerie-makes,notion-linux,969,https://github.com/valerie-makes/notion-linux
LordAmit,Brightness,950,https://github.com/LordAmit/Brightness
lyfeyaj,sublime-text-imfix,941,https://github.com/lyfeyaj/sublime-text-imfix
RandomCoderOrg,ubuntu-on-android,937,https://github.com/RandomCoderOrg/ubuntu-on-android
systemd,mkosi,917,https://github.com/systemd/mkosi
nachifur,MulimgViewer,907,https://github.com/nachifur/MulimgViewer
christianhaitian,arkos,895,https://github.com/christianhaitian/arkos
MysticRyuujin,guac-install,881,https://github.com/MysticRyuujin/guac-install
notion-enhancer,notion-repackaged,863,https://github.com/notion-enhancer/notion-repackaged
openSUSE,open-build-service,856,https://github.com/openSUSE/open-build-service
ericoporto,fgmk,847,https://github.com/ericoporto/fgmk
Cyclenerd,ethereum_nvidia_miner,840,https://github.com/Cyclenerd/ethereum_nvidia_miner
juzzlin,Heimer,824,https://github.com/juzzlin/Heimer
htpcBeginner,AtoMiC-ToolKit,821,https://github.com/htpcBeginner/AtoMiC-ToolKit
hughperkins,coriander,816,https://github.com/hughperkins/coriander
userdocs,qbittorrent-nox-static,811,https://github.com/userdocs/qbittorrent-nox-static
cami-la,curso-dio-dominando-ides-java,805,https://github.com/cami-la/curso-dio-dominando-ides-java
YadominJinta,atilo,794,https://github.com/YadominJinta/atilo
hughperkins,tf-coriander,792,https://github.com/hughperkins/tf-coriander
master131,iFakeLocation,782,https://github.com/master131/iFakeLocation
mikeslattery,tunic,767,https://github.com/mikeslattery/tunic
Onelinerhub,onelinerhub,765,https://github.com/Onelinerhub/onelinerhub
pimlie,ubuntu-mainline-kernel.sh,762,https://github.com/pimlie/ubuntu-mainline-kernel.sh
Joshua-Riek,ubuntu-rockchip,755,https://github.com/Joshua-Riek/ubuntu-rockchip
