Username,Repository,Stars,Repo URL
icsharpcode,ILSpy,18.9k,https://github.com/icsharpcode/ILSpy
lettier,3d-game-shaders-for-beginners,16.2k,https://github.com/lettier/3d-game-shaders-for-beginners
Unity-Technologies,ml-agents,15.5k,https://github.com/Unity-Technologies/ml-agents
Perfare,AssetStudio,11.6k,https://github.com/Perfare/AssetStudio
Tencent,xLua,8.7k,https://github.com/Tencent/xLua
egametang,ET,7.6k,https://github.com/egametang/ET
jynew,jynew,7.2k,https://github.com/jynew/jynew
neuecc,UniRx,6.7k,https://github.com/neuecc/UniRx
sschmid,Entitas,6.6k,https://github.com/sschmid/Entitas
Cysharp,UniTask,6.2k,https://github.com/Cysharp/UniTask
ThusSpokeNomad,GameNetworkingResources,6.2k,https://github.com/ThusSpokeNomad/GameNetworkingResources
RyanNielson,awesome-unity,6.1k,https://github.com/RyanNielson/awesome-unity
microsoft,MixedRealityToolkit-Unity,5.9k,https://github.com/microsoft/MixedRealityToolkit-Unity
Perfare,Il2CppDumper,5.8k,https://github.com/Perfare/Il2CppDumper
UnityTechnologies,open-project-1,5.4k,https://github.com/UnityTechnologies/open-project-1
ColinLeung-NiloCat,UnityURPToonLitShaderExample,5.4k,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
focus-creative-games,hybridclr,5.1k,https://github.com/focus-creative-games/hybridclr
michidk,Unity-Script-Collection,5k,https://github.com/michidk/Unity-Script-Collection
EllanJiang,GameFramework,5k,https://github.com/EllanJiang/GameFramework
MessagePack-CSharp,MessagePack-CSharp,4.9k,https://github.com/MessagePack-CSharp/MessagePack-CSharp
mob-sakai,UIEffect,4.9k,https://github.com/mob-sakai/UIEffect
MirrorNetworking,Mirror,4.5k,https://github.com/MirrorNetworking/Mirror
dnSpyEx,dnSpy,4.4k,https://github.com/dnSpyEx/dnSpy
pardeike,Harmony,4.4k,https://github.com/pardeike/Harmony
marian42,wavefunctioncollapse,4.2k,https://github.com/marian42/wavefunctioncollapse
Tencent,puerts,4.2k,https://github.com/Tencent/puerts
zalo,MathUtilities,3.9k,https://github.com/zalo/MathUtilities
ketoo,NoahGameFrame,3.8k,https://github.com/ketoo/NoahGameFrame
