Username,Repository,Stars,Repo URL
microsoft,AirSim,15.2k,https://github.com/microsoft/AirSim
heroiclabs,nakama,7.7k,https://github.com/heroiclabs/nakama
ThusSpokeNomad,GameNetworkingResources,6.2k,https://github.com/ThusSpokeNomad/GameNetworkingResources
Allar,ue5-style-guide,4.4k,https://github.com/Allar/ue5-style-guide
gonglei007,GameDevMind,3.4k,https://github.com/gonglei007/GameDevMind
nxrighthere,UnrealCLR,2.9k,https://github.com/nxrighthere/UnrealCLR
tomlooman,ActionRoguelike,2.8k,https://github.com/tomlooman/ActionRoguelike
lgsvl,simulator,2.1k,https://github.com/lgsvl/simulator
gildor2,UEViewer,2k,https://github.com/gildor2/UEViewer
dyanikoglu,ALS-Community,1.8k,https://github.com/dyanikoglu/ALS-Community
xavier150,Blender-For-UnrealEngine-Addons,1.7k,https://github.com/xavier150/Blender-For-UnrealEngine-Addons
Tencent,sluaunreal,1.6k,https://github.com/Tencent/sluaunreal
Gforcex,OpenGraphic,1.6k,https://github.com/Gforcex/OpenGraphic
Phyronnaz,VoxelPlugin,1.5k,https://github.com/Phyronnaz/VoxelPlugin
zfoo-project,zfoo,1.4k,https://github.com/zfoo-project/zfoo
TriAxis-Games,RealtimeMeshComponent,1.4k,https://github.com/TriAxis-Games/RealtimeMeshComponent
sideeffects,HoudiniEngineForUnreal,1.2k,https://github.com/sideeffects/HoudiniEngineForUnreal
getnamo,TensorFlow-Unreal,1.1k,https://github.com/getnamo/TensorFlow-Unreal
AsPJT,DungeonTemplateLibrary,1.1k,https://github.com/AsPJT/DungeonTemplateLibrary
Harrison1,unrealcpp,1.1k,https://github.com/Harrison1/unrealcpp
ProjectBorealis,PBCharacterMovement,1.1k,https://github.com/ProjectBorealis/PBCharacterMovement
4sval,FModel,1k,https://github.com/4sval/FModel
ufna,VaRest,1k,https://github.com/ufna/VaRest
iniside,ActionRPGGame,948,https://github.com/iniside/ActionRPGGame
hxhb,HotPatcher,900,https://github.com/hxhb/HotPatcher
