Username,Repository,Stars,Repo URL
hashicorp,vagrant,25.4k,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,7.5k,https://github.com/geerlingguy/ansible-for-devops
Varying-Vagrant-Vagrants,VVV,4.6k,https://github.com/Varying-Vagrant-Vagrants/VVV
clong,DetectionLab,4.3k,https://github.com/clong/DetectionLab
chef,bento,4.1k,https://github.com/chef/bento
ChristianLempa,boilerplates,2.9k,https://github.com/ChristianLempa/boilerplates
ServiceStack,redis-windows,2.7k,https://github.com/ServiceStack/redis-windows
roots,trellis,2.4k,https://github.com/roots/trellis
vagrant-libvirt,vagrant-libvirt,2.2k,https://github.com/vagrant-libvirt/vagrant-libvirt
Artemmkin,infrastructure-as-code-tutorial,2.2k,https://github.com/Artemmkin/infrastructure-as-code-tutorial
leucos,ansible-tuto,2.2k,https://github.com/leucos/ansible-tuto
ianmiell,shutit,2.1k,https://github.com/ianmiell/shutit
geerlingguy,ansible-vagrant-examples,2k,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1.9k,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
magma,magma,1.6k,https://github.com/magma/magma
scottslowe,learning-tools,1.5k,https://github.com/scottslowe/learning-tools
geerlingguy,drupal-vm,1.4k,https://github.com/geerlingguy/drupal-vm
StefanScherer,packer-windows,1.2k,https://github.com/StefanScherer/packer-windows
timsutton,osx-vm-templates,1.1k,https://github.com/timsutton/osx-vm-templates
hypriot,image-builder-rpi,1.1k,https://github.com/hypriot/image-builder-rpi
uber-common,metta,1k,https://github.com/uber-common/metta
vccw-team,vccw,1k,https://github.com/vccw-team/vccw
GoSecure,malboxes,1k,https://github.com/GoSecure/malboxes
Parallels,vagrant-parallels,984,https://github.com/Parallels/vagrant-parallels
StefanScherer,windows-docker-machine,978,https://github.com/StefanScherer/windows-docker-machine
oracle,vagrant-projects,882,https://github.com/oracle/vagrant-projects
r8,vagrant-lamp,754,https://github.com/r8/vagrant-lamp
thomvaill,tads-boilerplate,691,https://github.com/thomvaill/tads-boilerplate
adithyakhamithkar,ansible-playbooks,667,https://github.com/adithyakhamithkar/ansible-playbooks
vagrant-landrush,landrush,666,https://github.com/vagrant-landrush/landrush
bacongravy,macinbox,659,https://github.com/bacongravy/macinbox
R3dy,capsulecorp-pentest,651,https://github.com/R3dy/capsulecorp-pentest
phansible,phansible,639,https://github.com/phansible/phansible
geerlingguy,packer-boxes,635,https://github.com/geerlingguy/packer-boxes
Sliim,pentest-env,626,https://github.com/Sliim/pentest-env
Chassis,Chassis,621,https://github.com/Chassis/Chassis
leighmcculloch,vagrant-docker-compose,604,https://github.com/leighmcculloch/vagrant-docker-compose
pires,kubernetes-vagrant-coreos-cluster,601,https://github.com/pires/kubernetes-vagrant-coreos-cluster
iJackUA,awesome-vagrant,583,https://github.com/iJackUA/awesome-vagrant
StefanScherer,docker-windows-box,577,https://github.com/StefanScherer/docker-windows-box
lavabit,robox,564,https://github.com/lavabit/robox
jtyr,gbt,540,https://github.com/jtyr/gbt
cyberdefenders,DetectionLabELK,515,https://github.com/cyberdefenders/DetectionLabELK
kaorimatz,packer-templates,489,https://github.com/kaorimatz/packer-templates
wckr,wocker,477,https://github.com/wckr/wocker
dirkaholic,vagrant-php-dev-box,475,https://github.com/dirkaholic/vagrant-php-dev-box
rjurney,Agile_Data_Code_2,447,https://github.com/rjurney/Agile_Data_Code_2
paliarush,magento2-vagrant-for-developers,447,https://github.com/paliarush/magento2-vagrant-for-developers
konstruktoid,ansible-role-hardening,439,https://github.com/konstruktoid/ansible-role-hardening
kairen,kube-ansible,431,https://github.com/kairen/kube-ansible
