Username,Repository,Stars,Repo URL
neovim,neovim,70k,https://github.com/neovim/neovim
junegunn,fzf,54.7k,https://github.com/junegunn/fzf
LeCoupa,awesome-cheatsheets,34.7k,https://github.com/LeCoupa/awesome-cheatsheets
vim,vim,33.1k,https://github.com/vim/vim
junegunn,vim-plug,32.1k,https://github.com/junegunn/vim-plug
lapce,lapce,27.9k,https://github.com/lapce/lapce
helix-editor,helix,25.1k,https://github.com/helix-editor/helix
ycm-core,YouCompleteMe,25k,https://github.com/ycm-core/YouCompleteMe
neoclide,coc.nvim,23.4k,https://github.com/neoclide/coc.nvim
syl20bnr,spacemacs,23.2k,https://github.com/syl20bnr/spacemacs
SpaceVim,SpaceVim,20.1k,https://github.com/SpaceVim/SpaceVim
NvChad,NvChad,19.6k,https://github.com/NvChad/NvChad
preservim,nerdtree,18.8k,https://github.com/preservim/nerdtree
doomemacs,doomemacs,17.5k,https://github.com/doomemacs/doomemacs
vim-airline,vim-airline,17.4k,https://github.com/vim-airline/vim-airline
jarun,nnn,17.1k,https://github.com/jarun/nnn
LunarVim,LunarVim,16.1k,https://github.com/LunarVim/LunarVim
mhinz,vim-galore,15.9k,https://github.com/mhinz/vim-galore
fatih,vim-go,15.6k,https://github.com/fatih/vim-go
ranger,ranger,14k,https://github.com/ranger/ranger
powerline,powerline,13.9k,https://github.com/powerline/powerline
dense-analysis,ale,12.9k,https://github.com/dense-analysis/ale
VSCodeVim,Vim,12.5k,https://github.com/VSCodeVim/Vim
iggredible,Learn-Vim,12.2k,https://github.com/iggredible/Learn-Vim
onivim,oni,11.4k,https://github.com/onivim/oni
vnotex,vnote,10.8k,https://github.com/vnotex/vnote
AstroNvim,AstroNvim,10.5k,https://github.com/AstroNvim/AstroNvim
skywind3000,awesome-cheatsheets,10.4k,https://github.com/skywind3000/awesome-cheatsheets
wsdjeg,vim-galore-zh_cn,10.2k,https://github.com/wsdjeg/vim-galore-zh_cn
atlas-engineer,nyxt,9.1k,https://github.com/atlas-engineer/nyxt
junegunn,fzf.vim,9.1k,https://github.com/junegunn/fzf.vim
mawww,kakoune,9.1k,https://github.com/mawww/kakoune
qutebrowser,qutebrowser,9k,https://github.com/qutebrowser/qutebrowser
vimwiki,vimwiki,8.3k,https://github.com/vimwiki/vimwiki
