Username,Repository,Stars,Repo URL
mrdoob,three.js,94.9k,https://github.com/mrdoob/three.js
aframevr,aframe,15.7k,https://github.com/aframevr/aframe
bulletphysics,bullet3,11.1k,https://github.com/bulletphysics/bullet3
playcanvas,engine,8.7k,https://github.com/playcanvas/engine
relativty,Relativty,6.1k,https://github.com/relativty/Relativty
ExtendRealityLtd,VRTK,3.7k,https://github.com/ExtendRealityLtd/VRTK
immersive-web,webxr,2.8k,https://github.com/immersive-web/webxr
viromedia,viro,2.1k,https://github.com/viromedia/viro
praydog,REFramework,2k,https://github.com/praydog/REFramework
widgetti,ipyvolume,1.9k,https://github.com/widgetti/ipyvolume
bjornbytes,lovr,1.6k,https://github.com/bjornbytes/lovr
letoram,arcan,1.4k,https://github.com/letoram/arcan
supermedium,aframe-react,1.4k,https://github.com/supermedium/aframe-react
the3deer,android-3D-model-viewer,1.3k,https://github.com/the3deer/android-3D-model-viewer
aframevr,awesome-aframe,1.3k,https://github.com/aframevr/awesome-aframe
supermedium,superframe,1.3k,https://github.com/supermedium/superframe
networked-aframe,networked-aframe,1.1k,https://github.com/networked-aframe/networked-aframe
AsPJT,DungeonTemplateLibrary,1.1k,https://github.com/AsPJT/DungeonTemplateLibrary
exokitxr,exokit,961,https://github.com/exokitxr/exokit
julrog,nn_vis,932,https://github.com/julrog/nn_vis
reinterpretcat,utymap,929,https://github.com/reinterpretcat/utymap
immersive-web,webxr-samples,887,https://github.com/immersive-web/webxr-samples
StereoKit,StereoKit,841,https://github.com/StereoKit/StereoKit
De-Panther,unity-webxr-export,804,https://github.com/De-Panther/unity-webxr-export
aestheticinteractive,Hover-UI-Kit,765,https://github.com/aestheticinteractive/Hover-UI-Kit
fabio914,RealityMixer,747,https://github.com/fabio914/RealityMixer
KhronosGroup,OpenXR-SDK,732,https://github.com/KhronosGroup/OpenXR-SDK
aframevr,a-painter,661,https://github.com/aframevr/a-painter
icosa-foundation,open-brush,656,https://github.com/icosa-foundation/open-brush
EtherealEngine,etherealengine,641,https://github.com/EtherealEngine/etherealengine
rurre,PumkinsAvatarTools,634,https://github.com/rurre/PumkinsAvatarTools
aframevr,aframe-inspector,615,https://github.com/aframevr/aframe-inspector
microsoft,MapsSDK-Unity,611,https://github.com/microsoft/MapsSDK-Unity
Project-Splinter,MonoPort,546,https://github.com/Project-Splinter/MonoPort
KhronosGroup,OpenXR-SDK-Source,543,https://github.com/KhronosGroup/OpenXR-SDK-Source
omgmog,uxofvr.com,534,https://github.com/omgmog/uxofvr.com
maxxfrazer,RealityUI,531,https://github.com/maxxfrazer/RealityUI
vircadia,vircadia-native-core,523,https://github.com/vircadia/vircadia-native-core
SlimeVR,SlimeVR-Server,495,https://github.com/SlimeVR/SlimeVR-Server
matryx,calcflow,491,https://github.com/matryx/calcflow
ultraleap,UnityPlugin,488,https://github.com/ultraleap/UnityPlugin
EyeTrackVR,EyeTrackVR,421,https://github.com/EyeTrackVR/EyeTrackVR
IdeaSpaceVR,IdeaSpace,405,https://github.com/IdeaSpaceVR/IdeaSpace
VRMADA,ultimatexr-unity,402,https://github.com/VRMADA/ultimatexr-unity
eseedo,AR-VRCourse,394,https://github.com/eseedo/AR-VRCourse
ignacio-chiazzo,ARKit,356,https://github.com/ignacio-chiazzo/ARKit
immersive-web,webxr-polyfill,355,https://github.com/immersive-web/webxr-polyfill
PhoneVR-Developers,PhoneVR,355,https://github.com/PhoneVR-Developers/PhoneVR
viromedia,virocore,352,https://github.com/viromedia/virocore
Jasonnor,Car-Simulator,351,https://github.com/Jasonnor/Car-Simulator
leetvr,hotham,350,https://github.com/leetvr/hotham
ViveSoftware,ViveInputUtility-Unity,343,https://github.com/ViveSoftware/ViveInputUtility-Unity
cosmoscout,cosmoscout-vr,334,https://github.com/cosmoscout/cosmoscout-vr
favreau,Sol-R,302,https://github.com/favreau/Sol-R
a2flo,floor,297,https://github.com/a2flo/floor
ddiakopoulos,polymer,294,https://github.com/ddiakopoulos/polymer
fpw,avitab,273,https://github.com/fpw/avitab
TheNewJavaman,unreal-vr,268,https://github.com/TheNewJavaman/unreal-vr
letoram,safespaces,266,https://github.com/letoram/safespaces
rjth,Punchkeyboard,257,https://github.com/rjth/Punchkeyboard
mikeroyal,AR-VR-Guide,254,https://github.com/mikeroyal/AR-VR-Guide
Yonet,MixedRealityResources,253,https://github.com/Yonet/MixedRealityResources
eth-siplab,AvatarPoser,243,https://github.com/eth-siplab/AvatarPoser
mgschwan,VRWorkout,241,https://github.com/mgschwan/VRWorkout
natmlx,natml-unity,210,https://github.com/natmlx/natml-unity
terminal29,Simple-OpenVR-Driver-Tutorial,196,https://github.com/terminal29/Simple-OpenVR-Driver-Tutorial
OpenNewsLabs,guri-vr,191,https://github.com/OpenNewsLabs/guri-vr
