Username,Repository,Stars,Repo URL
storybookjs,storybook,80.5k,https://github.com/storybookjs/storybook
Polymer,polymer,22k,https://github.com/Polymer/polymer
Tencent,omi,12.8k,https://github.com/Tencent/omi
rough-stuff,wired-elements,9.5k,https://github.com/rough-stuff/wired-elements
microsoft,fast,8.6k,https://github.com/microsoft/fast
material-components,material-web,7.3k,https://github.com/material-components/material-web
andreasbm,web-skills,6.7k,https://github.com/andreasbm/web-skills
vmware-archive,clarity,6.5k,https://github.com/vmware-archive/clarity
skatejs,skatejs,3.3k,https://github.com/skatejs/skatejs
openui,open-ui,2.8k,https://github.com/openui/open-ui
github,relative-time-element,2.8k,https://github.com/github/relative-time-element
yued-fe,lulu,2.7k,https://github.com/yued-fe/lulu
vime-js,vime,2.7k,https://github.com/vime-js/vime
github,github-elements,2.6k,https://github.com/github/github-elements
matthewp,haunted,2.5k,https://github.com/matthewp/haunted
web-padawan,awesome-web-components,2.4k,https://github.com/web-padawan/awesome-web-components
capricorn86,happy-dom,2.4k,https://github.com/capricorn86/happy-dom
open-wc,open-wc,2.1k,https://github.com/open-wc/open-wc
karol-f,vue-custom-element,1.9k,https://github.com/karol-f/vue-custom-element
microsoft,fluentui-blazor,1.7k,https://github.com/microsoft/fluentui-blazor
ing-bank,lion,1.6k,https://github.com/ing-bank/lion
ssleptsov,ninja-keys,1.5k,https://github.com/ssleptsov/ninja-keys
wix,stylable,1.3k,https://github.com/wix/stylable
vidstack,vidstack,1.2k,https://github.com/vidstack/vidstack
Polymer,polymer-bundler,1.2k,https://github.com/Polymer/polymer-bundler
XboxYan,xy-ui,1.1k,https://github.com/XboxYan/xy-ui
GoogleChromeLabs,dark-mode-toggle,1.1k,https://github.com/GoogleChromeLabs/dark-mode-toggle
lume,lume,1.1k,https://github.com/lume/lume
nolanlawson,emoji-picker-element,1.1k,https://github.com/nolanlawson/emoji-picker-element
Trendyol,baklava,1.1k,https://github.com/Trendyol/baklava
gdg-x,hoverboard,1k,https://github.com/gdg-x/hoverboard
atomicojs,atomico,1k,https://github.com/atomicojs/atomico
tbranyen,diffhtml,856,https://github.com/tbranyen/diffhtml
crashmax-dev,fireworks-js,855,https://github.com/crashmax-dev/fireworks-js
muxinc,media-chrome,852,https://github.com/muxinc/media-chrome
microsoftgraph,microsoft-graph-toolkit,839,https://github.com/microsoftgraph/microsoft-graph-toolkit
elix,elix,751,https://github.com/elix/elix
github,details-dialog-element,743,https://github.com/github/details-dialog-element
web-padawan,vanilla-colorful,717,https://github.com/web-padawan/vanilla-colorful
papyrs,stylo,711,https://github.com/papyrs/stylo
mappmechanic,awesome-stenciljs,675,https://github.com/mappmechanic/awesome-stenciljs
rstacruz,remount,671,https://github.com/rstacruz/remount
coreui,coreui,668,https://github.com/coreui/coreui
ionic-team,ionic-pwa-toolkit,636,https://github.com/ionic-team/ionic-pwa-toolkit
edcarroll,ng2-semantic-ui,618,https://github.com/edcarroll/ng2-semantic-ui
Monogatari,Monogatari,580,https://github.com/Monogatari/Monogatari
Polymer,web-component-tester,566,https://github.com/Polymer/web-component-tester
github,details-menu-element,564,https://github.com/github/details-menu-element
vaadin,vaadin,541,https://github.com/vaadin/vaadin
n6ai,minze,531,https://github.com/n6ai/minze
simplajs,simpla,530,https://github.com/simplajs/simpla
github,include-fragment-element,510,https://github.com/github/include-fragment-element
Polymer,polymer-cli,504,https://github.com/Polymer/polymer-cli
Silind-Software,direflow,501,https://github.com/Silind-Software/direflow
salesforce,base-components-recipes,484,https://github.com/salesforce/base-components-recipes
cifkao,html-midi-player,479,https://github.com/cifkao/html-midi-player
ais-one,cookbook,458,https://github.com/ais-one/cookbook
carbon-design-system,carbon-web-components,455,https://github.com/carbon-design-system/carbon-web-components
open-amdocs,webrix,423,https://github.com/open-amdocs/webrix
github,clipboard-copy-element,413,https://github.com/github/clipboard-copy-element
shprink,web-components-todo,399,https://github.com/shprink/web-components-todo
hmans,three-elements,396,https://github.com/hmans/three-elements
MarketingPipeline,Markdown-Tag,396,https://github.com/MarketingPipeline/Markdown-Tag
vaadin,vaadin-core,394,https://github.com/vaadin/vaadin-core
ficusjs,ficusjs,390,https://github.com/ficusjs/ficusjs
HTMLElements,smart-webcomponents,389,https://github.com/HTMLElements/smart-webcomponents
SAP,ui5-webcomponents-react,385,https://github.com/SAP/ui5-webcomponents-react
andreasbm,weightless,371,https://github.com/andreasbm/weightless
gorango,glyphs,359,https://github.com/gorango/glyphs
vaadin,web-components,359,https://github.com/vaadin/web-components
Valloric,statblock5e,344,https://github.com/Valloric/statblock5e
webcomponents,webcomponents.org,344,https://github.com/webcomponents/webcomponents.org
ksc-fe,kpc,344,https://github.com/ksc-fe/kpc
modernweb-dev,rocket,343,https://github.com/modernweb-dev/rocket
OutpostHQ,numl,337,https://github.com/OutpostHQ/numl
github,auto-complete-element,335,https://github.com/github/auto-complete-element
github,tab-container-element,334,https://github.com/github/tab-container-element
bem,bem-components,331,https://github.com/bem/bem-components
telekom,scale,328,https://github.com/telekom/scale
emuell,restic-browser,327,https://github.com/emuell/restic-browser
preactjs,preact-custom-element,320,https://github.com/preactjs/preact-custom-element
defx,synergy,312,https://github.com/defx/synergy
angular-extensions,elements,307,https://github.com/angular-extensions/elements
blueprintui,blueprintui,306,https://github.com/blueprintui/blueprintui
github,markdown-toolbar-element,296,https://github.com/github/markdown-toolbar-element
b-coimbra,dawn,294,https://github.com/b-coimbra/dawn
jqwidgets,jQWidgets,294,https://github.com/jqwidgets/jQWidgets
boltdesignsystem,bolt,286,https://github.com/boltdesignsystem/bolt
Prettyhtml,prettyhtml,280,https://github.com/Prettyhtml/prettyhtml
yisar,eplayer,273,https://github.com/yisar/eplayer
mxdi9i7,vant-react,262,https://github.com/mxdi9i7/vant-react
andreruffert,progressive-image-element,261,https://github.com/andreruffert/progressive-image-element
mixpanel,panel,260,https://github.com/mixpanel/panel
proyecto26,ion-phaser,246,https://github.com/proyecto26/ion-phaser
jukbot,smart-industry,246,https://github.com/jukbot/smart-industry
adobe,lit-mobx,243,https://github.com/adobe/lit-mobx
petehouston,vue-ui-framework,242,https://github.com/petehouston/vue-ui-framework
proyecto26,animatable-component,241,https://github.com/proyecto26/animatable-component
material-foundation,material-theme-builder,241,https://github.com/material-foundation/material-theme-builder
Esri,calcite-design-system,237,https://github.com/Esri/calcite-design-system
