Username,Repository,Stars,Repo URL
donnemartin,system-design-primer,232k,https://github.com/donnemartin/system-design-primer
louislam,uptime-kuma,39.5k,https://github.com/louislam/uptime-kuma
tipsy,profile-summary-for-github,19.8k,https://github.com/tipsy/profile-summary-for-github
dexteryy,spellbook-of-modern-webdev,16.4k,https://github.com/dexteryy/spellbook-of-modern-webdev
dailydotdev,daily,14.3k,https://github.com/dailydotdev/daily
mickael-kerjean,filestash,8.5k,https://github.com/mickael-kerjean/filestash
zauberzeug,nicegui,5.6k,https://github.com/zauberzeug/nicegui
H-M-H,Weylus,5.4k,https://github.com/H-M-H/Weylus
jagenjo,webglstudio.js,5k,https://github.com/jagenjo/webglstudio.js
miguelgrinberg,microblog,4.3k,https://github.com/miguelgrinberg/microblog
h2oai,wave,3.7k,https://github.com/h2oai/wave
toolswatch,blackhat-arsenal-tools,3.6k,https://github.com/toolswatch/blackhat-arsenal-tools
nisrulz,app-privacy-policy-generator,3.5k,https://github.com/nisrulz/app-privacy-policy-generator
didi,mpx,3.4k,https://github.com/didi/mpx
shadowwalker,next-pwa,3.3k,https://github.com/shadowwalker/next-pwa
tiangolo,uwsgi-nginx-flask-docker,2.9k,https://github.com/tiangolo/uwsgi-nginx-flask-docker
ulisesbocchio,jasypt-spring-boot,2.6k,https://github.com/ulisesbocchio/jasypt-spring-boot
dbeaver,cloudbeaver,2.6k,https://github.com/dbeaver/cloudbeaver
jkbrzt,cloudtunes,2.5k,https://github.com/jkbrzt/cloudtunes
MarnoDev,react-native-open-project,2.4k,https://github.com/MarnoDev/react-native-open-project
samuelmaddock,metastream,2.4k,https://github.com/samuelmaddock/metastream
batnoter,batnoter,2.2k,https://github.com/batnoter/batnoter
saschagrunert,webapp.rs,2.2k,https://github.com/saschagrunert/webapp.rs
nitin42,terminal-in-react,2.1k,https://github.com/nitin42/terminal-in-react
Yooooomi,your_spotify,1.9k,https://github.com/Yooooomi/your_spotify
ever-co,ever-traduora,1.9k,https://github.com/ever-co/ever-traduora
Ajaxy,telegram-tt,1.9k,https://github.com/Ajaxy/telegram-tt
danny-avila,LibreChat,1.8k,https://github.com/danny-avila/LibreChat
bobiscool,wxDraw,1.7k,https://github.com/bobiscool/wxDraw
aress31,burpgpt,1.7k,https://github.com/aress31/burpgpt
HolyBugx,HolyTips,1.6k,https://github.com/HolyBugx/HolyTips
ExpDev07,coronavirus-tracker-api,1.6k,https://github.com/ExpDev07/coronavirus-tracker-api
smapiot,piral,1.5k,https://github.com/smapiot/piral
SpacingBat3,WebCord,1.4k,https://github.com/SpacingBat3/WebCord
wukko,cobalt,1.3k,https://github.com/wukko/cobalt
jrieke,traingenerator,1.3k,https://github.com/jrieke/traingenerator
ArthurSonzogni,Diagon,1.3k,https://github.com/ArthurSonzogni/Diagon
LinkStackOrg,LinkStack,1.3k,https://github.com/LinkStackOrg/LinkStack
cryptii,cryptii,1.3k,https://github.com/cryptii/cryptii
holtwick,briefing,1.3k,https://github.com/holtwick/briefing
treefrogframework,treefrog-framework,1.2k,https://github.com/treefrogframework/treefrog-framework
snorpey,jpg-glitch,1.2k,https://github.com/snorpey/jpg-glitch
oliver-gomes,csswand,1.2k,https://github.com/oliver-gomes/csswand
eikek,docspell,1.2k,https://github.com/eikek/docspell
cybersecsi,houdini,1.1k,https://github.com/cybersecsi/houdini
lwsjs,local-web-server,1.1k,https://github.com/lwsjs/local-web-server
arclanguage,anarki,1.1k,https://github.com/arclanguage/anarki
imfing,keras-flask-deploy-webapp,1.1k,https://github.com/imfing/keras-flask-deploy-webapp
widgetti,solara,1.1k,https://github.com/widgetti/solara
Codelessly,ResponsiveFramework,1.1k,https://github.com/Codelessly/ResponsiveFramework
morethanwords,tweb,1.1k,https://github.com/morethanwords/tweb
wireapp,wire-webapp,1.1k,https://github.com/wireapp/wire-webapp
