Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,140k,https://github.com/jlevy/the-art-of-command-line
nodejs,node,98.5k,https://github.com/nodejs/node
microsoft,PowerToys,96.9k,https://github.com/microsoft/PowerToys
microsoft,terminal,90.9k,https://github.com/microsoft/terminal
atom,atom,59.6k,https://github.com/atom/atom
ventoy,Ventoy,53.2k,https://github.com/ventoy/Ventoy
alacritty,alacritty,48.8k,https://github.com/alacritty/alacritty
2dust,v2rayN,47.7k,https://github.com/2dust/v2rayN
massgravel,Microsoft-Activation-Scripts,46k,https://github.com/massgravel/Microsoft-Activation-Scripts
sherlock-project,sherlock,43.8k,https://github.com/sherlock-project/sherlock
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
x64dbg,x64dbg,41.7k,https://github.com/x64dbg/x64dbg
lencx,ChatGPT,41.6k,https://github.com/lencx/ChatGPT
marktext,marktext,41.6k,https://github.com/marktext/marktext
PowerShell,PowerShell,41.1k,https://github.com/PowerShell/PowerShell
agalwood,Motrix,40.4k,https://github.com/agalwood/Motrix
GitSquared,edex-ui,38.4k,https://github.com/GitSquared/edex-ui
nativefier,nativefier,34.3k,https://github.com/nativefier/nativefier
coreybutler,nvm-windows,30.8k,https://github.com/coreybutler/nvm-windows
WerWolv,ImHex,30.2k,https://github.com/WerWolv/ImHex
files-community,Files,29k,https://github.com/files-community/Files
microsoft,calculator,27.8k,https://github.com/microsoft/calculator
cmderdev,cmder,25.1k,https://github.com/cmderdev/cmder
qier222,YesPlayMusic,24.9k,https://github.com/qier222/YesPlayMusic
pbatard,rufus,24.8k,https://github.com/pbatard/rufus
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
Awesome-Windows,Awesome,23.9k,https://github.com/Awesome-Windows/Awesome
Wox-launcher,Wox,23.2k,https://github.com/Wox-launcher/Wox
huiyadanli,RevokeMsgPatcher,23k,https://github.com/huiyadanli/RevokeMsgPatcher
libuv,libuv,22.3k,https://github.com/libuv/libuv
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
notable,notable,22k,https://github.com/notable/notable
microsoft,winget-cli,20.9k,https://github.com/microsoft/winget-cli
notepad-plus-plus,notepad-plus-plus,20.2k,https://github.com/notepad-plus-plus/notepad-plus-plus
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
microsoft,vcpkg,19.8k,https://github.com/microsoft/vcpkg
invoke-ai,InvokeAI,19k,https://github.com/invoke-ai/InvokeAI
ScoopInstaller,Scoop,18.7k,https://github.com/ScoopInstaller/Scoop
veler,DevToys,18.3k,https://github.com/veler/DevToys
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
cocos2d,cocos2d-x,17.5k,https://github.com/cocos2d/cocos2d-x
keepassxreboot,keepassxc,17.2k,https://github.com/keepassxreboot/keepassxc
BoostIO,BoostNote-Legacy,17.1k,https://github.com/BoostIO/BoostNote-Legacy
appium,appium,17k,https://github.com/appium/appium
kingToolbox,WindTerm,17k,https://github.com/kingToolbox/WindTerm
wasmerio,wasmer,16.4k,https://github.com/wasmerio/wasmer
kivy,kivy,16.3k,https://github.com/kivy/kivy
Tencent,MMKV,16.2k,https://github.com/Tencent/MMKV
brave,brave-browser,15.7k,https://github.com/brave/brave-browser
