Username,Repository,Stars,Repo URL
goldbergyoni,nodebestpractices,93.3k,https://github.com/goldbergyoni/nodebestpractices
oven-sh,bun,64.4k,https://github.com/oven-sh/bun
meteor,meteor,43.8k,https://github.com/meteor/meteor
yarnpkg,yarn,41.3k,https://github.com/yarnpkg/yarn
lerna,lerna,35k,https://github.com/lerna/lerna
pnpm,pnpm,25.7k,https://github.com/pnpm/pnpm
verdaccio,verdaccio,15.3k,https://github.com/verdaccio/verdaccio
renovatebot,renovate,13.6k,https://github.com/renovatebot/renovate
jaredpalmer,tsdx,11k,https://github.com/jaredpalmer/tsdx
astrit,css.gg,9.3k,https://github.com/astrit/css.gg
apify,crawlee,9.2k,https://github.com/apify/crawlee
raineorshine,npm-check-updates,8.6k,https://github.com/raineorshine/npm-check-updates
miniMAC,magic,8.2k,https://github.com/miniMAC/magic
jaywcjlove,reference,7.7k,https://github.com/jaywcjlove/reference
honojs,hono,7.7k,https://github.com/honojs/hono
voidcosmos,npkill,7.5k,https://github.com/voidcosmos/npkill
npm,cli,7.5k,https://github.com/npm/cli
sindresorhus,np,7.2k,https://github.com/sindresorhus/np
release-it,release-it,7k,https://github.com/release-it/release-it
tsparticles,tsparticles,5.9k,https://github.com/tsparticles/tsparticles
rustwasm,wasm-pack,5.5k,https://github.com/rustwasm/wasm-pack
mysticatea,npm-run-all,5.5k,https://github.com/mysticatea/npm-run-all
jsdelivr,jsdelivr,5.1k,https://github.com/jsdelivr/jsdelivr
wclr,yalc,5k,https://github.com/wclr/yalc
antfu,ni,4.9k,https://github.com/antfu/ni
marticliment,WingetUI,4.7k,https://github.com/marticliment/WingetUI
sindresorhus,awesome-npm,4.3k,https://github.com/sindresorhus/awesome-npm
vuejs,eslint-plugin-vue,4.3k,https://github.com/vuejs/eslint-plugin-vue
waylaidwanderer,node-chatgpt-api,4k,https://github.com/waylaidwanderer/node-chatgpt-api
cnpm,cnpmjs.org,3.6k,https://github.com/cnpm/cnpmjs.org
vercel,release,3.5k,https://github.com/vercel/release
felixrieseberg,windows-build-tools,3.4k,https://github.com/felixrieseberg/windows-build-tools
eludadev,ui-buttons,3.2k,https://github.com/eludadev/ui-buttons
rammcodes,Dopefolio,2.9k,https://github.com/rammcodes/Dopefolio
lxieyang,chrome-extension-boilerplate-react,2.8k,https://github.com/lxieyang/chrome-extension-boilerplate-react
hop-protocol,hop,2.8k,https://github.com/hop-protocol/hop
feross,thanks,2.8k,https://github.com/feross/thanks
sandoche,Darkmode.js,2.7k,https://github.com/sandoche/Darkmode.js
Pana,nrm,2.7k,https://github.com/Pana/nrm
zkat,npx,2.6k,https://github.com/zkat/npx
nas5w,100-days-of-code-frontend,2.6k,https://github.com/nas5w/100-days-of-code-frontend
felixrieseberg,npm-windows-upgrade,2.5k,https://github.com/felixrieseberg/npm-windows-upgrade
esm-dev,esm.sh,2.4k,https://github.com/esm-dev/esm.sh
boltpkg,bolt,2.3k,https://github.com/boltpkg/bolt
johnpapa,lite-server,2.3k,https://github.com/johnpapa/lite-server
BretFisher,node-docker-good-defaults,2.3k,https://github.com/BretFisher/node-docker-good-defaults
npm,npm-expansions,2.2k,https://github.com/npm/npm-expansions
open-source-labs,Svelvet,2.2k,https://github.com/open-source-labs/Svelvet
npm,tink,2.2k,https://github.com/npm/tink
react-native-community,cli,2.1k,https://github.com/react-native-community/cli
720kb,ndm,2k,https://github.com/720kb/ndm
styfle,packagephobia,2k,https://github.com/styfle/packagephobia
reactopt,reactopt,2k,https://github.com/reactopt/reactopt
serkanyersen,ifvisible.js,1.9k,https://github.com/serkanyersen/ifvisible.js
CharlesStover,reactn,1.9k,https://github.com/CharlesStover/reactn
cnpm,cnpm,1.9k,https://github.com/cnpm/cnpm
nodejs,corepack,1.8k,https://github.com/nodejs/corepack
gethyas,doks,1.7k,https://github.com/gethyas/doks
ranyitz,qnm,1.7k,https://github.com/ranyitz/qnm
nicejade,Front-end-tutorial,1.7k,https://github.com/nicejade/Front-end-tutorial
smrchy,rsmq,1.7k,https://github.com/smrchy/rsmq
mrousavy,react-native-blurhash,1.7k,https://github.com/mrousavy/react-native-blurhash
bitwarden,cli,1.6k,https://github.com/bitwarden/cli
greenkeeperio,greenkeeper,1.6k,https://github.com/greenkeeperio/greenkeeper
bnb,awesome-awesome-nodejs,1.5k,https://github.com/bnb/awesome-awesome-nodejs
plus1tv,react-anime,1.5k,https://github.com/plus1tv/react-anime
