Username,Repository,Stars,Repo URL
microsoft,ML-For-Beginners,53.8k,https://github.com/microsoft/ML-For-Beginners
Avik-Jain,100-Days-Of-ML-Code,41.9k,https://github.com/Avik-Jain/100-Days-Of-ML-Code
jakevdp,PythonDataScienceHandbook,39.8k,https://github.com/jakevdp/PythonDataScienceHandbook
apachecn,ailearning,36.6k,https://github.com/apachecn/ailearning
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
onnx,onnx,15.7k,https://github.com/onnx/onnx
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
virgili0,Virgilio,13.5k,https://github.com/virgili0/Virgilio
rasbt,python-machine-learning-book,12k,https://github.com/rasbt/python-machine-learning-book
dask,dask,11.4k,https://github.com/dask/dask
microsoft,onnxruntime,10.6k,https://github.com/microsoft/onnxruntime
EpistasisLab,tpot,9.2k,https://github.com/EpistasisLab/tpot
Yorko,mlcourse.ai,9.1k,https://github.com/Yorko/mlcourse.ai
ljpzzz,machinelearning,7.8k,https://github.com/ljpzzz/machinelearning
automl,auto-sklearn,7.2k,https://github.com/automl/auto-sklearn
rasbt,python-machine-learning-book-2nd-edition,7k,https://github.com/rasbt/python-machine-learning-book-2nd-edition
sktime,sktime,6.9k,https://github.com/sktime/sktime
alteryx,featuretools,6.8k,https://github.com/alteryx/featuretools
autogluon,autogluon,6.3k,https://github.com/autogluon/autogluon
interpretml,interpret,5.7k,https://github.com/interpretml/interpret
skorch-dev,skorch,5.3k,https://github.com/skorch-dev/skorch
apachecn,sklearn-doc-zh,4.9k,https://github.com/apachecn/sklearn-doc-zh
Nyandwi,machine_learning_complete,4.3k,https://github.com/Nyandwi/machine_learning_complete
biolab,orange3,4.3k,https://github.com/biolab/orange3
PipelineAI,pipeline,4.2k,https://github.com/PipelineAI/pipeline
rasbt,python-machine-learning-book-3rd-edition,4.1k,https://github.com/rasbt/python-machine-learning-book-3rd-edition
DistrictDataLabs,yellowbrick,4.1k,https://github.com/DistrictDataLabs/yellowbrick
justmarkham,scikit-learn-videos,3.6k,https://github.com/justmarkham/scikit-learn-videos
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3.5k,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
hemansnation,God-Level-Data-Science-ML-Full-Stack,3.3k,https://github.com/hemansnation/God-Level-Data-Science-ML-Full-Stack
microsoft,hummingbird,3.2k,https://github.com/microsoft/hummingbird
ml-tooling,ml-workspace,3.2k,https://github.com/ml-tooling/ml-workspace
adap,flower,3.1k,https://github.com/adap/flower
nidhaloff,igel,3.1k,https://github.com/nidhaloff/igel
microsoft,FLAML,3k,https://github.com/microsoft/FLAML
tirthajyoti,Machine-Learning-with-Python,2.8k,https://github.com/tirthajyoti/Machine-Learning-with-Python
mljar,mljar-supervised,2.8k,https://github.com/mljar/mljar-supervised
TeamHG-Memex,eli5,2.7k,https://github.com/TeamHG-Memex/eli5
parrt,dtreeviz,2.7k,https://github.com/parrt/dtreeviz
scikit-optimize,scikit-optimize,2.7k,https://github.com/scikit-optimize/scikit-optimize
mars-project,mars,2.6k,https://github.com/mars-project/mars
BayesWitnesses,m2cgen,2.6k,https://github.com/BayesWitnesses/m2cgen
tirthajyoti,Data-science-best-resources,2.6k,https://github.com/tirthajyoti/Data-science-best-resources
iryna-kondr,scikit-llm,2.6k,https://github.com/iryna-kondr/scikit-llm
christianversloot,machine-learning-articles,2.5k,https://github.com/christianversloot/machine-learning-articles
reiinakano,scikit-plot,2.4k,https://github.com/reiinakano/scikit-plot
rasbt,machine-learning-book,2.3k,https://github.com/rasbt/machine-learning-book
dipanjanS,practical-machine-learning-with-python,2.1k,https://github.com/dipanjanS/practical-machine-learning-with-python
krzjoa,awesome-python-data-science,2.1k,https://github.com/krzjoa/awesome-python-data-science
modAL-python,modAL,2k,https://github.com/modAL-python/modAL
Xtremilicious,projectlearn-project-based-learning,2k,https://github.com/Xtremilicious/projectlearn-project-based-learning
chris1610,pbpython,1.9k,https://github.com/chris1610/pbpython
edyoda,data-science-complete-tutorial,1.7k,https://github.com/edyoda/data-science-complete-tutorial
justmarkham,scikit-learn-tips,1.7k,https://github.com/justmarkham/scikit-learn-tips
ClimbsRocks,auto_ml,1.6k,https://github.com/ClimbsRocks/auto_ml
justmarkham,DAT8,1.6k,https://github.com/justmarkham/DAT8
dipanjanS,text-analytics-with-python,1.6k,https://github.com/dipanjanS/text-analytics-with-python
feature-engine,feature_engine,1.5k,https://github.com/feature-engine/feature_engine
robertmartin8,MachineLearningStocks,1.5k,https://github.com/robertmartin8/MachineLearningStocks
combust,mleap,1.5k,https://github.com/combust/mleap
shibing624,python-tutorial,1.5k,https://github.com/shibing624/python-tutorial
AutoViML,AutoViz,1.5k,https://github.com/AutoViML/AutoViz
danielhanchen,hyperlearn,1.4k,https://github.com/danielhanchen/hyperlearn
trevorstephens,gplearn,1.4k,https://github.com/trevorstephens/gplearn
scikit-learn-contrib,metric-learn,1.3k,https://github.com/scikit-learn-contrib/metric-learn
jrieke,traingenerator,1.3k,https://github.com/jrieke/traingenerator
reiinakano,xcessiv,1.3k,https://github.com/reiinakano/xcessiv
nok,sklearn-porter,1.3k,https://github.com/nok/sklearn-porter
csinva,imodels,1.2k,https://github.com/csinva/imodels
nicodv,kmodes,1.2k,https://github.com/nicodv/kmodes
devAmoghS,Machine-Learning-with-Python,1.2k,https://github.com/devAmoghS/Machine-Learning-with-Python
lensacom,sparkit-learn,1.1k,https://github.com/lensacom/sparkit-learn
dusty-nv,jetson-containers,1.1k,https://github.com/dusty-nv/jetson-containers
MaxHalford,prince,1.1k,https://github.com/MaxHalford/prince
databricks,spark-sklearn,1.1k,https://github.com/databricks/spark-sklearn
koaning,scikit-lego,1.1k,https://github.com/koaning/scikit-lego
intel,scikit-learn-intelex,1.1k,https://github.com/intel/scikit-learn-intelex
sebp,scikit-survival,985,https://github.com/sebp/scikit-survival
sajal2692,data-science-portfolio,978,https://github.com/sajal2692/data-science-portfolio
ScottfreeLLC,AlphaPy,963,https://github.com/ScottfreeLLC/AlphaPy
microsoft,Windows-Machine-Learning,958,https://github.com/microsoft/Windows-Machine-Learning
dnouri,nolearn,948,https://github.com/dnouri/nolearn
KartikChugh,Otto,931,https://github.com/KartikChugh/Otto
INRIA,scikit-learn-mooc,898,https://github.com/INRIA/scikit-learn-mooc
scikit-multilearn,scikit-multilearn,869,https://github.com/scikit-multilearn/scikit-multilearn
onnx,onnxmltools,833,https://github.com/onnx/onnxmltools
dataprofessor,code,817,https://github.com/dataprofessor/code
trent-b,iterative-stratification,795,https://github.com/trent-b/iterative-stratification
giotto-ai,giotto-tda,746,https://github.com/giotto-ai/giotto-tda
koaning,human-learn,742,https://github.com/koaning/human-learn
lzjqsdd,scikit-learn-doc-cn,720,https://github.com/lzjqsdd/scikit-learn-doc-cn
scikit-multiflow,scikit-multiflow,712,https://github.com/scikit-multiflow/scikit-multiflow
HunterMcGushion,hyperparameter_hunter,702,https://github.com/HunterMcGushion/hyperparameter_hunter
ypeleg,HungaBunga,699,https://github.com/ypeleg/HungaBunga
AmoDinho,datacamp-python-data-science-track,682,https://github.com/AmoDinho/datacamp-python-data-science-track
oneapi-src,oneAPI-samples,680,https://github.com/oneapi-src/oneAPI-samples
kymatio,kymatio,671,https://github.com/kymatio/kymatio
JoaquinAmatRodrigo,skforecast,661,https://github.com/JoaquinAmatRodrigo/skforecast
ritchieng,deep-learning-wizard,656,https://github.com/ritchieng/deep-learning-wizard
