Username,Repository,Stars,Repo URL
digitalocean,nginxconfig.io,26.3k,https://github.com/digitalocean/nginxconfig.io
benweet,stackedit,20.7k,https://github.com/benweet/stackedit
Automattic,wp-calypso,12.3k,https://github.com/Automattic/wp-calypso
roots,sage,12.3k,https://github.com/roots/sage
WordPress,gutenberg,9.1k,https://github.com/WordPress/gutenberg
woocommerce,woocommerce,8.8k,https://github.com/woocommerce/woocommerce
wpscanteam,wpscan,7.9k,https://github.com/wpscanteam/wpscan
roots,bedrock,5.9k,https://github.com/roots/bedrock
timber,timber,5.3k,https://github.com/timber/timber
wp-cli,wp-cli,4.8k,https://github.com/wp-cli/wp-cli
Varying-Vagrant-Vagrants,VVV,4.6k,https://github.com/Varying-Vagrant-Vagrants/VVV
postlight,headless-wp-starter,4.4k,https://github.com/postlight/headless-wp-starter
corcel,corcel,4.1k,https://github.com/corcel/corcel
lando,lando,3.8k,https://github.com/lando/lando
solstice23,argon-theme,3.8k,https://github.com/solstice23/argon-theme
wordpress-mobile,WordPress-iOS,3.6k,https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,3.5k,https://github.com/wp-graphql/wp-graphql
wp-bootstrap,wp-bootstrap-navwalker,3.4k,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
mashirozx,sakura,3.2k,https://github.com/mashirozx/sakura
ahmadawais,create-guten-block,3.2k,https://github.com/ahmadawais/create-guten-block
frontity,frontity,2.9k,https://github.com/frontity/frontity
seatonjiang,kratos,2.9k,https://github.com/seatonjiang/kratos
CMB2,CMB2,2.9k,https://github.com/CMB2/CMB2
wordpress-mobile,WordPress-Android,2.8k,https://github.com/wordpress-mobile/WordPress-Android
olefredrik,FoundationPress,2.7k,https://github.com/olefredrik/FoundationPress
gautamkrishnar,blog-post-workflow,2.7k,https://github.com/gautamkrishnar/blog-post-workflow
Tuhinshubhra,RED_HAWK,2.6k,https://github.com/Tuhinshubhra/RED_HAWK
versionpress,versionpress,2.6k,https://github.com/versionpress/versionpress
roots,trellis,2.4k,https://github.com/roots/trellis
mirai-mamori,Sakurairo,2.3k,https://github.com/mirai-mamori/Sakurairo
htpcBeginner,docker-traefik,2.2k,https://github.com/htpcBeginner/docker-traefik
Tuhinshubhra,CMSeeK,2.1k,https://github.com/Tuhinshubhra/CMSeeK
ddev,ddev,2.1k,https://github.com/ddev/ddev
EasyEngine,easyengine,2.1k,https://github.com/EasyEngine/easyengine
YahnisElsts,plugin-update-checker,2k,https://github.com/YahnisElsts/plugin-update-checker
vinkla,wordplate,2k,https://github.com/vinkla/wordplate
GSA,datagov-wptheme,1.9k,https://github.com/GSA/datagov-wptheme
welaika,wordmove,1.9k,https://github.com/welaika/wordmove
Licoy,wordpress-theme-puock,1.9k,https://github.com/Licoy/wordpress-theme-puock
humanmade,S3-Uploads,1.8k,https://github.com/humanmade/S3-Uploads
ampproject,amp-wp,1.8k,https://github.com/ampproject/amp-wp
primocms,primo,1.7k,https://github.com/primocms/primo
SecWiki,CMS-Hunter,1.7k,https://github.com/SecWiki/CMS-Hunter
Yoast,wordpress-seo,1.7k,https://github.com/Yoast/wordpress-seo
nezhar,wordpress-docker-compose,1.7k,https://github.com/nezhar/wordpress-docker-compose
wardviaene,kubernetes-course,1.6k,https://github.com/wardviaene/kubernetes-course
EvanAgee,vuejs-wordpress-theme-starter,1.6k,https://github.com/EvanAgee/vuejs-wordpress-theme-starter
luangjokaj,wordpressify,1.6k,https://github.com/luangjokaj/wordpressify
Automattic,jetpack,1.5k,https://github.com/Automattic/jetpack
owen0o0,WebStack,1.5k,https://github.com/owen0o0/WebStack
arnabwahid,wordpress-bootstrap,1.5k,https://github.com/arnabwahid/wordpress-bootstrap
RickStrahl,MarkdownMonster,1.5k,https://github.com/RickStrahl/MarkdownMonster
johnbillion,query-monitor,1.5k,https://github.com/johnbillion/query-monitor
Moham3dRiahi,XAttacker,1.4k,https://github.com/Moham3dRiahi/XAttacker
welaika,wordless,1.4k,https://github.com/welaika/wordless
WordPress,wordpress-playground,1.4k,https://github.com/WordPress/wordpress-playground
elementor,wp2static,1.3k,https://github.com/elementor/wp2static
airesvsg,acf-to-rest-api,1.3k,https://github.com/airesvsg/acf-to-rest-api
tonik,theme,1.3k,https://github.com/tonik/theme
wprig,wprig,1.3k,https://github.com/wprig/wprig
themeum,kirki,1.3k,https://github.com/themeum/kirki
wpengine,faustjs,1.3k,https://github.com/wpengine/faustjs
themosis,themosis,1.2k,https://github.com/themosis/themosis
10up,ElasticPress,1.2k,https://github.com/10up/ElasticPress
taniarascia,wp-functions,1.2k,https://github.com/taniarascia/wp-functions
google,site-kit-wp,1.2k,https://github.com/google/site-kit-wp
LoeiFy,Diaspora,1.2k,https://github.com/LoeiFy/Diaspora
WordOps,WordOps,1.2k,https://github.com/WordOps/WordOps
wpmetabox,meta-box,1.1k,https://github.com/wpmetabox/meta-box
colbyfayock,next-wordpress-starter,1k,https://github.com/colbyfayock/next-wordpress-starter
pods-framework,pods,1k,https://github.com/pods-framework/pods
benbalter,wordpress-to-jekyll-exporter,1k,https://github.com/benbalter/wordpress-to-jekyll-exporter
vccw-team,vccw,1k,https://github.com/vccw-team/vccw
wordpress-clients,hybrid,1k,https://github.com/wordpress-clients/hybrid
tommcfarlin,WordPress-Widget-Boilerplate,1k,https://github.com/tommcfarlin/WordPress-Widget-Boilerplate
gantry,gantry5,1k,https://github.com/gantry/gantry5
bradp,vv,1k,https://github.com/bradp/vv
rastating,wordpress-exploit-framework,983,https://github.com/rastating/wordpress-exploit-framework
Automattic,wp-desktop,980,https://github.com/Automattic/wp-desktop
scribu,wp-posts-to-posts,962,https://github.com/scribu/wp-posts-to-posts
bueltge,wordpress-admin-style,948,https://github.com/bueltge/wordpress-admin-style
woocommerce,storefront,937,https://github.com/woocommerce/storefront
ThemeFuse,Unyson,919,https://github.com/ThemeFuse/Unyson
ajinabraham,CMSScan,917,https://github.com/ajinabraham/CMSScan
johnbillion,extended-cpts,914,https://github.com/johnbillion/extended-cpts
n00py,WPForce,877,https://github.com/n00py/WPForce
xyu,heroku-wp,871,https://github.com/xyu/heroku-wp
awesomemotive,easy-digital-downloads,843,https://github.com/awesomemotive/easy-digital-downloads
imranhsayed,woo-next,840,https://github.com/imranhsayed/woo-next
digitoimistodude,air-light,834,https://github.com/digitoimistodude/air-light
studio24,wordpress-multi-env-config,784,https://github.com/studio24/wordpress-multi-env-config
Automattic,themes,751,https://github.com/Automattic/themes
urre,wordpress-nginx-docker-compose,748,https://github.com/urre/wordpress-nginx-docker-compose
StoutLogic,acf-builder,729,https://github.com/StoutLogic/acf-builder
Tokinx,Adams,728,https://github.com/Tokinx/Adams
GoogleForCreators,web-stories-wp,727,https://github.com/GoogleForCreators/web-stories-wp
LuRenJiasWorld,WP-Editor.md,716,https://github.com/LuRenJiasWorld/WP-Editor.md
jgthms,wysiwyg.css,709,https://github.com/jgthms/wysiwyg.css
wodby,docker4wordpress,703,https://github.com/wodby/docker4wordpress
ethibox,awesome-stacks,701,https://github.com/ethibox/awesome-stacks
