Username,Repository,Stars,Repo URL
dotnet-architecture,eShopOnContainers,24.4k,https://github.com/dotnet-architecture/eShopOnContainers
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
mono,mono,10.6k,https://github.com/mono/mono
unoplatform,uno,8k,https://github.com/unoplatform/uno
reactiveui,ReactiveUI,7.7k,https://github.com/reactiveui/ReactiveUI
reactiveui,refit,7.6k,https://github.com/reactiveui/refit
NLog,NLog,6k,https://github.com/NLog/NLog
xamarin,Xamarin.Forms,5.7k,https://github.com/xamarin/Xamarin.Forms
bitwarden,mobile,5k,https://github.com/bitwarden/mobile
MessagePack-CSharp,MessagePack-CSharp,4.9k,https://github.com/MessagePack-CSharp/MessagePack-CSharp
xamarin,xamarin-forms-samples,4.3k,https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3.8k,https://github.com/MvvmCross/MvvmCross
mono,SkiaSharp,3.6k,https://github.com/mono/SkiaSharp
beto-rodriguez,LiveCharts2,3.4k,https://github.com/beto-rodriguez/LiveCharts2
migueldeicaza,TensorFlowSharp,3.1k,https://github.com/migueldeicaza/TensorFlowSharp
mono,CppSharp,2.8k,https://github.com/mono/CppSharp
Caliburn-Micro,Caliburn.Micro,2.7k,https://github.com/Caliburn-Micro/Caliburn.Micro
jsuarezruiz,xamarin-forms-goodlooking-UI,2.6k,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
reactiveui,Akavache,2.4k,https://github.com/reactiveui/Akavache
xamarin,xamarin-macios,2.3k,https://github.com/xamarin/xamarin-macios
microcharts-dotnet,Microcharts,1.9k,https://github.com/microcharts-dotnet/Microcharts
XamSome,awesome-xamarin,1.9k,https://github.com/XamSome/awesome-xamarin
NLua,NLua,1.8k,https://github.com/NLua/NLua
jamie-mh,AuthenticatorPro,1.8k,https://github.com/jamie-mh/AuthenticatorPro
xamarin,ios-samples,1.6k,https://github.com/xamarin/ios-samples
microsoft,AdaptiveCards,1.6k,https://github.com/microsoft/AdaptiveCards
xamarin,Essentials,1.5k,https://github.com/xamarin/Essentials
luberda-molinet,FFImageLoading,1.4k,https://github.com/luberda-molinet/FFImageLoading
jamesmontemagno,Xamarin.Plugins,1.3k,https://github.com/jamesmontemagno/Xamarin.Plugins
moonsharp-devs,moonsharp,1.3k,https://github.com/moonsharp-devs/moonsharp
shinyorg,shiny,1.3k,https://github.com/shinyorg/shiny
AzureAD,microsoft-authentication-library-for-dotnet,1.3k,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet
videolan,libvlcsharp,1.3k,https://github.com/videolan/libvlcsharp
Baseflow,LottieXamarin,1.2k,https://github.com/Baseflow/LottieXamarin
realm,realm-dotnet,1.2k,https://github.com/realm/realm-dotnet
lbugnion,mvvmlight,1.2k,https://github.com/lbugnion/mvvmlight
rotorgames,Rg.Plugins.Popup,1.2k,https://github.com/rotorgames/Rg.Plugins.Popup
MarimerLLC,csla,1.1k,https://github.com/MarimerLLC/csla
unosquare,ffmediaelement,1.1k,https://github.com/unosquare/ffmediaelement
syncfusion,essential-ui-kit-for-xamarin.forms,1k,https://github.com/syncfusion/essential-ui-kit-for-xamarin.forms
linvi,tweetinvi,1k,https://github.com/linvi/tweetinvi
aloisdeniel,awesome-monogame,995,https://github.com/aloisdeniel/awesome-monogame
prajjwaldimri,GithubXamarin,995,https://github.com/prajjwaldimri/GithubXamarin
ststeiger,PdfSharpCore,922,https://github.com/ststeiger/PdfSharpCore
dadhi,DryIoc,916,https://github.com/dadhi/DryIoc
Mapsui,Mapsui,907,https://github.com/Mapsui/Mapsui
mariuszgromada,MathParser.org-mXparser,867,https://github.com/mariuszgromada/MathParser.org-mXparser
sthewissen,Xamarin.Forms.PancakeView,859,https://github.com/sthewissen/Xamarin.Forms.PancakeView
runceel,ReactiveProperty,844,https://github.com/runceel/ReactiveProperty
Catel,Catel,833,https://github.com/Catel/Catel
mono,Embeddinator-4000,761,https://github.com/mono/Embeddinator-4000
HenJigg,wpf-abp,760,https://github.com/HenJigg/wpf-abp
Baseflow,XamarinMediaManager,758,https://github.com/Baseflow/XamarinMediaManager
dotnet-bluetooth-le,dotnet-bluetooth-le,723,https://github.com/dotnet-bluetooth-le/dotnet-bluetooth-le
vpnhood,VpnHood,705,https://github.com/vpnhood/VpnHood
inthehand,32feet,704,https://github.com/inthehand/32feet
brminnick,GitTrends,683,https://github.com/brminnick/GitTrends
jbe2277,waf,676,https://github.com/jbe2277/waf
ziyasal,FireSharp,673,https://github.com/ziyasal/FireSharp
dotnet,Microsoft.Maui.Graphics,668,https://github.com/dotnet/Microsoft.Maui.Graphics
chayxana,Restaurant-App,666,https://github.com/chayxana/Restaurant-App
VincentH-Net,CSharpForMarkup,662,https://github.com/VincentH-Net/CSharpForMarkup
Baseflow,XF-Material-Library,655,https://github.com/Baseflow/XF-Material-Library
dotnet,Microsoft.Maui.Graphics.Controls,636,https://github.com/dotnet/Microsoft.Maui.Graphics.Controls
kwsch,PKHeX.Mobile,591,https://github.com/kwsch/PKHeX.Mobile
xamarin,docs-archive,564,https://github.com/xamarin/docs-archive
enisn,Xamarin.Forms.InputKit,556,https://github.com/enisn/Xamarin.Forms.InputKit
microsoft,SmartHotel360-Mobile,543,https://github.com/microsoft/SmartHotel360-Mobile
amay077,Xamarin.Forms.GoogleMaps,539,https://github.com/amay077/Xamarin.Forms.GoogleMaps
ProfessionalCSharp,ProfessionalCSharp7,503,https://github.com/ProfessionalCSharp/ProfessionalCSharp7
jfversluis,learn-dotnet-maui,500,https://github.com/jfversluis/learn-dotnet-maui
VladislavAntonyuk,MauiSamples,480,https://github.com/VladislavAntonyuk/MauiSamples
smstuebe,xamarin-fingerprint,475,https://github.com/smstuebe/xamarin-fingerprint
hhblaze,DBreeze,475,https://github.com/hhblaze/DBreeze
jsuarezruiz,Xamanimation,459,https://github.com/jsuarezruiz/Xamanimation
wcoder,open-source-xamarin-apps,442,https://github.com/wcoder/open-source-xamarin-apps
