Username,Repository,Stars,Repo URL
SheetJS,sheetjs,33.7k,https://github.com/SheetJS/sheetjs
xbmc,xbmc,16.4k,https://github.com/xbmc/xbmc
qax-os,excelize,16.1k,https://github.com/qax-os/excelize
troyeguo,koodo-reader,12.7k,https://github.com/troyeguo/koodo-reader
jhy,jsoup,10.3k,https://github.com/jhy/jsoup
mikefarah,yq,9.5k,https://github.com/mikefarah/yq
wader,fq,8.9k,https://github.com/wader/fq
reactiveui,refit,7.6k,https://github.com/reactiveui/refit
pocoproject,poco,7.4k,https://github.com/pocoproject/poco
dbohdan,structured-text-tools,6.8k,https://github.com/dbohdan/structured-text-tools
rest-assured,rest-assured,6.5k,https://github.com/rest-assured/rest-assured
sparklemotion,nokogiri,6.1k,https://github.com/sparklemotion/nokogiri
mledoze,countries,5.8k,https://github.com/mledoze/countries
wiremock,wiremock,5.8k,https://github.com/wiremock/wiremock
dr5hn,countries-states-cities-database,5.6k,https://github.com/dr5hn/countries-states-cities-database
ServiceStack,ServiceStack,5.3k,https://github.com/ServiceStack/ServiceStack
theseer,tokenizer,5.1k,https://github.com/theseer/tokenizer
Leonidas-from-XIV,node-xml2js,4.7k,https://github.com/Leonidas-from-XIV/node-xml2js
TomWright,dasel,4.6k,https://github.com/TomWright/dasel
tboox,tbox,4.5k,https://github.com/tboox/tbox
fb55,htmlparser2,4k,https://github.com/fb55/htmlparser2
JavaNoober,BackgroundLibrary,3.7k,https://github.com/JavaNoober/BackgroundLibrary
zeux,pugixml,3.6k,https://github.com/zeux/pugixml
tdewolff,minify,3.5k,https://github.com/tdewolff/minify
php-curl-class,php-curl-class,3.2k,https://github.com/php-curl-class/php-curl-class
florent37,ShapeOfView,3.1k,https://github.com/florent37/ShapeOfView
elvishew,xLog,2.9k,https://github.com/elvishew/xLog
posthtml,posthtml,2.9k,https://github.com/posthtml/posthtml
substance,substance,2.7k,https://github.com/substance/substance
thymeleaf,thymeleaf,2.6k,https://github.com/thymeleaf/thymeleaf
mattt,Ono,2.6k,https://github.com/mattt/Ono
focus-creative-games,luban,2.5k,https://github.com/focus-creative-games/luban
kislyuk,yq,2.3k,https://github.com/kislyuk/yq
Imangazaliev,DiDOM,2.1k,https://github.com/Imangazaliev/DiDOM
NaturalIntelligence,fast-xml-parser,2.1k,https://github.com/NaturalIntelligence/fast-xml-parser
dino,dino,2.1k,https://github.com/dino/dino
ajstarks,svgo,2k,https://github.com/ajstarks/svgo
spatie,laravel-sitemap,2k,https://github.com/spatie/laravel-sitemap
lukes,ISO-3166-Countries-with-Regional-Codes,2k,https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes
dotnetcore,WebApiClient,1.9k,https://github.com/dotnetcore/WebApiClient
JohnSundell,Plot,1.9k,https://github.com/JohnSundell/Plot
unrolled,render,1.8k,https://github.com/unrolled/render
prettydiff,prettydiff,1.7k,https://github.com/prettydiff/prettydiff
zhenglibao,FlexLib,1.7k,https://github.com/zhenglibao/FlexLib
ThoughtWorksInc,Binding.scala,1.6k,https://github.com/ThoughtWorksInc/Binding.scala
sephiroth74,Material-BottomNavigation,1.4k,https://github.com/sephiroth74/Material-BottomNavigation
wajahatkarim3,EasyFlipView,1.4k,https://github.com/wajahatkarim3/EasyFlipView
sajari,docconv,1.3k,https://github.com/sajari/docconv
SheetJS,js-word,1.3k,https://github.com/SheetJS/js-word
beevik,etree,1.3k,https://github.com/beevik/etree
iptv-org,epg,1.3k,https://github.com/iptv-org/epg
nashwaan,xml-js,1.2k,https://github.com/nashwaan/xml-js
rbren,rss-parser,1.2k,https://github.com/rbren/rss-parser
stefangabos,world_countries,1.2k,https://github.com/stefangabos/world_countries
fabiocaccamo,python-benedict,1.2k,https://github.com/fabiocaccamo/python-benedict
